,ATO US Equity
,BEST_EPS
2021-12-26,6.294
2021-12-27,6.294
2021-12-28,6.294
2021-12-29,6.294
2021-12-30,6.294
2021-12-31,6.294
2022-01-01,6.294
2022-01-02,6.294
2022-01-03,6.294
2022-01-04,6.294
2022-01-05,6.294
2022-01-06,6.294
2022-01-07,6.294
2022-01-08,6.294
2022-01-09,6.301
2022-01-10,6.301
2022-01-11,6.301
2022-01-12,6.301
2022-01-13,6.301
2022-01-14,6.301
2022-01-15,6.301
2022-01-16,6.301
2022-01-17,6.301
2022-01-18,6.31
2022-01-19,6.31
2022-01-20,6.31
2022-01-21,6.31
2022-01-22,6.31
2022-01-23,6.31
2022-01-24,6.309
2022-01-25,6.309
2022-01-26,6.309
2022-01-27,6.309
2022-01-28,6.309
2022-01-29,6.309
2022-01-30,6.309
2022-01-31,6.309
2022-02-01,6.309
2022-02-02,6.309
2022-02-03,6.309
2022-02-04,6.309
2022-02-05,6.309
2022-02-06,6.309
2022-02-07,6.309
2022-02-08,6.309
2022-02-09,6.31
2022-02-10,6.322
2022-02-11,6.322
2022-02-12,6.322
2022-02-13,6.322
2022-02-14,6.322
2022-02-15,6.322
2022-02-16,6.322
2022-02-17,6.322
2022-02-18,6.322
2022-02-19,6.322
2022-02-20,6.322
2022-02-21,6.322
2022-02-22,6.322
2022-02-23,6.322
2022-02-24,6.322
2022-02-25,6.322
2022-02-26,6.322
2022-02-27,6.322
2022-02-28,6.322
2022-03-01,6.322
2022-03-02,6.322
2022-03-03,6.324
2022-03-04,6.324
2022-03-05,6.324
2022-03-06,6.324
2022-03-07,6.324
2022-03-08,6.324
2022-03-09,6.324
2022-03-10,6.324
2022-03-11,6.324
2022-03-12,6.324
2022-03-13,6.324
2022-03-14,6.324
2022-03-15,6.324
2022-03-16,6.324
2022-03-17,6.324
2022-03-18,6.324
2022-03-19,6.324
2022-03-20,6.324
2022-03-21,6.324
2022-03-22,6.324
2022-03-23,6.324
2022-03-24,6.324
2022-03-25,6.324
2022-03-26,6.324
2022-03-27,6.324
2022-03-28,6.324
2022-03-29,6.324
2022-03-30,6.324
2022-03-31,6.324
2022-04-01,6.324
2022-04-02,6.324
2022-04-03,6.324
2022-04-04,6.324
2022-04-05,6.324
2022-04-06,6.324
2022-04-07,6.324
2022-04-08,6.324
2022-04-09,6.324
2022-04-10,6.324
2022-04-11,6.324
2022-04-12,6.324
2022-04-13,6.333
2022-04-14,6.333
2022-04-15,6.333
2022-04-16,6.333
2022-04-17,6.333
2022-04-18,6.333
2022-04-19,6.333
2022-04-20,6.333
2022-04-21,6.333
2022-04-22,6.333
2022-04-23,6.333
2022-04-24,6.333
2022-04-25,6.364
2022-04-26,6.358
2022-04-27,6.358
2022-04-28,6.358
2022-04-29,6.358
2022-04-30,6.358
2022-05-01,6.358
2022-05-02,6.358
2022-05-03,6.358
2022-05-04,6.361
2022-05-05,6.36
2022-05-06,6.362
2022-05-07,6.362
2022-05-08,6.362
2022-05-09,6.362
2022-05-10,6.362
2022-05-11,6.369
2022-05-12,6.371
2022-05-13,6.371
2022-05-14,6.371
2022-05-15,6.371
2022-05-16,6.371
2022-05-17,6.371
2022-05-18,6.371
2022-05-19,6.371
2022-05-20,6.371
2022-05-21,6.371
2022-05-22,6.371
2022-05-23,6.371
2022-05-24,6.371
2022-05-25,6.371
2022-05-26,6.371
2022-05-27,6.371
2022-05-28,6.371
2022-05-29,6.371
2022-05-30,6.371
2022-05-31,6.371
2022-06-01,6.371
2022-06-02,6.371
2022-06-03,6.371
2022-06-04,6.371
2022-06-05,6.371
2022-06-06,6.371
2022-06-07,6.371
2022-06-08,6.371
2022-06-09,6.371
2022-06-10,6.371
2022-06-11,6.371
2022-06-12,6.371
2022-06-13,6.371
2022-06-14,6.371
2022-06-15,6.371
2022-06-16,6.371
2022-06-17,6.371
2022-06-18,6.371
2022-06-19,6.371
2022-06-20,6.371
2022-06-21,6.371
2022-06-22,6.371
2022-06-23,6.396
2022-06-24,6.396
2022-06-25,6.396
2022-06-26,6.396
2022-06-27,6.396
2022-06-28,6.396
2022-06-29,6.396
2022-06-30,6.396
2022-07-01,6.396
2022-07-02,6.396
2022-07-03,6.396
2022-07-04,6.396
2022-07-05,6.396
2022-07-06,6.396
2022-07-07,6.396
2022-07-08,6.396
2022-07-09,6.396
2022-07-10,6.386
2022-07-11,6.386
2022-07-12,6.386
2022-07-13,6.386
2022-07-14,6.386
2022-07-15,6.399
2022-07-16,6.399
2022-07-17,6.399
2022-07-18,6.383
2022-07-19,6.383
2022-07-20,6.383
2022-07-21,6.385
2022-07-22,6.385
2022-07-23,6.385
2022-07-24,6.385
2022-07-25,6.384
2022-07-26,6.384
2022-07-27,6.384
2022-07-28,6.384
2022-07-29,6.384
2022-07-30,6.384
2022-07-31,6.384
2022-08-01,6.388
2022-08-02,6.388
2022-08-03,6.388
2022-08-04,6.388
2022-08-05,6.388
2022-08-06,6.388
2022-08-07,6.388
2022-08-08,6.391
2022-08-09,6.391
2022-08-10,6.393
2022-08-11,6.393
2022-08-12,6.391
2022-08-13,6.391
2022-08-14,6.391
2022-08-15,6.391
2022-08-16,6.391
2022-08-17,6.391
2022-08-18,6.391
2022-08-19,6.391
2022-08-20,6.391
2022-08-21,6.391
2022-08-22,6.391
2022-08-23,6.391
2022-08-24,6.391
2022-08-25,6.391
2022-08-26,6.391
2022-08-27,6.391
2022-08-28,6.391
2022-08-29,6.391
2022-08-30,6.391
2022-08-31,6.391
2022-09-01,6.391
2022-09-02,6.391
2022-09-03,6.391
2022-09-04,6.391
2022-09-05,6.377
2022-09-06,6.377
2022-09-07,6.377
2022-09-08,6.377
2022-09-09,6.377
2022-09-10,6.377
2022-09-11,6.377
2022-09-12,6.377
2022-09-13,6.377
2022-09-14,6.377
2022-09-15,6.377
2022-09-16,6.377
2022-09-17,6.377
2022-09-18,6.377
2022-09-19,6.377
2022-09-20,6.377
2022-09-21,6.377
2022-09-22,6.376
2022-09-23,6.376
2022-09-24,6.376
2022-09-25,6.376
2022-09-26,6.376
2022-09-27,6.376
2022-09-28,6.376
2022-09-29,6.376
2022-09-30,6.376
2022-10-01,6.376
2022-10-02,6.376
2022-10-03,6.376
2022-10-04,6.376
2022-10-05,6.376
2022-10-06,6.376
2022-10-07,6.376
2022-10-08,6.376
2022-10-09,6.376
2022-10-10,6.376
2022-10-11,6.376
2022-10-12,6.376
2022-10-13,6.376
2022-10-14,6.398
2022-10-15,6.398
2022-10-16,6.398
2022-10-17,6.4
2022-10-18,6.4
2022-10-19,6.4
2022-10-20,6.399
2022-10-21,6.399
2022-10-22,6.399
2022-10-23,6.399
2022-10-24,6.397
2022-10-25,6.403
2022-10-26,6.403
2022-10-27,6.403
2022-10-28,6.403
2022-10-29,6.403
2022-10-30,6.403
2022-10-31,6.403
2022-11-01,6.403
2022-11-02,6.403
2022-11-03,6.403
2022-11-04,6.403
2022-11-05,6.403
2022-11-06,6.403
2022-11-07,6.403
2022-11-08,6.403
2022-11-09,6.403
2022-11-10,6.403
2022-11-11,6.409
2022-11-12,6.409
2022-11-13,6.409
2022-11-14,6.416
2022-11-15,6.416
2022-11-16,6.416
2022-11-17,6.416
2022-11-18,6.416
2022-11-19,6.416
2022-11-20,6.416
2022-11-21,6.416
2022-11-22,6.416
2022-11-23,6.416
2022-11-24,6.416
2022-11-25,6.416
2022-11-26,6.416
2022-11-27,6.416
2022-11-28,6.416
2022-11-29,6.416
2022-11-30,6.416
2022-12-01,6.416
2022-12-02,6.416
2022-12-03,6.416
2022-12-04,6.416
2022-12-05,6.416
2022-12-06,6.416
2022-12-07,6.416
2022-12-08,6.429
2022-12-09,6.462
2022-12-10,6.435
2022-12-11,6.435
2022-12-12,6.435
2022-12-13,6.435
2022-12-14,6.435
2022-12-15,6.442
2022-12-16,6.442
2022-12-17,6.442
2022-12-18,6.442
2022-12-19,6.442
2022-12-20,6.442
2022-12-21,6.442
2022-12-22,6.442
2022-12-23,6.442
2022-12-24,6.442
2022-12-25,6.442
2022-12-26,6.442
2022-12-27,6.442
2022-12-28,6.442
2022-12-29,6.442
2022-12-30,6.442
2022-12-31,6.442
2023-01-01,6.442
2023-01-02,6.442
2023-01-03,6.442
2023-01-04,6.442
2023-01-05,6.442
2023-01-06,6.442
2023-01-07,6.442
2023-01-08,6.442
2023-01-09,6.441
2023-01-10,6.441
2023-01-11,6.441
2023-01-12,6.441
2023-01-13,6.441
2023-01-14,6.441
2023-01-15,6.441
2023-01-16,6.441
2023-01-17,6.441
2023-01-18,6.441
2023-01-19,6.441
2023-01-20,6.441
2023-01-21,6.441
2023-01-22,6.441
2023-01-23,6.437
2023-01-24,6.437
2023-01-25,6.437
2023-01-26,6.437
2023-01-27,6.437
2023-01-28,6.437
2023-01-29,6.437
2023-01-30,6.437
2023-01-31,6.435
2023-02-01,6.436
2023-02-02,6.436
2023-02-03,6.436
2023-02-04,6.436
2023-02-05,6.436
2023-02-06,6.436
2023-02-07,6.436
2023-02-08,6.436
2023-02-09,6.418
2023-02-10,6.418
2023-02-11,6.418
2023-02-12,6.418
2023-02-13,6.41
2023-02-14,6.41
2023-02-15,6.41
2023-02-16,6.41
2023-02-17,6.41
2023-02-18,6.41
2023-02-19,6.41
2023-02-20,6.41
2023-02-21,6.41
2023-02-22,6.412
2023-02-23,6.412
2023-02-24,6.412
2023-02-25,6.412
2023-02-26,6.412
2023-02-27,6.412
2023-02-28,6.412
2023-03-01,6.412
2023-03-02,6.412
2023-03-03,6.412
2023-03-04,6.412
2023-03-05,6.412
2023-03-06,6.412
2023-03-07,6.412
2023-03-08,6.412
2023-03-09,6.412
2023-03-10,6.412
2023-03-11,6.412
2023-03-12,6.412
2023-03-13,6.411
2023-03-14,6.411
2023-03-15,6.411
2023-03-16,6.411
2023-03-17,6.411
2023-03-18,6.411
2023-03-19,6.411
2023-03-20,6.411
2023-03-21,6.41
2023-03-22,6.41
2023-03-23,6.41
2023-03-24,6.404
2023-03-25,6.404
2023-03-26,6.404
2023-03-27,6.404
2023-03-28,6.404
2023-03-29,6.404
2023-03-30,6.404
2023-03-31,6.404
