,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-09-12,2236.8,2273.5,2226.1,2259.2,7800800.0
2010-09-13,2284.3,2298.6,2246.7,2246.7,5561300.0
2010-09-14,2236.8,2259.2,2218.9,2231.5,5886200.0
2010-09-15,2218.9,2337.1,2176.9,2322.7,15037200.0
2010-09-16,2359.4,2373.7,2329.0,2363.0,13718700.0
2010-09-17,2376.4,2404.2,2364.8,2396.1,8259400.0
2010-09-18,2376.4,2404.2,2364.8,2396.1,8259400.0
2010-09-19,2376.4,2404.2,2364.8,2396.1,8259400.0
2010-09-20,2376.4,2404.2,2364.8,2396.1,8259400.0
2010-09-21,2401.5,2410.4,2354.1,2359.4,6487600.0
2010-09-22,2326.3,2357.6,2314.7,2315.6,6431400.0
2010-09-23,2326.3,2357.6,2314.7,2315.6,6431400.0
2010-09-24,2286.9,2364.8,2276.2,2312.9,9671000.0
2010-09-25,2286.9,2364.8,2276.2,2312.9,9671000.0
2010-09-26,2286.9,2364.8,2276.2,2312.9,9671000.0
2010-09-27,2335.3,2353.2,2319.2,2346.0,4540700.0
2010-09-28,2325.8,2351.8,2322.2,2331.2,3924200.0
2010-09-29,2351.8,2385.1,2342.0,2377.9,8179300.0
2010-09-30,2365.3,2379.7,2312.3,2320.4,6291600.0
2010-10-01,2302.4,2308.7,2265.5,2281.7,7503100.0
2010-10-02,2302.4,2308.7,2265.5,2281.7,7503100.0
2010-10-03,2302.4,2308.7,2265.5,2281.7,7503100.0
2010-10-04,2288.9,2336.6,2282.6,2306.0,6455900.0
2010-10-05,2296.1,2355.4,2293.4,2337.5,7476400.0
2010-10-06,2345.6,2368.0,2331.2,2359.0,5400100.0
2010-10-07,2359.0,2368.0,2338.4,2353.6,4621000.0
2010-10-08,2353.6,2390.5,2342.0,2376.1,7167600.0
2010-10-09,2353.6,2390.5,2342.0,2376.1,7167600.0
2010-10-10,2353.6,2390.5,2342.0,2376.1,7167600.0
2010-10-11,2353.6,2390.5,2342.0,2376.1,7167600.0
2010-10-12,2382.4,2389.6,2315.0,2324.9,5904500.0
2010-10-13,2332.1,2357.2,2317.7,2327.6,5454600.0
2010-10-14,2368.9,2404.9,2353.6,2373.4,8227000.0
2010-10-15,2355.4,2364.4,2331.2,2349.1,4265400.0
2010-10-16,2355.4,2364.4,2331.2,2349.1,4265400.0
2010-10-17,2355.4,2364.4,2331.2,2349.1,4265400.0
2010-10-18,2364.4,2399.5,2355.4,2390.5,5493200.0
2010-10-19,2391.4,2434.6,2391.4,2425.6,7385000.0
2010-10-20,2386.0,2422.9,2379.7,2404.9,6097400.0
2010-10-21,2427.4,2485.8,2419.3,2433.7,12203600.0
2010-10-22,2425.6,2463.3,2405.8,2457.9,6774400.0
2010-10-23,2425.6,2463.3,2405.8,2457.9,6774400.0
2010-10-24,2425.6,2463.3,2405.8,2457.9,6774400.0
2010-10-25,2457.9,2462.4,2421.1,2448.9,6352700.0
2010-10-26,2444.4,2520.9,2431.9,2465.1,17609600.0
2010-10-27,2481.3,2502.0,2461.5,2478.6,7811400.0
2010-10-28,2455.2,2475.0,2436.4,2451.6,8498200.0
2010-10-29,2470.5,2474.1,2413.9,2418.4,7924800.0
2010-10-30,2470.5,2474.1,2413.9,2418.4,7924800.0
2010-10-31,2470.5,2474.1,2413.9,2418.4,7924800.0
2010-11-01,2398.6,2427.4,2346.4,2383.3,8405600.0
2010-11-02,2365.3,2368.0,2342.9,2361.7,5926200.0
2010-11-03,2365.3,2368.0,2342.9,2361.7,5926200.0
2010-11-04,2367.1,2418.4,2358.1,2374.3,6458600.0
2010-11-05,2419.3,2466.0,2418.4,2437.3,6667600.0
2010-11-06,2419.3,2466.0,2418.4,2437.3,6667600.0
2010-11-07,2419.3,2466.0,2418.4,2437.3,6667600.0
2010-11-08,2458.8,2479.5,2448.9,2464.2,4060500.0
2010-11-09,2449.8,2507.4,2433.7,2440.8,4818100.0
