,NUE US Equity
,RETURN_COM_EQY
2021-05-28,15.1191
2021-05-29,15.1191
2021-05-30,15.1191
2021-05-31,15.1191
2021-06-01,15.1191
2021-06-02,15.1191
2021-06-03,15.1191
2021-06-04,15.1191
2021-06-05,15.1191
2021-06-06,15.1191
2021-06-07,15.1191
2021-06-08,15.1191
2021-06-09,15.1191
2021-06-10,15.1191
2021-06-11,15.1191
2021-06-12,15.1191
2021-06-13,15.1191
2021-06-14,15.1191
2021-06-15,15.1191
2021-06-16,15.1191
2021-06-17,15.1191
2021-06-18,15.1191
2021-06-19,15.1191
2021-06-20,15.1191
2021-06-21,15.1191
2021-06-22,15.1191
2021-06-23,15.1191
2021-06-24,15.1191
2021-06-25,15.1191
2021-06-26,15.1191
2021-06-27,15.1191
2021-06-28,15.1191
2021-06-29,15.1191
2021-06-30,15.1191
2021-07-01,15.1191
2021-07-02,15.1191
2021-07-03,27.0198
2021-07-04,27.0198
2021-07-05,27.0198
2021-07-06,27.0198
2021-07-07,27.0198
2021-07-08,27.0198
2021-07-09,27.0198
2021-07-10,27.0198
2021-07-11,27.0198
2021-07-12,27.0198
2021-07-13,27.0198
2021-07-14,27.0198
2021-07-15,27.0198
2021-07-16,27.0198
2021-07-17,27.0198
2021-07-18,27.0198
2021-07-19,27.0198
2021-07-20,27.0198
2021-07-21,27.0198
2021-07-22,27.0198
2021-07-23,27.0198
2021-07-24,27.0198
2021-07-25,27.0198
2021-07-26,27.0198
2021-07-27,27.0198
2021-07-28,27.0198
2021-07-29,27.0198
2021-07-30,27.0198
2021-07-31,27.0198
2021-08-01,27.0198
2021-08-02,27.0198
2021-08-03,27.0198
2021-08-04,27.0198
2021-08-05,27.0198
2021-08-06,27.0198
2021-08-07,27.0198
2021-08-08,27.0198
2021-08-09,27.0198
2021-08-10,27.0198
2021-08-11,27.0198
2021-08-12,27.0198
2021-08-13,27.0198
2021-08-14,27.0198
2021-08-15,27.0198
2021-08-16,27.0198
2021-08-17,27.0198
2021-08-18,27.0198
2021-08-19,27.0198
2021-08-20,27.0198
2021-08-21,27.0198
2021-08-22,27.0198
2021-08-23,27.0198
2021-08-24,27.0198
2021-08-25,27.0198
2021-08-26,27.0198
2021-08-27,27.0198
2021-08-28,27.0198
2021-08-29,27.0198
2021-08-30,27.0198
2021-08-31,27.0198
2021-09-01,27.0198
2021-09-02,27.0198
2021-09-03,27.0198
2021-09-04,27.0198
2021-09-05,27.0198
2021-09-06,27.0198
2021-09-07,27.0198
2021-09-08,27.0198
2021-09-09,27.0198
2021-09-10,27.0198
2021-09-11,27.0198
2021-09-12,27.0198
2021-09-13,27.0198
2021-09-14,27.0198
2021-09-15,27.0198
2021-09-16,27.0198
2021-09-17,27.0198
2021-09-18,27.0198
2021-09-19,27.0198
2021-09-20,27.0198
2021-09-21,27.0198
2021-09-22,27.0198
2021-09-23,27.0198
2021-09-24,27.0198
2021-09-25,27.0198
2021-09-26,27.0198
2021-09-27,27.0198
2021-09-28,27.0198
2021-09-29,27.0198
2021-09-30,27.0198
2021-10-01,27.0198
2021-10-02,41.8032
2021-10-03,41.8032
2021-10-04,41.8032
2021-10-05,41.8032
2021-10-06,41.8032
2021-10-07,41.8032
2021-10-08,41.8032
2021-10-09,41.8032
2021-10-10,41.8032
2021-10-11,41.8032
2021-10-12,41.8032
2021-10-13,41.8032
2021-10-14,41.8032
2021-10-15,41.8032
2021-10-16,41.8032
2021-10-17,41.8032
2021-10-18,41.8032
2021-10-19,41.8032
2021-10-20,41.8032
2021-10-21,41.8032
2021-10-22,41.8032
2021-10-23,41.8032
2021-10-24,41.8032
2021-10-25,41.8032
2021-10-26,41.8032
2021-10-27,41.8032
2021-10-28,41.8032
2021-10-29,41.8032
2021-10-30,41.8032
2021-10-31,41.8032
2021-11-01,41.8032
2021-11-02,41.8032
2021-11-03,41.8032
2021-11-04,41.8032
2021-11-05,41.8032
2021-11-06,41.8032
2021-11-07,41.8032
2021-11-08,41.8032
2021-11-09,41.8032
2021-11-10,41.8032
2021-11-11,41.8032
2021-11-12,41.8032
2021-11-13,41.8032
2021-11-14,41.8032
2021-11-15,41.8032
2021-11-16,41.8032
2021-11-17,41.8032
2021-11-18,41.8032
2021-11-19,41.8032
2021-11-20,41.8032
2021-11-21,41.8032
2021-11-22,41.8032
2021-11-23,41.8032
2021-11-24,41.8032
2021-11-25,41.8032
2021-11-26,41.8032
2021-11-27,41.8032
2021-11-28,41.8032
2021-11-29,41.8032
2021-11-30,41.8032
2021-12-01,41.8032
2021-12-02,41.8032
2021-12-03,41.8032
2021-12-04,41.8032
2021-12-05,41.8032
2021-12-06,41.8032
2021-12-07,41.8032
2021-12-08,41.8032
2021-12-09,41.8032
2021-12-10,41.8032
2021-12-11,41.8032
2021-12-12,41.8032
2021-12-13,41.8032
2021-12-14,41.8032
2021-12-15,41.8032
2021-12-16,41.8032
2021-12-17,41.8032
2021-12-18,41.8032
2021-12-19,41.8032
2021-12-20,41.8032
2021-12-21,41.8032
2021-12-22,41.8032
2021-12-23,41.8032
2021-12-24,41.8032
2021-12-25,41.8032
2021-12-26,41.8032
2021-12-27,41.8032
2021-12-28,41.8032
2021-12-29,41.8032
2021-12-30,41.8032
2021-12-31,54.8485
2022-01-01,54.8485
2022-01-02,54.8485
2022-01-03,54.8485
2022-01-04,54.8485
2022-01-05,54.8485
2022-01-06,54.8485
2022-01-07,54.8485
2022-01-08,54.8485
2022-01-09,54.8485
2022-01-10,54.8485
2022-01-11,54.8485
2022-01-12,54.8485
2022-01-13,54.8485
2022-01-14,54.8485
2022-01-15,54.8485
2022-01-16,54.8485
2022-01-17,54.8485
2022-01-18,54.8485
2022-01-19,54.8485
2022-01-20,54.8485
2022-01-21,54.8485
2022-01-22,54.8485
2022-01-23,54.8485
2022-01-24,54.8485
2022-01-25,54.8485
2022-01-26,54.8485
2022-01-27,54.8485
2022-01-28,54.8485
2022-01-29,54.8485
2022-01-30,54.8485
2022-01-31,54.8485
2022-02-01,54.8485
2022-02-02,54.8485
2022-02-03,54.8485
2022-02-04,54.8485
2022-02-05,54.8485
2022-02-06,54.8485
2022-02-07,54.8485
2022-02-08,54.8485
2022-02-09,54.8485
2022-02-10,54.8485
2022-02-11,54.8485
2022-02-12,54.8485
2022-02-13,54.8485
2022-02-14,54.8485
2022-02-15,54.8485
2022-02-16,54.8485
2022-02-17,54.8485
2022-02-18,54.8485
2022-02-19,54.8485
2022-02-20,54.8485
2022-02-21,54.8485
2022-02-22,54.8485
2022-02-23,54.8485
2022-02-24,54.8485
2022-02-25,54.8485
2022-02-26,54.8485
2022-02-27,54.8485
2022-02-28,54.8485
2022-03-01,54.8485
2022-03-02,54.8485
2022-03-03,54.8485
2022-03-04,54.8485
2022-03-05,54.8485
2022-03-06,54.8485
2022-03-07,54.8485
2022-03-08,54.8485
2022-03-09,54.8485
2022-03-10,54.8485
2022-03-11,54.8485
2022-03-12,54.8485
2022-03-13,54.8485
2022-03-14,54.8485
2022-03-15,54.8485
2022-03-16,54.8485
2022-03-17,54.8485
2022-03-18,54.8485
2022-03-19,54.8485
2022-03-20,54.8485
2022-03-21,54.8485
2022-03-22,54.8485
2022-03-23,54.8485
2022-03-24,54.8485
2022-03-25,54.8485
2022-03-26,54.8485
2022-03-27,54.8485
2022-03-28,54.8485
2022-03-29,54.8485
2022-03-30,54.8485
2022-03-31,54.8485
2022-04-01,54.8485
2022-04-02,59.6789
2022-04-03,59.6789
2022-04-04,59.6789
2022-04-05,59.6789
2022-04-06,59.6789
2022-04-07,59.6789
2022-04-08,59.6789
2022-04-09,59.6789
2022-04-10,59.6789
2022-04-11,59.6789
2022-04-12,59.6789
2022-04-13,59.6789
2022-04-14,59.6789
2022-04-15,59.6789
2022-04-16,59.6789
2022-04-17,59.6789
2022-04-18,59.6789
2022-04-19,59.6789
2022-04-20,59.6789
2022-04-21,59.6789
2022-04-22,59.6789
2022-04-23,59.6789
2022-04-24,59.6789
2022-04-25,59.6789
2022-04-26,59.6789
2022-04-27,59.6789
2022-04-28,59.6789
2022-04-29,59.6789
2022-04-30,59.6789
2022-05-01,59.6789
2022-05-02,59.6789
2022-05-03,59.6789
2022-05-04,59.6789
2022-05-05,59.6789
2022-05-06,59.6789
2022-05-07,59.6789
2022-05-08,59.6789
2022-05-09,59.6789
2022-05-10,59.6789
2022-05-11,59.6789
2022-05-12,59.6789
2022-05-13,59.6789
2022-05-14,59.6789
2022-05-15,59.6789
2022-05-16,59.6789
2022-05-17,59.6789
2022-05-18,59.6789
2022-05-19,59.6789
2022-05-20,59.6789
2022-05-21,59.6789
2022-05-22,59.6789
2022-05-23,59.6789
2022-05-24,59.6789
2022-05-25,59.6789
2022-05-26,59.6789
2022-05-27,59.6789
2022-05-28,59.6789
2022-05-29,59.6789
2022-05-30,59.6789
2022-05-31,59.6789
2022-06-01,59.6789
2022-06-02,59.6789
2022-06-03,59.6789
2022-06-04,59.6789
2022-06-05,59.6789
2022-06-06,59.6789
2022-06-07,59.6789
2022-06-08,59.6789
2022-06-09,59.6789
2022-06-10,59.6789
2022-06-11,59.6789
2022-06-12,59.6789
2022-06-13,59.6789
2022-06-14,59.6789
2022-06-15,59.6789
2022-06-16,59.6789
2022-06-17,59.6789
2022-06-18,59.6789
2022-06-19,59.6789
2022-06-20,59.6789
2022-06-21,59.6789
2022-06-22,59.6789
2022-06-23,59.6789
2022-06-24,59.6789
2022-06-25,59.6789
2022-06-26,59.6789
2022-06-27,59.6789
2022-06-28,59.6789
2022-06-29,61.9842
2022-06-30,61.9842
2022-07-01,61.9842
2022-07-02,61.9842
2022-07-03,61.9842
2022-07-04,61.9842
2022-07-05,61.9842
2022-07-06,61.9842
2022-07-07,61.9842
2022-07-08,61.9842
2022-07-09,61.9842
2022-07-10,61.9842
2022-07-11,61.9842
2022-07-12,61.9842
2022-07-13,61.9842
2022-07-14,61.9842
2022-07-15,61.9842
2022-07-16,61.9842
2022-07-17,61.9842
2022-07-18,61.9842
2022-07-19,61.9842
2022-07-20,61.9842
2022-07-21,61.9842
2022-07-22,61.9842
2022-07-23,61.9842
2022-07-24,61.9842
2022-07-25,61.9842
2022-07-26,61.9842
2022-07-27,61.9842
2022-07-28,61.9842
2022-07-29,61.9842
2022-07-30,61.9842
2022-07-31,61.9842
2022-08-01,61.9842
2022-08-02,61.9842
2022-08-03,61.9842
2022-08-04,61.9842
2022-08-05,61.9842
2022-08-06,61.9842
2022-08-07,61.9842
2022-08-08,61.9842
2022-08-09,61.9842
2022-08-10,61.9842
2022-08-11,61.9842
