,ITW US Equity
,RETURN_COM_EQY
2022-04-02,78.337
2022-04-03,78.337
2022-04-04,78.337
2022-04-05,78.337
2022-04-06,78.337
2022-04-07,78.337
2022-04-08,78.337
2022-04-09,78.337
2022-04-10,78.337
2022-04-11,78.337
2022-04-12,78.337
2022-04-13,78.337
2022-04-14,78.337
2022-04-15,78.337
2022-04-16,78.337
2022-04-17,78.337
2022-04-18,78.337
2022-04-19,78.337
2022-04-20,78.337
2022-04-21,78.337
2022-04-22,78.337
2022-04-23,78.337
2022-04-24,78.337
2022-04-25,78.337
2022-04-26,78.337
2022-04-27,78.337
2022-04-28,78.337
2022-04-29,78.337
2022-04-30,78.337
2022-05-01,78.337
2022-05-02,78.337
2022-05-03,78.337
2022-05-04,78.337
2022-05-05,78.337
2022-05-06,78.337
2022-05-07,78.337
2022-05-08,78.337
2022-05-09,78.337
2022-05-10,78.337
2022-05-11,78.337
2022-05-12,78.337
2022-05-13,78.337
2022-05-14,78.337
2022-05-15,78.337
2022-05-16,78.337
2022-05-17,78.337
2022-05-18,78.337
2022-05-19,78.337
2022-05-20,78.337
2022-05-21,78.337
2022-05-22,78.337
2022-05-23,78.337
2022-05-24,78.337
2022-05-25,78.337
2022-05-26,78.337
2022-05-27,78.337
2022-05-28,78.337
2022-05-29,78.337
2022-05-30,78.337
2022-05-31,78.337
2022-06-01,78.337
2022-06-02,78.337
2022-06-03,78.337
2022-06-04,78.337
2022-06-05,78.337
2022-06-06,78.337
2022-06-07,78.337
2022-06-08,78.337
2022-06-09,78.337
2022-06-10,78.337
2022-06-11,78.337
2022-06-12,78.337
2022-06-13,78.337
2022-06-14,78.337
2022-06-15,78.337
2022-06-16,78.337
2022-06-17,78.337
2022-06-18,78.337
2022-06-19,78.337
2022-06-20,78.337
2022-06-21,78.337
2022-06-22,78.337
2022-06-23,78.337
2022-06-24,78.337
2022-06-25,78.337
2022-06-26,78.337
2022-06-27,78.337
2022-06-28,78.337
2022-06-29,78.337
2022-06-30,76.7759
2022-07-01,76.7759
2022-07-02,76.7759
2022-07-03,76.7759
2022-07-04,76.7759
2022-07-05,76.7759
2022-07-06,76.7759
2022-07-07,76.7759
2022-07-08,76.7759
2022-07-09,76.7759
2022-07-10,76.7759
2022-07-11,76.7759
2022-07-12,76.7759
2022-07-13,76.7759
2022-07-14,76.7759
2022-07-15,76.7759
2022-07-16,76.7759
2022-07-17,76.7759
2022-07-18,76.7759
2022-07-19,76.7759
2022-07-20,76.7759
2022-07-21,76.7759
2022-07-22,76.7759
2022-07-23,76.7759
2022-07-24,76.7759
2022-07-25,76.7759
2022-07-26,76.7759
2022-07-27,76.7759
2022-07-28,76.7759
2022-07-29,76.7759
2022-07-30,76.7759
2022-07-31,76.7759
2022-08-01,76.7759
2022-08-02,76.7759
2022-08-03,76.7759
2022-08-04,76.7759
2022-08-05,76.7759
2022-08-06,76.7759
2022-08-07,76.7759
2022-08-08,76.7759
2022-08-09,76.7759
2022-08-10,76.7759
2022-08-11,76.7759
2022-08-12,76.7759
2022-08-13,76.7759
2022-08-14,76.7759
2022-08-15,76.7759
2022-08-16,76.7759
2022-08-17,76.7759
2022-08-18,76.7759
2022-08-19,76.7759
2022-08-20,76.7759
2022-08-21,76.7759
2022-08-22,76.7759
2022-08-23,76.7759
2022-08-24,76.7759
2022-08-25,76.7759
2022-08-26,76.7759
2022-08-27,76.7759
2022-08-28,76.7759
2022-08-29,76.7759
2022-08-30,76.7759
2022-08-31,76.7759
2022-09-01,76.7759
2022-09-02,76.7759
2022-09-03,76.7759
2022-09-04,76.7759
2022-09-05,76.7759
2022-09-06,76.7759
2022-09-07,76.7759
2022-09-08,76.7759
2022-09-09,76.7759
2022-09-10,76.7759
2022-09-11,76.7759
2022-09-12,76.7759
2022-09-13,76.7759
2022-09-14,76.7759
2022-09-15,76.7759
2022-09-16,76.7759
2022-09-17,76.7759
2022-09-18,76.7759
2022-09-19,76.7759
2022-09-20,76.7759
2022-09-21,76.7759
2022-09-22,76.7759
2022-09-23,76.7759
2022-09-24,76.7759
2022-09-25,76.7759
2022-09-26,76.7759
2022-09-27,76.7759
2022-09-28,76.7759
2022-09-29,76.7759
2022-09-30,84.1199
2022-10-01,84.1199
2022-10-02,84.1199
2022-10-03,84.1199
2022-10-04,84.1199
2022-10-05,84.1199
2022-10-06,84.1199
2022-10-07,84.1199
2022-10-08,84.1199
2022-10-09,84.1199
2022-10-10,84.1199
2022-10-11,84.1199
2022-10-12,84.1199
2022-10-13,84.1199
2022-10-14,84.1199
2022-10-15,84.1199
2022-10-16,84.1199
2022-10-17,84.1199
2022-10-18,84.1199
2022-10-19,84.1199
2022-10-20,84.1199
2022-10-21,84.1199
2022-10-22,84.1199
2022-10-23,84.1199
2022-10-24,84.1199
2022-10-25,84.1199
2022-10-26,84.1199
2022-10-27,84.1199
2022-10-28,84.1199
2022-10-29,84.1199
2022-10-30,84.1199
2022-10-31,84.1199
2022-11-01,84.1199
2022-11-02,84.1199
2022-11-03,84.1199
2022-11-04,84.1199
2022-11-05,84.1199
2022-11-06,84.1199
2022-11-07,84.1199
2022-11-08,84.1199
2022-11-09,84.1199
2022-11-10,84.1199
2022-11-11,84.1199
2022-11-12,84.1199
2022-11-13,84.1199
2022-11-14,84.1199
2022-11-15,84.1199
2022-11-16,84.1199
2022-11-17,84.1199
2022-11-18,84.1199
2022-11-19,84.1199
2022-11-20,84.1199
2022-11-21,84.1199
2022-11-22,84.1199
2022-11-23,84.1199
2022-11-24,84.1199
2022-11-25,84.1199
2022-11-26,84.1199
2022-11-27,84.1199
2022-11-28,84.1199
2022-11-29,84.1199
2022-11-30,84.1199
2022-12-01,84.1199
2022-12-02,84.1199
2022-12-03,84.1199
2022-12-04,84.1199
2022-12-05,84.1199
2022-12-06,84.1199
2022-12-07,84.1199
2022-12-08,84.1199
2022-12-09,84.1199
2022-12-10,84.1199
2022-12-11,84.1199
2022-12-12,84.1199
2022-12-13,84.1199
2022-12-14,84.1199
2022-12-15,84.1199
2022-12-16,84.1199
2022-12-17,84.1199
2022-12-18,84.1199
2022-12-19,84.1199
2022-12-20,84.1199
2022-12-21,84.1199
2022-12-22,84.1199
2022-12-23,84.1199
2022-12-24,84.1199
2022-12-25,84.1199
2022-12-26,84.1199
2022-12-27,84.1199
2022-12-28,84.1199
2022-12-29,84.1199
2022-12-30,84.1199
2022-12-31,90.3918
2023-01-01,90.3918
2023-01-02,90.3918
2023-01-03,90.3918
2023-01-04,90.3918
2023-01-05,90.3918
2023-01-06,90.3918
2023-01-07,90.3918
2023-01-08,90.3918
2023-01-09,90.3918
2023-01-10,90.3918
2023-01-11,90.3918
2023-01-12,90.3918
2023-01-13,90.3918
2023-01-14,90.3918
2023-01-15,90.3918
2023-01-16,90.3918
2023-01-17,90.3918
2023-01-18,90.3918
2023-01-19,90.3918
2023-01-20,90.3918
2023-01-21,90.3918
2023-01-22,90.3918
2023-01-23,90.3918
2023-01-24,90.3918
2023-01-25,90.3918
2023-01-26,90.3918
2023-01-27,90.3918
2023-01-28,90.3918
2023-01-29,90.3918
2023-01-30,90.3918
2023-01-31,90.3918
2023-02-01,90.3918
2023-02-02,90.3918
2023-02-03,90.3918
2023-02-04,90.3918
2023-02-05,90.3918
2023-02-06,90.3918
2023-02-07,90.3918
2023-02-08,90.3918
2023-02-09,90.3918
2023-02-10,90.3918
2023-02-11,90.3918
2023-02-12,90.3918
2023-02-13,90.3918
2023-02-14,90.3918
2023-02-15,90.3918
2023-02-16,90.3918
2023-02-17,90.3918
2023-02-18,90.3918
2023-02-19,90.3918
2023-02-20,90.3918
2023-02-21,90.3918
2023-02-22,90.3918
2023-02-23,90.3918
2023-02-24,90.3918
2023-02-25,90.3918
2023-02-26,90.3918
2023-02-27,90.3918
2023-02-28,90.3918
2023-03-01,90.3918
2023-03-02,90.3918
2023-03-03,90.3918
2023-03-04,90.3918
2023-03-05,90.3918
2023-03-06,90.3918
2023-03-07,90.3918
2023-03-08,90.3918
2023-03-09,90.3918
2023-03-10,90.3918
2023-03-11,90.3918
2023-03-12,90.3918
2023-03-13,90.3918
2023-03-14,90.3918
2023-03-15,90.3918
2023-03-16,90.3918
2023-03-17,90.3918
2023-03-18,90.3918
2023-03-19,90.3918
2023-03-20,90.3918
2023-03-21,90.3918
2023-03-22,90.3918
2023-03-23,90.3918
2023-03-24,90.3918
2023-03-25,90.3918
2023-03-26,90.3918
2023-03-27,90.3918
2023-03-28,90.3918
2023-03-29,90.3918
