,CLB US Equity
,RETURN_COM_EQY
2021-09-29,30.7974
2021-09-30,27.2765
2021-10-01,27.2765
2021-10-02,27.2765
2021-10-03,27.2765
2021-10-04,27.2765
2021-10-05,27.2765
2021-10-06,27.2765
2021-10-07,27.2765
2021-10-08,27.2765
2021-10-09,27.2765
2021-10-10,27.2765
2021-10-11,27.2765
2021-10-12,27.2765
2021-10-13,27.2765
2021-10-14,27.2765
2021-10-15,27.2765
2021-10-16,27.2765
2021-10-17,27.2765
2021-10-18,27.2765
2021-10-19,27.2765
2021-10-20,27.2765
2021-10-21,27.2765
2021-10-22,27.2765
2021-10-23,27.2765
2021-10-24,27.2765
2021-10-25,27.2765
2021-10-26,27.2765
2021-10-27,27.2765
2021-10-28,27.2765
2021-10-29,27.2765
2021-10-30,27.2765
2021-10-31,27.2765
2021-11-01,27.2765
2021-11-02,27.2765
2021-11-03,27.2765
2021-11-04,27.2765
2021-11-05,27.2765
2021-11-06,27.2765
2021-11-07,27.2765
2021-11-08,27.2765
2021-11-09,27.2765
2021-11-10,27.2765
2021-11-11,27.2765
2021-11-12,27.2765
2021-11-13,27.2765
2021-11-14,27.2765
2021-11-15,27.2765
2021-11-16,27.2765
2021-11-17,27.2765
2021-11-18,27.2765
2021-11-19,27.2765
2021-11-20,27.2765
2021-11-21,27.2765
2021-11-22,27.2765
2021-11-23,27.2765
2021-11-24,27.2765
2021-11-25,27.2765
2021-11-26,27.2765
2021-11-27,27.2765
2021-11-28,27.2765
2021-11-29,27.2765
2021-11-30,27.2765
2021-12-01,27.2765
2021-12-02,27.2765
2021-12-03,27.2765
2021-12-04,27.2765
2021-12-05,27.2765
2021-12-06,27.2765
2021-12-07,27.2765
2021-12-08,27.2765
2021-12-09,27.2765
2021-12-10,27.2765
2021-12-11,27.2765
2021-12-12,27.2765
2021-12-13,27.2765
2021-12-14,27.2765
2021-12-15,27.2765
2021-12-16,27.2765
2021-12-17,27.2765
2021-12-18,27.2765
2021-12-19,27.2765
2021-12-20,27.2765
2021-12-21,27.2765
2021-12-22,27.2765
2021-12-23,27.2765
2021-12-24,27.2765
2021-12-25,27.2765
2021-12-26,27.2765
2021-12-27,27.2765
2021-12-28,27.2765
2021-12-29,27.2765
2021-12-30,27.2765
2021-12-31,17.3073
2022-01-01,17.3073
2022-01-02,17.3073
2022-01-03,17.3073
2022-01-04,17.3073
2022-01-05,17.3073
2022-01-06,17.3073
2022-01-07,17.3073
2022-01-08,17.3073
2022-01-09,17.3073
2022-01-10,17.3073
2022-01-11,17.3073
2022-01-12,17.3073
2022-01-13,17.3073
2022-01-14,17.3073
2022-01-15,17.3073
2022-01-16,17.3073
2022-01-17,17.3073
2022-01-18,17.3073
2022-01-19,17.3073
2022-01-20,17.3073
2022-01-21,17.3073
2022-01-22,17.3073
2022-01-23,17.3073
2022-01-24,17.3073
2022-01-25,17.3073
2022-01-26,17.3073
2022-01-27,17.3073
2022-01-28,17.3073
2022-01-29,17.3073
2022-01-30,17.3073
2022-01-31,17.3073
2022-02-01,17.3073
2022-02-02,17.3073
2022-02-03,17.3073
2022-02-04,17.3073
2022-02-05,17.3073
2022-02-06,17.3073
2022-02-07,17.3073
2022-02-08,17.3073
2022-02-09,17.3073
2022-02-10,17.3073
2022-02-11,17.3073
2022-02-12,17.3073
