,DGX US Equity
,RETURN_COM_EQY
2022-09-02,24.0455
2022-09-03,24.0455
2022-09-04,24.0455
2022-09-05,24.0455
2022-09-06,24.0455
2022-09-07,24.0455
2022-09-08,24.0455
2022-09-09,24.0455
2022-09-10,24.0455
2022-09-11,24.0455
2022-09-12,24.0455
2022-09-13,24.0455
2022-09-14,24.0455
2022-09-15,24.0455
2022-09-16,24.0455
2022-09-17,24.0455
2022-09-18,24.0455
2022-09-19,24.0455
2022-09-20,24.0455
2022-09-21,24.0455
2022-09-22,24.0455
2022-09-23,24.0455
2022-09-24,24.0455
2022-09-25,24.0455
2022-09-26,24.0455
2022-09-27,24.0455
2022-09-28,24.0455
2022-09-29,24.0455
2022-09-30,19.4979
2022-10-01,19.4979
2022-10-02,19.4979
2022-10-03,19.4979
2022-10-04,19.4979
2022-10-05,19.4979
2022-10-06,19.4979
2022-10-07,19.4979
2022-10-08,19.4979
2022-10-09,19.4979
2022-10-10,19.4979
2022-10-11,19.4979
2022-10-12,19.4979
2022-10-13,19.4979
2022-10-14,19.4979
2022-10-15,19.4979
2022-10-16,19.4979
2022-10-17,19.4979
2022-10-18,19.4979
2022-10-19,19.4979
2022-10-20,19.4979
2022-10-21,19.4979
2022-10-22,19.4979
2022-10-23,19.4979
2022-10-24,19.4979
2022-10-25,19.4979
2022-10-26,19.4979
2022-10-27,19.4979
2022-10-28,19.4979
2022-10-29,19.4979
2022-10-30,19.4979
2022-10-31,19.4979
2022-11-01,19.4979
2022-11-02,19.4979
2022-11-03,19.4979
2022-11-04,19.4979
2022-11-05,19.4979
2022-11-06,19.4979
2022-11-07,19.4979
2022-11-08,19.4979
2022-11-09,19.4979
2022-11-10,19.4979
2022-11-11,19.4979
2022-11-12,19.4979
2022-11-13,19.4979
2022-11-14,19.4979
2022-11-15,19.4979
2022-11-16,19.4979
2022-11-17,19.4979
2022-11-18,19.4979
2022-11-19,19.4979
2022-11-20,19.4979
2022-11-21,19.4979
2022-11-22,19.4979
2022-11-23,19.4979
2022-11-24,19.4979
2022-11-25,19.4979
2022-11-26,19.4979
2022-11-27,19.4979
2022-11-28,19.4979
2022-11-29,19.4979
2022-11-30,19.4979
2022-12-01,19.4979
2022-12-02,19.4979
2022-12-03,19.4979
2022-12-04,19.4979
2022-12-05,19.4979
2022-12-06,19.4979
2022-12-07,19.4979
2022-12-08,19.4979
2022-12-09,19.4979
2022-12-10,19.4979
2022-12-11,19.4979
2022-12-12,19.4979
2022-12-13,19.4979
2022-12-14,19.4979
2022-12-15,19.4979
2022-12-16,19.4979
2022-12-17,19.4979
2022-12-18,19.4979
2022-12-19,19.4979
2022-12-20,19.4979
2022-12-21,19.4979
2022-12-22,19.4979
2022-12-23,19.4979
2022-12-24,19.4979
2022-12-25,19.4979
2022-12-26,19.4979
2022-12-27,19.4979
2022-12-28,19.4979
2022-12-29,19.4979
2022-12-30,19.4979
2022-12-31,15.2711
2023-01-01,15.2711
2023-01-02,15.2711
2023-01-03,15.2711
2023-01-04,15.2711
2023-01-05,15.2711
2023-01-06,15.2711
2023-01-07,15.2711
2023-01-08,15.2711
2023-01-09,15.2711
2023-01-10,15.2711
2023-01-11,15.2711
2023-01-12,15.2711
2023-01-13,15.2711
2023-01-14,15.2711
2023-01-15,15.2711
2023-01-16,15.2711
2023-01-17,15.2711
2023-01-18,15.2711
2023-01-19,15.2711
2023-01-20,15.2711
2023-01-21,15.2711
2023-01-22,15.2711
2023-01-23,15.2711
2023-01-24,15.2711
2023-01-25,15.2711
2023-01-26,15.2711
2023-01-27,15.2711
2023-01-28,15.2711
2023-01-29,15.2711
2023-01-30,15.2711
2023-01-31,15.2711
2023-02-01,15.2711
2023-02-02,15.2711
2023-02-03,15.2711
2023-02-04,15.2711
2023-02-05,15.2711
2023-02-06,15.2711
2023-02-07,15.2711
2023-02-08,15.2711
2023-02-09,15.2711
2023-02-10,15.2711
2023-02-11,15.2711
2023-02-12,15.2711
2023-02-13,15.2711
2023-02-14,15.2711
2023-02-15,15.2711
2023-02-16,15.2711
2023-02-17,15.2711
2023-02-18,15.2711
2023-02-19,15.2711
2023-02-20,15.2711
2023-02-21,15.2711
2023-02-22,15.2711
2023-02-23,15.2711
2023-02-24,15.2711
2023-02-25,15.2711
2023-02-26,15.2711
2023-02-27,15.2711
2023-02-28,15.2711
2023-03-01,15.2711
2023-03-02,15.2711
