,COP US Equity
,RETURN_COM_EQY
2021-07-01,4.8859
2021-07-02,4.8859
2021-07-03,4.8859
2021-07-04,4.8859
2021-07-05,4.8859
2021-07-06,4.8859
2021-07-07,4.8859
2021-07-08,4.8859
2021-07-09,4.8859
2021-07-10,4.8859
2021-07-11,4.8859
2021-07-12,4.8859
2021-07-13,4.8859
2021-07-14,4.8859
2021-07-15,4.8859
2021-07-16,4.8859
2021-07-17,4.8859
2021-07-18,4.8859
2021-07-19,4.8859
2021-07-20,4.8859
2021-07-21,4.8859
2021-07-22,4.8859
2021-07-23,4.8859
2021-07-24,4.8859
2021-07-25,4.8859
2021-07-26,4.8859
2021-07-27,4.8859
2021-07-28,4.8859
2021-07-29,4.8859
2021-07-30,4.8859
2021-07-31,4.8859
2021-08-01,4.8859
2021-08-02,4.8859
2021-08-03,4.8859
2021-08-04,4.8859
2021-08-05,4.8859
2021-08-06,4.8859
2021-08-07,4.8859
2021-08-08,4.8859
2021-08-09,4.8859
2021-08-10,4.8859
2021-08-11,4.8859
2021-08-12,4.8859
2021-08-13,4.8859
2021-08-14,4.8859
2021-08-15,4.8859
2021-08-16,4.8859
2021-08-17,4.8859
2021-08-18,4.8859
2021-08-19,4.8859
2021-08-20,4.8859
2021-08-21,4.8859
2021-08-22,4.8859
2021-08-23,4.8859
2021-08-24,4.8859
2021-08-25,4.8859
2021-08-26,4.8859
2021-08-27,4.8859
2021-08-28,4.8859
2021-08-29,4.8859
2021-08-30,4.8859
2021-08-31,4.8859
2021-09-01,4.8859
2021-09-02,4.8859
2021-09-03,4.8859
2021-09-04,4.8859
2021-09-05,4.8859
2021-09-06,4.8859
2021-09-07,4.8859
2021-09-08,4.8859
2021-09-09,4.8859
2021-09-10,4.8859
2021-09-11,4.8859
2021-09-12,4.8859
2021-09-13,4.8859
2021-09-14,4.8859
2021-09-15,4.8859
2021-09-16,4.8859
2021-09-17,4.8859
2021-09-18,4.8859
2021-09-19,4.8859
2021-09-20,4.8859
2021-09-21,4.8859
2021-09-22,4.8859
2021-09-23,4.8859
2021-09-24,4.8859
2021-09-25,4.8859
2021-09-26,4.8859
2021-09-27,4.8859
2021-09-28,4.8859
2021-09-29,4.8859
2021-09-30,12.497
2021-10-01,12.497
2021-10-02,12.497
2021-10-03,12.497
2021-10-04,12.497
2021-10-05,12.497
2021-10-06,12.497
2021-10-07,12.497
2021-10-08,12.497
2021-10-09,12.497
2021-10-10,12.497
2021-10-11,12.497
2021-10-12,12.497
2021-10-13,12.497
2021-10-14,12.497
2021-10-15,12.497
2021-10-16,12.497
2021-10-17,12.497
2021-10-18,12.497
2021-10-19,12.497
2021-10-20,12.497
2021-10-21,12.497
2021-10-22,12.497
2021-10-23,12.497
2021-10-24,12.497
2021-10-25,12.497
2021-10-26,12.497
2021-10-27,12.497
2021-10-28,12.497
2021-10-29,12.497
2021-10-30,12.497
2021-10-31,12.497
2021-11-01,12.497
2021-11-02,12.497
2021-11-03,12.497
2021-11-04,12.497
2021-11-05,12.497
2021-11-06,12.497
2021-11-07,12.497
2021-11-08,12.497
2021-11-09,12.497
2021-11-10,12.497
2021-11-11,12.497
2021-11-12,12.497
2021-11-13,12.497
2021-11-14,12.497
2021-11-15,12.497
2021-11-16,12.497
2021-11-17,12.497
2021-11-18,12.497
2021-11-19,12.497
2021-11-20,12.497
2021-11-21,12.497
2021-11-22,12.497
2021-11-23,12.497
2021-11-24,12.497
2021-11-25,12.497
2021-11-26,12.497
2021-11-27,12.497
2021-11-28,12.497
2021-11-29,12.497
2021-11-30,12.497
2021-12-01,12.497
2021-12-02,12.497
2021-12-03,12.497
2021-12-04,12.497
2021-12-05,12.497
2021-12-06,12.497
2021-12-07,12.497
2021-12-08,12.497
2021-12-09,12.497
2021-12-10,12.497
2021-12-11,12.497
2021-12-12,12.497
2021-12-13,12.497
2021-12-14,12.497
2021-12-15,12.497
2021-12-16,12.497
2021-12-17,12.497
2021-12-18,12.497
2021-12-19,12.497
2021-12-20,12.497
2021-12-21,12.497
2021-12-22,12.497
2021-12-23,12.497
2021-12-24,12.497
