,FHI US Equity
,RETURN_COM_EQY
2023-01-01,21.0395
2023-01-02,21.0395
2023-01-03,21.0395
2023-01-04,21.0395
2023-01-05,21.0395
2023-01-06,21.0395
2023-01-07,21.0395
2023-01-08,21.0395
2023-01-09,21.0395
2023-01-10,21.0395
2023-01-11,21.0395
2023-01-12,21.0395
2023-01-13,21.0395
2023-01-14,21.0395
2023-01-15,21.0395
2023-01-16,21.0395
2023-01-17,21.0395
2023-01-18,21.0395
2023-01-19,21.0395
2023-01-20,21.0395
2023-01-21,21.0395
2023-01-22,21.0395
2023-01-23,21.0395
2023-01-24,21.0395
2023-01-25,21.0395
2023-01-26,21.0395
2023-01-27,21.0395
2023-01-28,21.0395
2023-01-29,21.0395
2023-01-30,21.0395
2023-01-31,21.0395
2023-02-01,21.0395
2023-02-02,21.0395
2023-02-03,21.0395
2023-02-04,21.0395
2023-02-05,21.0395
2023-02-06,21.0395
2023-02-07,21.0395
2023-02-08,21.0395
2023-02-09,21.0395
2023-02-10,21.0395
2023-02-11,21.0395
2023-02-12,21.0395
2023-02-13,21.0395
2023-02-14,21.0395
2023-02-15,21.0395
2023-02-16,21.0395
2023-02-17,21.0395
2023-02-18,21.0395
2023-02-19,21.0395
2023-02-20,21.0395
2023-02-21,21.0395
2023-02-22,21.0395
2023-02-23,21.0395
2023-02-24,21.0395
2023-02-25,21.0395
2023-02-26,21.0395
2023-02-27,21.0395
2023-02-28,21.0395
2023-03-01,21.0395
2023-03-02,21.0395
2023-03-03,21.0395
2023-03-04,21.0395
2023-03-05,21.0395
2023-03-06,21.0395
2023-03-07,21.0395
2023-03-08,21.0395
2023-03-09,21.0395
2023-03-10,21.0395
2023-03-11,21.0395
2023-03-12,21.0395
2023-03-13,21.0395
2023-03-14,21.0395
2023-03-15,21.0395
2023-03-16,21.0395
2023-03-17,21.0395
2023-03-18,21.0395
2023-03-19,21.0395
2023-03-20,21.0395
2023-03-21,21.0395
2023-03-22,21.0395
2023-03-23,21.0395
2023-03-24,21.0395
2023-03-25,21.0395
