,AMGN US Equity
,RETURN_COM_EQY
2021-05-08,75.2962
2021-05-09,75.2962
2021-05-10,75.2962
2021-05-11,75.2962
2021-05-12,75.2962
2021-05-13,75.2962
2021-05-14,75.2962
2021-05-15,75.2962
2021-05-16,75.2962
2021-05-17,75.2962
2021-05-18,75.2962
2021-05-19,75.2962
2021-05-20,75.2962
2021-05-21,75.2962
2021-05-22,75.2962
2021-05-23,75.2962
2021-05-24,75.2962
2021-05-25,75.2962
2021-05-26,75.2962
2021-05-27,75.2962
2021-05-28,75.2962
2021-05-29,75.2962
2021-05-30,75.2962
2021-05-31,75.2962
2021-06-01,75.2962
2021-06-02,75.2962
2021-06-03,75.2962
2021-06-04,75.2962
2021-06-05,75.2962
2021-06-06,75.2962
2021-06-07,75.2962
2021-06-08,75.2962
2021-06-09,75.2962
2021-06-10,75.2962
2021-06-11,75.2962
2021-06-12,75.2962
2021-06-13,75.2962
2021-06-14,75.2962
2021-06-15,75.2962
2021-06-16,75.2962
2021-06-17,75.2962
2021-06-18,75.2962
2021-06-19,75.2962
2021-06-20,75.2962
2021-06-21,75.2962
2021-06-22,75.2962
2021-06-23,75.2962
2021-06-24,75.2962
2021-06-25,75.2962
2021-06-26,75.2962
2021-06-27,75.2962
2021-06-28,75.2962
2021-06-29,75.2962
2021-06-30,60.7849
2021-07-01,60.7849
2021-07-02,60.7849
2021-07-03,60.7849
2021-07-04,60.7849
2021-07-05,60.7849
2021-07-06,60.7849
2021-07-07,60.7849
2021-07-08,60.7849
2021-07-09,60.7849
2021-07-10,60.7849
2021-07-11,60.7849
2021-07-12,60.7849
2021-07-13,60.7849
2021-07-14,60.7849
2021-07-15,60.7849
2021-07-16,60.7849
2021-07-17,60.7849
2021-07-18,60.7849
2021-07-19,60.7849
2021-07-20,60.7849
2021-07-21,60.7849
2021-07-22,60.7849
2021-07-23,60.7849
2021-07-24,60.7849
2021-07-25,60.7849
2021-07-26,60.7849
2021-07-27,60.7849
2021-07-28,60.7849
2021-07-29,60.7849
2021-07-30,60.7849
2021-07-31,60.7849
2021-08-01,60.7849
2021-08-02,60.7849
2021-08-03,60.7849
2021-08-04,60.7849
2021-08-05,60.7849
2021-08-06,60.7849
2021-08-07,60.7849
2021-08-08,60.7849
2021-08-09,60.7849
2021-08-10,60.7849
2021-08-11,60.7849
2021-08-12,60.7849
2021-08-13,60.7849
2021-08-14,60.7849
2021-08-15,60.7849
2021-08-16,60.7849
2021-08-17,60.7849
2021-08-18,60.7849
2021-08-19,60.7849
2021-08-20,60.7849
2021-08-21,60.7849
2021-08-22,60.7849
2021-08-23,60.7849
2021-08-24,60.7849
2021-08-25,60.7849
2021-08-26,60.7849
2021-08-27,60.7849
2021-08-28,60.7849
2021-08-29,60.7849
2021-08-30,60.7849
2021-08-31,60.7849
2021-09-01,60.7849
2021-09-02,60.7849
2021-09-03,60.7849
2021-09-04,60.7849
2021-09-05,60.7849
2021-09-06,60.7849
2021-09-07,60.7849
2021-09-08,60.7849
2021-09-09,60.7849
2021-09-10,60.7849
2021-09-11,60.7849
2021-09-12,60.7849
2021-09-13,60.7849
2021-09-14,60.7849
2021-09-15,60.7849
2021-09-16,60.7849
2021-09-17,60.7849
2021-09-18,60.7849
2021-09-19,60.7849
2021-09-20,60.7849
2021-09-21,60.7849
2021-09-22,60.7849
2021-09-23,60.7849
2021-09-24,60.7849
2021-09-25,60.7849
2021-09-26,60.7849
2021-09-27,60.7849
2021-09-28,60.7849
2021-09-29,60.7849
2021-09-30,58.5002
2021-10-01,58.5002
2021-10-02,58.5002
2021-10-03,58.5002
2021-10-04,58.5002
2021-10-05,58.5002
2021-10-06,58.5002
2021-10-07,58.5002
2021-10-08,58.5002
2021-10-09,58.5002
2021-10-10,58.5002
2021-10-11,58.5002
2021-10-12,58.5002
2021-10-13,58.5002
2021-10-14,58.5002
2021-10-15,58.5002
2021-10-16,58.5002
2021-10-17,58.5002
2021-10-18,58.5002
2021-10-19,58.5002
2021-10-20,58.5002
2021-10-21,58.5002
2021-10-22,58.5002
2021-10-23,58.5002
2021-10-24,58.5002
2021-10-25,58.5002
2021-10-26,58.5002
2021-10-27,58.5002
2021-10-28,58.5002
2021-10-29,58.5002
2021-10-30,58.5002
2021-10-31,58.5002
2021-11-01,58.5002
2021-11-02,58.5002
2021-11-03,58.5002
2021-11-04,58.5002
2021-11-05,58.5002
2021-11-06,58.5002
2021-11-07,58.5002
2021-11-08,58.5002
2021-11-09,58.5002
2021-11-10,58.5002
2021-11-11,58.5002
2021-11-12,58.5002
2021-11-13,58.5002
2021-11-14,58.5002
2021-11-15,58.5002
2021-11-16,58.5002
2021-11-17,58.5002
2021-11-18,58.5002
2021-11-19,58.5002
2021-11-20,58.5002
2021-11-21,58.5002
2021-11-22,58.5002
2021-11-23,58.5002
2021-11-24,58.5002
2021-11-25,58.5002
2021-11-26,58.5002
2021-11-27,58.5002
2021-11-28,58.5002
2021-11-29,58.5002
2021-11-30,58.5002
2021-12-01,58.5002
2021-12-02,58.5002
2021-12-03,58.5002
2021-12-04,58.5002
2021-12-05,58.5002
2021-12-06,58.5002
2021-12-07,58.5002
2021-12-08,58.5002
2021-12-09,58.5002
2021-12-10,58.5002
2021-12-11,58.5002
2021-12-12,58.5002
2021-12-13,58.5002
2021-12-14,58.5002
2021-12-15,58.5002
2021-12-16,58.5002
2021-12-17,58.5002
2021-12-18,58.5002
2021-12-19,58.5002
2021-12-20,58.5002
2021-12-21,58.5002
2021-12-22,58.5002
2021-12-23,58.5002
2021-12-24,58.5002
2021-12-25,58.5002
2021-12-26,58.5002
2021-12-27,58.5002
2021-12-28,58.5002
2021-12-29,58.5002
2021-12-30,58.5002
2021-12-31,73.1641
2022-01-01,73.1641
2022-01-02,73.1641
2022-01-03,73.1641
2022-01-04,73.1641
2022-01-05,73.1641
2022-01-06,73.1641
2022-01-07,73.1641
2022-01-08,73.1641
2022-01-09,73.1641
2022-01-10,73.1641
2022-01-11,73.1641
2022-01-12,73.1641
2022-01-13,73.1641
2022-01-14,73.1641
2022-01-15,73.1641
2022-01-16,73.1641
2022-01-17,73.1641
2022-01-18,73.1641
2022-01-19,73.1641
2022-01-20,73.1641
2022-01-21,73.1641
2022-01-22,73.1641
2022-01-23,73.1641
2022-01-24,73.1641
2022-01-25,73.1641
2022-01-26,73.1641
2022-01-27,73.1641
2022-01-28,73.1641
2022-01-29,73.1641
2022-01-30,73.1641
2022-01-31,73.1641
2022-02-01,73.1641
2022-02-02,73.1641
2022-02-03,73.1641
2022-02-04,73.1641
2022-02-05,73.1641
2022-02-06,73.1641
2022-02-07,73.1641
2022-02-08,73.1641
2022-02-09,73.1641
2022-02-10,73.1641
2022-02-11,73.1641
2022-02-12,73.1641
2022-02-13,73.1641
2022-02-14,73.1641
2022-02-15,73.1641
2022-02-16,73.1641
2022-02-17,73.1641
2022-02-18,73.1641
2022-02-19,73.1641
2022-02-20,73.1641
2022-02-21,73.1641
2022-02-22,73.1641
2022-02-23,73.1641
2022-02-24,73.1641
2022-02-25,73.1641
2022-02-26,73.1641
2022-02-27,73.1641
2022-02-28,73.1641
2022-03-01,73.1641
2022-03-02,73.1641
2022-03-03,73.1641
2022-03-04,73.1641
2022-03-05,73.1641
2022-03-06,73.1641
2022-03-07,73.1641
2022-03-08,73.1641
2022-03-09,73.1641
2022-03-10,73.1641
2022-03-11,73.1641
2022-03-12,73.1641
2022-03-13,73.1641
2022-03-14,73.1641
2022-03-15,73.1641
2022-03-16,73.1641
2022-03-17,73.1641
2022-03-18,73.1641
2022-03-19,73.1641
2022-03-20,73.1641
2022-03-21,73.1641
2022-03-22,73.1641
2022-03-23,73.1641
2022-03-24,73.1641
2022-03-25,73.1641
2022-03-26,73.1641
2022-03-27,73.1641
2022-03-28,73.1641
2022-03-29,73.1641
2022-03-30,73.1641
2022-03-31,111.6683
2022-04-01,111.6683
2022-04-02,111.6683
2022-04-03,111.6683
2022-04-04,111.6683
2022-04-05,111.6683
2022-04-06,111.6683
2022-04-07,111.6683
2022-04-08,111.6683
2022-04-09,111.6683
2022-04-10,111.6683
2022-04-11,111.6683
2022-04-12,111.6683
2022-04-13,111.6683
2022-04-14,111.6683
2022-04-15,111.6683
2022-04-16,111.6683
2022-04-17,111.6683
2022-04-18,111.6683
2022-04-19,111.6683
2022-04-20,111.6683
2022-04-21,111.6683
2022-04-22,111.6683
2022-04-23,111.6683
2022-04-24,111.6683
2022-04-25,111.6683
2022-04-26,111.6683
2022-04-27,111.6683
2022-04-28,111.6683
2022-04-29,111.6683
2022-04-30,111.6683
2022-05-01,111.6683
2022-05-02,111.6683
2022-05-03,111.6683
2022-05-04,111.6683
2022-05-05,111.6683
2022-05-06,111.6683
2022-05-07,111.6683
2022-05-08,111.6683
2022-05-09,111.6683
2022-05-10,111.6683
2022-05-11,111.6683
2022-05-12,111.6683
2022-05-13,111.6683
2022-05-14,111.6683
2022-05-15,111.6683
2022-05-16,111.6683
2022-05-17,111.6683
2022-05-18,111.6683
2022-05-19,111.6683
2022-05-20,111.6683
2022-05-21,111.6683
2022-05-22,111.6683
2022-05-23,111.6683
2022-05-24,111.6683
2022-05-25,111.6683
2022-05-26,111.6683
2022-05-27,111.6683
2022-05-28,111.6683
2022-05-29,111.6683
2022-05-30,111.6683
2022-05-31,111.6683
2022-06-01,111.6683
2022-06-02,111.6683
2022-06-03,111.6683
2022-06-04,111.6683
2022-06-05,111.6683
2022-06-06,111.6683
2022-06-07,111.6683
2022-06-08,111.6683
2022-06-09,111.6683
2022-06-10,111.6683
2022-06-11,111.6683
2022-06-12,111.6683
2022-06-13,111.6683
2022-06-14,111.6683
2022-06-15,111.6683
2022-06-16,111.6683
2022-06-17,111.6683
2022-06-18,111.6683
2022-06-19,111.6683
2022-06-20,111.6683
2022-06-21,111.6683
2022-06-22,111.6683
2022-06-23,111.6683
2022-06-24,111.6683
2022-06-25,111.6683
2022-06-26,111.6683
2022-06-27,111.6683
2022-06-28,111.6683
2022-06-29,111.6683
2022-06-30,123.3077
2022-07-01,123.3077
2022-07-02,123.3077
2022-07-03,123.3077
2022-07-04,123.3077
2022-07-05,123.3077
2022-07-06,123.3077
2022-07-07,123.3077
2022-07-08,123.3077
2022-07-09,123.3077
2022-07-10,123.3077
2022-07-11,123.3077
2022-07-12,123.3077
2022-07-13,123.3077
2022-07-14,123.3077
2022-07-15,123.3077
2022-07-16,123.3077
2022-07-17,123.3077
2022-07-18,123.3077
2022-07-19,123.3077
2022-07-20,123.3077
2022-07-21,123.3077
2022-07-22,123.3077
2022-07-23,123.3077
2022-07-24,123.3077
2022-07-25,123.3077
2022-07-26,123.3077
2022-07-27,123.3077
2022-07-28,123.3077
2022-07-29,123.3077
2022-07-30,123.3077
2022-07-31,123.3077
2022-08-01,123.3077
2022-08-02,123.3077
2022-08-03,123.3077
2022-08-04,123.3077
2022-08-05,123.3077
2022-08-06,123.3077
2022-08-07,123.3077
2022-08-08,123.3077
2022-08-09,123.3077
2022-08-10,123.3077
2022-08-11,123.3077
2022-08-12,123.3077
2022-08-13,123.3077
2022-08-14,123.3077
2022-08-15,123.3077
2022-08-16,123.3077
2022-08-17,123.3077
2022-08-18,123.3077
2022-08-19,123.3077
2022-08-20,123.3077
2022-08-21,123.3077
2022-08-22,123.3077
2022-08-23,123.3077
2022-08-24,123.3077
2022-08-25,123.3077
2022-08-26,123.3077
2022-08-27,123.3077
2022-08-28,123.3077
2022-08-29,123.3077
2022-08-30,123.3077
2022-08-31,123.3077
2022-09-01,123.3077
2022-09-02,123.3077
2022-09-03,123.3077
2022-09-04,123.3077
2022-09-05,123.3077
2022-09-06,123.3077
2022-09-07,123.3077
2022-09-08,123.3077
2022-09-09,123.3077
2022-09-10,123.3077
2022-09-11,123.3077
2022-09-12,123.3077
2022-09-13,123.3077
2022-09-14,123.3077
2022-09-15,123.3077
2022-09-16,123.3077
2022-09-17,123.3077
2022-09-18,123.3077
2022-09-19,123.3077
2022-09-20,123.3077
2022-09-21,123.3077
2022-09-22,123.3077
2022-09-23,123.3077
2022-09-24,123.3077
2022-09-25,123.3077
2022-09-26,123.3077
2022-09-27,123.3077
2022-09-28,123.3077
2022-09-29,123.3077
2022-09-30,115.1643
2022-10-01,115.1643
2022-10-02,115.1643
2022-10-03,115.1643
2022-10-04,115.1643
2022-10-05,115.1643
2022-10-06,115.1643
2022-10-07,115.1643
2022-10-08,115.1643
2022-10-09,115.1643
2022-10-10,115.1643
2022-10-11,115.1643
2022-10-12,115.1643
2022-10-13,115.1643
2022-10-14,115.1643
2022-10-15,115.1643
2022-10-16,115.1643
2022-10-17,115.1643
2022-10-18,115.1643
2022-10-19,115.1643
2022-10-20,115.1643
2022-10-21,115.1643
2022-10-22,115.1643
2022-10-23,115.1643
2022-10-24,115.1643
2022-10-25,115.1643
2022-10-26,115.1643
2022-10-27,115.1643
2022-10-28,115.1643
2022-10-29,115.1643
2022-10-30,115.1643
2022-10-31,115.1643
2022-11-01,115.1643
2022-11-02,115.1643
2022-11-03,115.1643
2022-11-04,115.1643
2022-11-05,115.1643
2022-11-06,115.1643
2022-11-07,115.1643
2022-11-08,115.1643
2022-11-09,115.1643
2022-11-10,115.1643
2022-11-11,115.1643
2022-11-12,115.1643
2022-11-13,115.1643
2022-11-14,115.1643
2022-11-15,115.1643
2022-11-16,115.1643
2022-11-17,115.1643
2022-11-18,115.1643
2022-11-19,115.1643
2022-11-20,115.1643
2022-11-21,115.1643
2022-11-22,115.1643
2022-11-23,115.1643
2022-11-24,115.1643
2022-11-25,115.1643
2022-11-26,115.1643
2022-11-27,115.1643
2022-11-28,115.1643
2022-11-29,115.1643
2022-11-30,115.1643
2022-12-01,115.1643
2022-12-02,115.1643
2022-12-03,115.1643
2022-12-04,115.1643
2022-12-05,115.1643
2022-12-06,115.1643
2022-12-07,115.1643
2022-12-08,115.1643
2022-12-09,115.1643
2022-12-10,115.1643
2022-12-11,115.1643
2022-12-12,115.1643
2022-12-13,115.1643
2022-12-14,115.1643
2022-12-15,115.1643
2022-12-16,115.1643
2022-12-17,115.1643
2022-12-18,115.1643
2022-12-19,115.1643
2022-12-20,115.1643
