,UNP US Equity
,RETURN_COM_EQY
2022-06-15,48.3961
2022-06-16,48.3961
2022-06-17,48.3961
2022-06-18,48.3961
2022-06-19,48.3961
2022-06-20,48.3961
2022-06-21,48.3961
2022-06-22,48.3961
2022-06-23,48.3961
2022-06-24,48.3961
2022-06-25,48.3961
2022-06-26,48.3961
2022-06-27,48.3961
2022-06-28,48.3961
2022-06-29,48.3961
2022-06-30,50.7089
2022-07-01,50.7089
2022-07-02,50.7089
2022-07-03,50.7089
2022-07-04,50.7089
2022-07-05,50.7089
2022-07-06,50.7089
2022-07-07,50.7089
2022-07-08,50.7089
2022-07-09,50.7089
2022-07-10,50.7089
2022-07-11,50.7089
2022-07-12,50.7089
2022-07-13,50.7089
2022-07-14,50.7089
2022-07-15,50.7089
2022-07-16,50.7089
2022-07-17,50.7089
2022-07-18,50.7089
2022-07-19,50.7089
2022-07-20,50.7089
2022-07-21,50.7089
2022-07-22,50.7089
2022-07-23,50.7089
2022-07-24,50.7089
2022-07-25,50.7089
2022-07-26,50.7089
2022-07-27,50.7089
2022-07-28,50.7089
2022-07-29,50.7089
2022-07-30,50.7089
2022-07-31,50.7089
2022-08-01,50.7089
2022-08-02,50.7089
2022-08-03,50.7089
2022-08-04,50.7089
2022-08-05,50.7089
2022-08-06,50.7089
2022-08-07,50.7089
2022-08-08,50.7089
2022-08-09,50.7089
2022-08-10,50.7089
2022-08-11,50.7089
2022-08-12,50.7089
2022-08-13,50.7089
2022-08-14,50.7089
2022-08-15,50.7089
2022-08-16,50.7089
2022-08-17,50.7089
2022-08-18,50.7089
2022-08-19,50.7089
2022-08-20,50.7089
2022-08-21,50.7089
2022-08-22,50.7089
2022-08-23,50.7089
2022-08-24,50.7089
2022-08-25,50.7089
2022-08-26,50.7089
2022-08-27,50.7089
2022-08-28,50.7089
2022-08-29,50.7089
2022-08-30,50.7089
2022-08-31,50.7089
2022-09-01,50.7089
2022-09-02,50.7089
2022-09-03,50.7089
2022-09-04,50.7089
2022-09-05,50.7089
2022-09-06,50.7089
2022-09-07,50.7089
2022-09-08,50.7089
2022-09-09,50.7089
2022-09-10,50.7089
2022-09-11,50.7089
2022-09-12,50.7089
2022-09-13,50.7089
2022-09-14,50.7089
2022-09-15,50.7089
2022-09-16,50.7089
2022-09-17,50.7089
2022-09-18,50.7089
2022-09-19,50.7089
2022-09-20,50.7089
2022-09-21,50.7089
2022-09-22,50.7089
2022-09-23,50.7089
2022-09-24,50.7089
2022-09-25,50.7089
2022-09-26,50.7089
2022-09-27,50.7089
2022-09-28,50.7089
2022-09-29,50.7089
2022-09-30,55.113
2022-10-01,55.113
2022-10-02,55.113
2022-10-03,55.113
2022-10-04,55.113
2022-10-05,55.113
2022-10-06,55.113
2022-10-07,55.113
2022-10-08,55.113
2022-10-09,55.113
2022-10-10,55.113
