,KO US Equity
,RETURN_COM_EQY
2022-12-06,44.1268
2022-12-07,44.1268
2022-12-08,44.1268
2022-12-09,44.1268
2022-12-10,44.1268
2022-12-11,44.1268
2022-12-12,44.1268
2022-12-13,44.1268
2022-12-14,44.1268
2022-12-15,44.1268
2022-12-16,44.1268
2022-12-17,44.1268
2022-12-18,44.1268
2022-12-19,44.1268
2022-12-20,44.1268
2022-12-21,44.1268
2022-12-22,44.1268
2022-12-23,44.1268
2022-12-24,44.1268
2022-12-25,44.1268
2022-12-26,44.1268
2022-12-27,44.1268
2022-12-28,44.1268
2022-12-29,44.1268
2022-12-30,44.1268
2022-12-31,40.5146
2023-01-01,40.5146
2023-01-02,40.5146
2023-01-03,40.5146
2023-01-04,40.5146
2023-01-05,40.5146
2023-01-06,40.5146
2023-01-07,40.5146
2023-01-08,40.5146
2023-01-09,40.5146
2023-01-10,40.5146
2023-01-11,40.5146
2023-01-12,40.5146
2023-01-13,40.5146
2023-01-14,40.5146
2023-01-15,40.5146
2023-01-16,40.5146
2023-01-17,40.5146
2023-01-18,40.5146
2023-01-19,40.5146
2023-01-20,40.5146
2023-01-21,40.5146
2023-01-22,40.5146
2023-01-23,40.5146
2023-01-24,40.5146
2023-01-25,40.5146
2023-01-26,40.5146
2023-01-27,40.5146
2023-01-28,40.5146
2023-01-29,40.5146
2023-01-30,40.5146
2023-01-31,40.5146
2023-02-01,40.5146
2023-02-02,40.5146
2023-02-03,40.5146
2023-02-04,40.5146
2023-02-05,40.5146
2023-02-06,40.5146
2023-02-07,40.5146
2023-02-08,40.5146
2023-02-09,40.5146
2023-02-10,40.5146
2023-02-11,40.5146
2023-02-12,40.5146
2023-02-13,40.5146
2023-02-14,40.5146
2023-02-15,40.5146
2023-02-16,40.5146
2023-02-17,40.5146
2023-02-18,40.5146
2023-02-19,40.5146
2023-02-20,40.5146
2023-02-21,40.5146
2023-02-22,40.5146
2023-02-23,40.5146
2023-02-24,40.5146
2023-02-25,40.5146
2023-02-26,40.5146
2023-02-27,40.5146
2023-02-28,40.5146
2023-03-01,40.5146
2023-03-02,40.5146
2023-03-03,40.5146
2023-03-04,40.5146
2023-03-05,40.5146
2023-03-06,40.5146
2023-03-07,40.5146
2023-03-08,40.5146
2023-03-09,40.5146
2023-03-10,40.5146
2023-03-11,40.5146
2023-03-12,40.5146
2023-03-13,40.5146
2023-03-14,40.5146
2023-03-15,40.5146
2023-03-16,40.5146
2023-03-17,40.5146
2023-03-18,40.5146
