,IFF US Equity
,RSI_30D
2021-11-27,48.1767
2021-11-28,48.1767
2021-11-29,51.0488
2021-11-30,45.9962
2021-12-01,45.3761
2021-12-02,44.4509
2021-12-03,44.7654
2021-12-04,44.7654
2021-12-05,44.7654
2021-12-06,47.3473
2021-12-07,49.5908
2021-12-08,52.6511
2021-12-09,51.9241
2021-12-10,51.5343
2021-12-11,51.5343
2021-12-12,51.5343
2021-12-13,50.8543
2021-12-14,49.9849
2021-12-15,49.2136
2021-12-16,50.2349
2021-12-17,48.5733
2021-12-18,48.5733
2021-12-19,48.5733
2021-12-20,46.2833
2021-12-21,46.7686
2021-12-22,46.2606
2021-12-23,47.3555
2021-12-24,47.3555
2021-12-25,47.3555
2021-12-26,47.3555
2021-12-27,50.8404
2021-12-28,53.2916
2021-12-29,54.9082
2021-12-30,54.3681
2021-12-31,56.5184
2022-01-01,56.5184
2022-01-02,56.5184
2022-01-03,54.571
2022-01-04,55.156
2022-01-05,49.5456
2022-01-06,48.3694
2022-01-07,46.4508
2022-01-08,46.4508
2022-01-09,46.4508
2022-01-10,45.0713
2022-01-11,51.1313
2022-01-12,51.058
2022-01-13,50.8321
2022-01-14,50.7326
2022-01-15,50.7326
2022-01-16,50.7326
2022-01-17,50.7326
2022-01-18,46.0011
2022-01-19,44.281
2022-01-20,46.1161
2022-01-21,44.5152
2022-01-22,44.5152
2022-01-23,44.5152
2022-01-24,42.1516
2022-01-25,40.0193
2022-01-26,39.3828
2022-01-27,38.3802
2022-01-28,37.4105
2022-01-29,37.4105
2022-01-30,37.4105
2022-01-31,38.955
2022-02-01,41.639
2022-02-02,41.0396
2022-02-03,37.5197
2022-02-04,36.1452
2022-02-05,36.1452
2022-02-06,36.1452
2022-02-07,37.24
2022-02-08,38.4324
2022-02-09,42.7883
2022-02-10,46.8082
2022-02-11,44.6231
2022-02-12,44.6231
2022-02-13,44.6231
2022-02-14,42.8217
2022-02-15,46.48
2022-02-16,48.5511
2022-02-17,47.0412
2022-02-18,46.28
2022-02-19,46.28
2022-02-20,46.28
2022-02-21,46.28
2022-02-22,45.403
2022-02-23,45.1083
2022-02-24,47.4186
2022-02-25,51.0311
2022-02-26,51.0311
2022-02-27,51.0311
2022-02-28,45.5569
2022-03-01,42.2744
2022-03-02,43.4768
2022-03-03,41.6346
2022-03-04,39.37
2022-03-05,39.37
2022-03-06,39.37
2022-03-07,35.2361
2022-03-08,38.4775
2022-03-09,39.4523
2022-03-10,39.8166
2022-03-11,38.0323
2022-03-12,38.0323
2022-03-13,38.0323
2022-03-14,37.1245
2022-03-15,40.6915
2022-03-16,44.3907
2022-03-17,45.6226
2022-03-18,47.5768
2022-03-19,47.5768
2022-03-20,47.5768
2022-03-21,45.8779
2022-03-22,46.6401
2022-03-23,45.6788
2022-03-24,47.7486
2022-03-25,48.9081
2022-03-26,48.9081
2022-03-27,48.9081
2022-03-28,49.5632
2022-03-29,52.3556
2022-03-30,50.1268
2022-03-31,50.216
2022-04-01,52.4165
2022-04-02,52.4165
2022-04-03,52.4165
2022-04-04,49.7691
2022-04-05,48.7188
2022-04-06,45.9991
2022-04-07,46.3171
2022-04-08,45.1953
2022-04-09,45.1953
2022-04-10,45.1953
2022-04-11,46.3498
2022-04-12,45.4721
2022-04-13,48.0727
2022-04-14,46.5021
2022-04-15,46.5021
2022-04-16,46.5021
2022-04-17,46.5021
2022-04-18,44.6256
2022-04-19,46.1331
2022-04-20,46.6395
2022-04-21,46.4175
2022-04-22,46.2353
2022-04-23,46.2353
2022-04-24,46.2353
2022-04-25,45.0615
2022-04-26,42.6951
2022-04-27,45.8025
2022-04-28,47.4525
2022-04-29,44.62
2022-04-30,44.62
2022-05-01,44.62
2022-05-02,44.8576
2022-05-03,45.155
2022-05-04,49.1054
2022-05-05,46.2947
2022-05-06,45.8591
2022-05-07,45.8591
2022-05-08,45.8591
2022-05-09,43.9619
2022-05-10,48.9027
2022-05-11,50.7705
2022-05-12,51.162
2022-05-13,53.7672
2022-05-14,53.7672
2022-05-15,53.7672
2022-05-16,50.5403
2022-05-17,51.8707
2022-05-18,49.7391
2022-05-19,51.2223
2022-05-20,51.1617
2022-05-21,51.1617
2022-05-22,51.1617
2022-05-23,51.2959
2022-05-24,50.8382
2022-05-25,51.7371
2022-05-26,52.755
2022-05-27,54.2486
2022-05-28,54.2486
2022-05-29,54.2486
2022-05-30,54.2486
2022-05-31,53.5428
2022-06-01,53.5337
2022-06-02,54.8465
2022-06-03,53.6677
2022-06-04,53.6677
2022-06-05,53.6677
2022-06-06,53.6843
2022-06-07,55.2845
2022-06-08,53.6936
2022-06-09,51.656
2022-06-10,46.5684
2022-06-11,46.5684
2022-06-12,46.5684
2022-06-13,42.6366
2022-06-14,41.0326
2022-06-15,40.544
2022-06-16,36.3836
2022-06-17,35.6942
2022-06-18,35.6942
2022-06-19,35.6942
2022-06-20,35.6942
2022-06-21,40.0559
2022-06-22,42.4575
2022-06-23,43.692
2022-06-24,47.7246
2022-06-25,47.7246
2022-06-26,47.7246
2022-06-27,46.1835
2022-06-28,44.5764
2022-06-29,45.1327
2022-06-30,46.5326
2022-07-01,46.6459
2022-07-02,46.6459
2022-07-03,46.6459
2022-07-04,46.6459
2022-07-05,46.3844
2022-07-06,46.8382
2022-07-07,45.4563
2022-07-08,44.7073
2022-07-09,44.7073
2022-07-10,44.7073
2022-07-11,44.4373
2022-07-12,45.2075
2022-07-13,43.6094
2022-07-14,42.2654
2022-07-15,45.012
2022-07-16,45.012
2022-07-17,45.012
2022-07-18,43.8339
2022-07-19,46.8785
2022-07-20,48.3445
2022-07-21,50.8774
2022-07-22,50.8169
2022-07-23,50.8169
2022-07-24,50.8169
2022-07-25,51.4993
2022-07-26,49.6551
2022-07-27,49.8972
2022-07-28,52.5629
2022-07-29,52.3174
2022-07-30,52.3174
2022-07-31,52.3174
2022-08-01,53.2724
2022-08-02,52.3747
2022-08-03,54.3846
2022-08-04,54.7283
2022-08-05,54.5158
2022-08-06,54.5158
2022-08-07,54.5158
2022-08-08,55.3409
2022-08-09,47.9727
2022-08-10,50.6106
2022-08-11,49.8759
2022-08-12,51.7662
2022-08-13,51.7662
2022-08-14,51.7662
2022-08-15,51.9326
2022-08-16,51.9229
2022-08-17,50.2904
2022-08-18,49.4904
2022-08-19,46.9493
2022-08-20,46.9493
2022-08-21,46.9493
2022-08-22,43.5041
2022-08-23,43.8185
2022-08-24,45.3902
2022-08-25,47.4289
2022-08-26,43.3936
2022-08-27,43.3936
2022-08-28,43.3936
2022-08-29,42.4744
2022-08-30,41.2073
2022-08-31,40.5479
2022-09-01,39.1913
2022-09-02,38.6032
2022-09-03,38.6032
2022-09-04,38.6032
2022-09-05,38.6032
2022-09-06,40.7604
2022-09-07,44.4679
2022-09-08,45.4197
2022-09-09,45.7573
2022-09-10,45.7573
2022-09-11,45.7573
2022-09-12,48.3609
2022-09-13,42.1681
2022-09-14,41.1613
2022-09-15,39.3999
2022-09-16,37.4579
2022-09-17,37.4579
2022-09-18,37.4579
2022-09-19,37.9832
2022-09-20,37.1189
2022-09-21,35.6112
2022-09-22,35.1905
2022-09-23,34.6121
2022-09-24,34.6121
2022-09-25,34.6121
2022-09-26,34.3296
2022-09-27,32.9215
2022-09-28,34.4703
2022-09-29,32.2333
2022-09-30,31.7994
2022-10-01,31.7994
2022-10-02,31.7994
2022-10-03,34.2178
2022-10-04,37.44
2022-10-05,35.505
2022-10-06,34.1611
2022-10-07,33.0438
