,ETR US Equity
,RSI_30D
2021-08-09,55.5999
2021-08-10,58.3238
2021-08-11,60.1141
2021-08-12,59.4586
2021-08-13,61.0907
2021-08-14,61.0907
2021-08-15,61.0907
2021-08-16,61.6278
2021-08-17,61.2343
2021-08-18,61.2911
2021-08-19,63.5698
2021-08-20,66.9928
2021-08-21,66.9928
2021-08-22,66.9928
2021-08-23,65.6307
2021-08-24,65.0379
2021-08-25,65.1006
2021-08-26,64.8359
2021-08-27,60.2516
2021-08-28,60.2516
2021-08-29,60.2516
2021-08-30,55.4986
2021-08-31,57.3652
2021-09-01,60.0291
2021-09-02,61.5563
2021-09-03,59.2731
2021-09-04,59.2731
2021-09-05,59.2731
2021-09-06,59.2731
2021-09-07,59.1547
2021-09-08,62.1894
2021-09-09,58.5397
2021-09-10,56.5418
2021-09-11,56.5418
2021-09-12,56.5418
2021-09-13,58.5506
2021-09-14,59.8722
2021-09-15,57.1533
2021-09-16,56.3068
2021-09-17,53.9478
2021-09-18,53.9478
2021-09-19,53.9478
2021-09-20,51.4571
2021-09-21,49.1115
2021-09-22,46.2734
2021-09-23,42.008
2021-09-24,40.0209
2021-09-25,40.0209
2021-09-26,40.0209
2021-09-27,39.1181
2021-09-28,38.2998
2021-09-29,40.7949
2021-09-30,39.21
2021-10-01,39.3123
2021-10-02,39.3123
2021-10-03,39.3123
2021-10-04,42.6577
2021-10-05,42.8037
2021-10-06,45.5152
2021-10-07,45.9672
2021-10-08,45.6028
2021-10-09,45.6028
2021-10-10,45.6028
2021-10-11,44.9072
2021-10-12,45.1279
2021-10-13,44.7711
2021-10-14,46.385
2021-10-15,44.5832
2021-10-16,44.5832
2021-10-17,44.5832
2021-10-18,43.8948
2021-10-19,44.431
2021-10-20,47.9616
2021-10-21,47.7566
2021-10-22,48.9548
2021-10-23,48.9548
2021-10-24,48.9548
2021-10-25,47.6123
2021-10-26,47.8109
2021-10-27,46.5011
2021-10-28,45.9897
2021-10-29,46.4223
2021-10-30,46.4223
2021-10-31,46.4223
2021-11-01,47.3542
2021-11-02,47.9717
2021-11-03,47.1595
2021-11-04,46.3116
2021-11-05,49.0907
2021-11-06,49.0907
2021-11-07,49.0907
2021-11-08,43.6075
2021-11-09,46.0461
2021-11-10,48.1415
2021-11-11,47.612
2021-11-12,46.7117
2021-11-13,46.7117
2021-11-14,46.7117
2021-11-15,52.8171
2021-11-16,53.2679
2021-11-17,54.0147
2021-11-18,53.4386
2021-11-19,54.2297
2021-11-20,54.2297
2021-11-21,54.2297
2021-11-22,56.4296
2021-11-23,54.4251
2021-11-24,54.592
2021-11-25,54.592
