,WERN US Equity
,RSI_30D
2023-01-15,54.8269
2023-01-16,54.8269
2023-01-17,57.5364
2023-01-18,59.4586
2023-01-19,57.6586
2023-01-20,59.1282
2023-01-21,59.1282
2023-01-22,59.1282
2023-01-23,61.0457
2023-01-24,60.3906
2023-01-25,61.3394
2023-01-26,59.9943
2023-01-27,63.4823
2023-01-28,63.4823
2023-01-29,63.4823
2023-01-30,59.0547
2023-01-31,60.9406
2023-02-01,63.7721
2023-02-02,65.5757
2023-02-03,63.2754
2023-02-04,63.2754
2023-02-05,63.2754
2023-02-06,62.5815
2023-02-07,63.7407
2023-02-08,59.9303
2023-02-09,56.898
2023-02-10,56.0402
2023-02-11,56.0402
2023-02-12,56.0402
2023-02-13,56.4781
2023-02-14,57.4644
2023-02-15,57.0778
2023-02-16,56.1757
2023-02-17,56.95
2023-02-18,56.95
2023-02-19,56.95
2023-02-20,56.95
2023-02-21,54.7369
2023-02-22,55.1567
2023-02-23,56.2674
2023-02-24,55.7594
2023-02-25,55.7594
2023-02-26,55.7594
2023-02-27,55.468
2023-02-28,54.5828
2023-03-01,53.9886
2023-03-02,56.2079
2023-03-03,56.8197
2023-03-04,56.8197
2023-03-05,56.8197
2023-03-06,55.4946
2023-03-07,55.7195
2023-03-08,55.9784
2023-03-09,53.9831
2023-03-10,50.2755
2023-03-11,50.2755
2023-03-12,50.2755
2023-03-13,46.464
2023-03-14,45.6189
2023-03-15,46.3591
2023-03-16,48.247
