,DAN US Equity
,RSI_30D
2022-03-22,44.1108
2022-03-23,42.6407
2022-03-24,42.9951
2022-03-25,43.2916
2022-03-26,43.2916
2022-03-27,43.2916
2022-03-28,42.4788
2022-03-29,46.293
2022-03-30,45.0259
2022-03-31,44.2685
2022-04-01,43.231
2022-04-02,43.231
2022-04-03,43.231
2022-04-04,43.4709
2022-04-05,40.7009
2022-04-06,40.4077
2022-04-07,38.067
2022-04-08,38.5505
2022-04-09,38.5505
2022-04-10,38.5505
2022-04-11,38.7408
2022-04-12,39.2082
2022-04-13,40.4614
2022-04-14,40.2735
2022-04-15,40.2735
2022-04-16,40.2735
2022-04-17,40.2735
2022-04-18,40.559
2022-04-19,44.038
2022-04-20,44.0765
2022-04-21,43.6112
2022-04-22,41.3532
2022-04-23,41.3532
2022-04-24,41.3532
2022-04-25,41.3237
2022-04-26,39.0465
2022-04-27,37.582
2022-04-28,40.6927
2022-04-29,40.0423
2022-04-30,40.0423
2022-05-01,40.0423
2022-05-02,40.1713
2022-05-03,42.3531
2022-05-04,44.646
2022-05-05,43.0542
2022-05-06,42.9592
2022-05-07,42.9592
2022-05-08,42.9592
2022-05-09,40.9037
2022-05-10,40.7509
2022-05-11,39.9784
2022-05-12,40.3062
2022-05-13,44.2644
2022-05-14,44.2644
2022-05-15,44.2644
2022-05-16,42.8936
2022-05-17,47.1856
2022-05-18,45.4199
2022-05-19,45.943
2022-05-20,44.7152
2022-05-21,44.7152
2022-05-22,44.7152
2022-05-23,45.0108
2022-05-24,43.0384
2022-05-25,46.0731
2022-05-26,48.6666
2022-05-27,49.4665
2022-05-28,49.4665
2022-05-29,49.4665
2022-05-30,49.4665
2022-05-31,50.7149
2022-06-01,52.0156
2022-06-02,52.8614
2022-06-03,51.3551
2022-06-04,51.3551
2022-06-05,51.3551
2022-06-06,53.3615
2022-06-07,54.194
2022-06-08,54.6671
2022-06-09,53.5664
2022-06-10,49.523
2022-06-11,49.523
2022-06-12,49.523
