,SOI US Equity
,RSI_30D
2022-06-09,57.9428
2022-06-10,60.0978
2022-06-11,60.0978
2022-06-12,60.0978
2022-06-13,53.2215
2022-06-14,54.9093
2022-06-15,55.315
2022-06-16,53.0123
2022-06-17,45.0257
2022-06-18,45.0257
2022-06-19,45.0257
2022-06-20,45.0257
2022-06-21,49.7351
2022-06-22,45.758
2022-06-23,44.3203
2022-06-24,46.4105
2022-06-25,46.4105
2022-06-26,46.4105
2022-06-27,48.1311
2022-06-28,48.4236
2022-06-29,47.5518
2022-06-30,45.9192
2022-07-01,46.5966
2022-07-02,46.5966
2022-07-03,46.5966
2022-07-04,46.5966
2022-07-05,42.6541
2022-07-06,41.8664
2022-07-07,42.2024
2022-07-08,43.3162
2022-07-09,43.3162
2022-07-10,43.3162
2022-07-11,42.3616
2022-07-12,41.8117
2022-07-13,43.5306
2022-07-14,41.1628
2022-07-15,42.1295
2022-07-16,42.1295
2022-07-17,42.1295
2022-07-18,43.1467
2022-07-19,44.8028
2022-07-20,45.5976
2022-07-21,42.7331
2022-07-22,42.4267
2022-07-23,42.4267
2022-07-24,42.4267
2022-07-25,45.6988
2022-07-26,45.0469
2022-07-27,47.8374
2022-07-28,47.9317
2022-07-29,50.6982
2022-07-30,50.6982
2022-07-31,50.6982
2022-08-01,48.9061
2022-08-02,51.8135
2022-08-03,51.1295
2022-08-04,49.0314
2022-08-05,49.9357
2022-08-06,49.9357
2022-08-07,49.9357
2022-08-08,48.3816
2022-08-09,48.7587
2022-08-10,47.8546
2022-08-11,50.692
2022-08-12,50.692
2022-08-13,50.692
2022-08-14,50.692
2022-08-15,49.2114
2022-08-16,47.2761
2022-08-17,48.2781
2022-08-18,49.4702
2022-08-19,49.0801
2022-08-20,49.0801
2022-08-21,49.0801
2022-08-22,49.0801
2022-08-23,50.6924
2022-08-24,52.06
2022-08-25,52.9107
2022-08-26,50.5629
2022-08-27,50.5629
2022-08-28,50.5629
2022-08-29,51.3931
2022-08-30,48.1517
2022-08-31,48.9574
2022-09-01,46.6572
2022-09-02,47.9627
2022-09-03,47.9627
2022-09-04,47.9627
2022-09-05,47.9627
2022-09-06,47.0006
2022-09-07,48.1335
2022-09-08,47.1943
2022-09-09,48.8019
2022-09-10,48.8019
2022-09-11,48.8019
2022-09-12,49.3714
2022-09-13,46.8896
2022-09-14,50.1047
2022-09-15,48.0967
2022-09-16,46.3764
2022-09-17,46.3764
2022-09-18,46.3764
2022-09-19,50.4727
2022-09-20,47.0027
2022-09-21,47.1087
2022-09-22,46.3419
2022-09-23,42.9098
2022-09-24,42.9098
2022-09-25,42.9098
2022-09-26,41.4878
2022-09-27,42.814
2022-09-28,46.1101
2022-09-29,44.8618
2022-09-30,45.0268
2022-10-01,45.0268
2022-10-02,45.0268
2022-10-03,47.7744
2022-10-04,49.7609
2022-10-05,51.4744
2022-10-06,51.4225
2022-10-07,51.1561
2022-10-08,51.1561
2022-10-09,51.1561
2022-10-10,49.2042
2022-10-11,48.7362
2022-10-12,49.1806
2022-10-13,52.1824
2022-10-14,53.1536
2022-10-15,53.1536
2022-10-16,53.1536
2022-10-17,55.0428
2022-10-18,55.9614
2022-10-19,58.0164
2022-10-20,58.3817
2022-10-21,58.8448
2022-10-22,58.8448
2022-10-23,58.8448
2022-10-24,60.174
2022-10-25,60.4927
2022-10-26,62.6979
2022-10-27,60.802
2022-10-28,61.6028
2022-10-29,61.6028
2022-10-30,61.6028
2022-10-31,64.672
2022-11-01,49.6824
2022-11-02,54.1231
2022-11-03,52.9696
2022-11-04,54.587
2022-11-05,54.587
2022-11-06,54.587
2022-11-07,55.6392
2022-11-08,55.0269
2022-11-09,52.1497
2022-11-10,52.6778
2022-11-11,53.8928
2022-11-12,53.8928
2022-11-13,53.8928
2022-11-14,51.3471
2022-11-15,52.789
2022-11-16,50.3206
2022-11-17,51.1228
2022-11-18,50.8101
2022-11-19,50.8101
2022-11-20,50.8101
2022-11-21,48.7818
2022-11-22,50.2555
2022-11-23,48.8885
2022-11-24,48.8885
2022-11-25,48.4487
2022-11-26,48.4487
2022-11-27,48.4487
2022-11-28,47.607
2022-11-29,48.0493
2022-11-30,48.7455
2022-12-01,48.4576
2022-12-02,49.2331
2022-12-03,49.2331
2022-12-04,49.2331
2022-12-05,45.0559
2022-12-06,44.9223
2022-12-07,43.3696
2022-12-08,42.8011
2022-12-09,41.5446
2022-12-10,41.5446
2022-12-11,41.5446
2022-12-12,43.8949
2022-12-13,45.2053
2022-12-14,44.504
2022-12-15,45.1496
2022-12-16,43.5305
2022-12-17,43.5305
2022-12-18,43.5305
2022-12-19,44.2002
2022-12-20,45.5958
2022-12-21,47.6567
2022-12-22,44.7977
2022-12-23,46.8241
2022-12-24,46.8241
2022-12-25,46.8241
2022-12-26,46.8241
2022-12-27,47.168
2022-12-28,44.8666
2022-12-29,46.8495
2022-12-30,46.8495
2022-12-31,46.8495
2023-01-01,46.8495
2023-01-02,46.8495
2023-01-03,43.5925
2023-01-04,45.2626
2023-01-05,45.7374
2023-01-06,46.0401
2023-01-07,46.0401
2023-01-08,46.0401
2023-01-09,47.8456
2023-01-10,49.1938
2023-01-11,49.8354
2023-01-12,52.7004
2023-01-13,52.0373
2023-01-14,52.0373
2023-01-15,52.0373
2023-01-16,52.0373
2023-01-17,51.9758
2023-01-18,48.7567
2023-01-19,49.3576
