,JBLU US Equity
,RSI_30D
2022-03-20,51.1793
2022-03-21,49.0337
2022-03-22,50.1802
2022-03-23,49.4717
2022-03-24,50.5549
2022-03-25,51.0972
2022-03-26,51.0972
2022-03-27,51.0972
2022-03-28,51.5098
2022-03-29,53.2332
2022-03-30,52.2226
2022-03-31,52.779
2022-04-01,51.996
2022-04-02,51.996
2022-04-03,51.996
2022-04-04,51.3654
2022-04-05,46.3276
2022-04-06,41.5087
2022-04-07,40.2001
2022-04-08,39.5199
2022-04-09,39.5199
2022-04-10,39.5199
2022-04-11,40.2357
2022-04-12,41.0134
2022-04-13,43.8739
2022-04-14,44.2957
2022-04-15,44.2957
2022-04-16,44.2957
2022-04-17,44.2957
2022-04-18,43.7851
2022-04-19,45.7786
2022-04-20,45.8859
2022-04-21,48.4204
2022-04-22,45.3961
2022-04-23,45.3961
2022-04-24,45.3961
2022-04-25,46.3932
2022-04-26,40.4073
2022-04-27,39.2129
2022-04-28,40.1812
2022-04-29,38.7618
2022-04-30,38.7618
2022-05-01,38.7618
2022-05-02,40.3424
2022-05-03,40.7244
2022-05-04,41.225
2022-05-05,39.3167
2022-05-06,38.0768
2022-05-07,38.0768
2022-05-08,38.0768
2022-05-09,35.5525
2022-05-10,36.4942
2022-05-11,35.0377
2022-05-12,34.9721
2022-05-13,37.8618
2022-05-14,37.8618
2022-05-15,37.8618
2022-05-16,35.772
2022-05-17,40.0901
2022-05-18,39.0324
2022-05-19,40.8094
2022-05-20,40.5869
2022-05-21,40.5869
2022-05-22,40.5869
2022-05-23,40.8095
2022-05-24,39.287
2022-05-25,41.7055
2022-05-26,43.5973
2022-05-27,44.8148
2022-05-28,44.8148
2022-05-29,44.8148
2022-05-30,44.8148
2022-05-31,44.3839
2022-06-01,42.2811
2022-06-02,43.8765
2022-06-03,43.6184
2022-06-04,43.6184
2022-06-05,43.6184
2022-06-06,44.8487
2022-06-07,44.8028
2022-06-08,42.7623
2022-06-09,41.2091
2022-06-10,39.837
2022-06-11,39.837
2022-06-12,39.837
2022-06-13,35.7676
2022-06-14,36.0157
2022-06-15,36.8983
2022-06-16,35.0411
2022-06-17,37.7225
2022-06-18,37.7225
2022-06-19,37.7225
2022-06-20,37.7225
2022-06-21,37.2053
2022-06-22,36.9061
2022-06-23,36.2651
2022-06-24,39.2813
2022-06-25,39.2813
2022-06-26,39.2813
2022-06-27,40.154
2022-06-28,40.0265
2022-06-29,41.5
2022-06-30,38.9598
2022-07-01,39.9903
2022-07-02,39.9903
2022-07-03,39.9903
2022-07-04,39.9903
2022-07-05,40.2512
2022-07-06,39.108
2022-07-07,39.721
2022-07-08,38.8665
2022-07-09,38.8665
2022-07-10,38.8665
2022-07-11,38.1077
2022-07-12,39.8235
2022-07-13,39.0764
2022-07-14,38.1058
2022-07-15,39.5121
2022-07-16,39.5121
2022-07-17,39.5121
2022-07-18,40.3968
2022-07-19,43.6646
2022-07-20,44.9541
2022-07-21,43.5432
2022-07-22,42.2761
2022-07-23,42.2761
2022-07-24,42.2761
2022-07-25,42.7785
2022-07-26,41.0367
2022-07-27,43.1413
2022-07-28,42.9772
2022-07-29,43.3489
2022-07-30,43.3489
2022-07-31,43.3489
2022-08-01,44.6185
2022-08-02,41.5053
2022-08-03,45.4432
2022-08-04,46.058
2022-08-05,46.058
2022-08-06,46.058
2022-08-07,46.058
2022-08-08,45.7515
2022-08-09,44.7653
2022-08-10,47.404
2022-08-11,48.2564
2022-08-12,49.5943
2022-08-13,49.5943
2022-08-14,49.5943
2022-08-15,49.8063
2022-08-16,48.9544
2022-08-17,45.9715
2022-08-18,46.6593
2022-08-19,44.5724
2022-08-20,44.5724
2022-08-21,44.5724
2022-08-22,42.6014
2022-08-23,42.9278
2022-08-24,43.4269
2022-08-25,45.2433
2022-08-26,42.9726
2022-08-27,42.9726
2022-08-28,42.9726
2022-08-29,42.4686
2022-08-30,43.0729
2022-08-31,41.588
2022-09-01,41.0157
2022-09-02,40.5664
2022-09-03,40.5664
2022-09-04,40.5664
2022-09-05,40.5664
2022-09-06,40.9487
2022-09-07,44.7194
2022-09-08,44.5757
2022-09-09,46.4441
2022-09-10,46.4441
2022-09-11,46.4441
2022-09-12,47.4905
2022-09-13,44.4228
2022-09-14,44.4228
2022-09-15,45.3443
2022-09-16,44.1331
2022-09-17,44.1331
2022-09-18,44.1331
