,MKL US Equity
,RSI_30D
2022-10-07,45.2806
2022-10-08,45.2806
2022-10-09,45.2806
2022-10-10,46.1503
2022-10-11,44.8744
2022-10-12,42.9844
2022-10-13,46.1085
2022-10-14,44.2734
2022-10-15,44.2734
2022-10-16,44.2734
2022-10-17,45.8657
2022-10-18,48.1535
2022-10-19,47.514
2022-10-20,43.6251
2022-10-21,45.0733
2022-10-22,45.0733
2022-10-23,45.0733
2022-10-24,46.6561
2022-10-25,47.287
2022-10-26,47.7842
2022-10-27,48.6435
2022-10-28,52.4231
2022-10-29,52.4231
2022-10-30,52.4231
2022-10-31,52.8744
2022-11-01,52.9734
2022-11-02,52.9924
2022-11-03,54.4176
2022-11-04,53.2138
2022-11-05,53.2138
2022-11-06,53.2138
2022-11-07,55.6849
2022-11-08,53.7263
2022-11-09,53.2802
2022-11-10,59.8763
2022-11-11,60.0605
2022-11-12,60.0605
2022-11-13,60.0605
2022-11-14,58.0614
2022-11-15,56.4586
2022-11-16,57.1656
2022-11-17,55.9828
2022-11-18,56.2979
2022-11-19,56.2979
2022-11-20,56.2979
2022-11-21,57.0203
2022-11-22,57.7595
2022-11-23,58.5028
2022-11-24,58.5028
2022-11-25,60.7163
2022-11-26,60.7163
2022-11-27,60.7163
2022-11-28,58.3966
2022-11-29,58.6373
2022-11-30,61.8044
2022-12-01,63.4746
2022-12-02,63.3542
2022-12-03,63.3542
2022-12-04,63.3542
2022-12-05,57.9882
2022-12-06,58.9725
2022-12-07,56.2824
2022-12-08,55.6808
2022-12-09,56.5445
2022-12-10,56.5445
2022-12-11,56.5445
2022-12-12,55.8585
2022-12-13,55.4331
2022-12-14,55.7377
2022-12-15,54.0698
2022-12-16,50.6948
2022-12-17,50.6948
2022-12-18,50.6948
2022-12-19,51.4955
2022-12-20,52.5738
2022-12-21,54.9289
2022-12-22,54.7928
2022-12-23,56.8051
2022-12-24,56.8051
2022-12-25,56.8051
2022-12-26,56.8051
2022-12-27,57.6999
2022-12-28,56.0098
2022-12-29,58.349
2022-12-30,57.1053
2022-12-31,57.1053
2023-01-01,57.1053
2023-01-02,57.1053
2023-01-03,57.5863
2023-01-04,60.2646
2023-01-05,60.8376
2023-01-06,63.6433
2023-01-07,63.6433
2023-01-08,63.6433
2023-01-09,60.5528
2023-01-10,61.3428
2023-01-11,62.9289
2023-01-12,64.0542
2023-01-13,67.1019
2023-01-14,67.1019
2023-01-15,67.1019
2023-01-16,67.1019
2023-01-17,61.8578
2023-01-18,58.886
2023-01-19,57.805
2023-01-20,58.6101
2023-01-21,58.6101
2023-01-22,58.6101
2023-01-23,59.585
2023-01-24,59.3438
2023-01-25,60.6111
2023-01-26,60.7912
2023-01-27,59.5333
2023-01-28,59.5333
2023-01-29,59.5333
2023-01-30,59.3399
2023-01-31,60.6973
2023-02-01,59.5283
2023-02-02,47.6945
2023-02-03,50.9974
2023-02-04,50.9974
2023-02-05,50.9974
2023-02-06,52.8265
2023-02-07,56.8742
2023-02-08,53.9319
2023-02-09,52.2219
2023-02-10,52.5139
2023-02-11,52.5139
2023-02-12,52.5139
2023-02-13,53.394
2023-02-14,51.3557
2023-02-15,51.3517
2023-02-16,48.8027
2023-02-17,49.2539
2023-02-18,49.2539
2023-02-19,49.2539
2023-02-20,49.2539
2023-02-21,50.3474
2023-02-22,50.1384
2023-02-23,50.3812
2023-02-24,50.1726
2023-02-25,50.1726
2023-02-26,50.1726
2023-02-27,49.0557
2023-02-28,49.5413
2023-03-01,49.2902
2023-03-02,50.4048
2023-03-03,51.2815
2023-03-04,51.2815
2023-03-05,51.2815
2023-03-06,50.0795
2023-03-07,48.684
