,TRMK US Equity
,RSI_30D
2022-09-24,50.7696
2022-09-25,50.7696
2022-09-26,50.9856
2022-09-27,48.2485
2022-09-28,49.428
2022-09-29,46.7013
2022-09-30,45.5516
2022-10-01,45.5516
2022-10-02,45.5516
2022-10-03,48.4081
2022-10-04,53.911
2022-10-05,52.8507
2022-10-06,52.8986
2022-10-07,50.5091
2022-10-08,50.5091
2022-10-09,50.5091
2022-10-10,51.8589
2022-10-11,52.3567
2022-10-12,52.5091
2022-10-13,58.5454
2022-10-14,58.6689
2022-10-15,58.6689
2022-10-16,58.6689
2022-10-17,61.8803
2022-10-18,62.2137
2022-10-19,61.5333
2022-10-20,57.018
2022-10-21,59.569
2022-10-22,59.569
2022-10-23,59.569
2022-10-24,60.6633
2022-10-25,60.1407
2022-10-26,61.1036
2022-10-27,63.8835
2022-10-28,67.2485
2022-10-29,67.2485
2022-10-30,67.2485
2022-10-31,68.0261
2022-11-01,68.3429
2022-11-02,65.7691
2022-11-03,65.526
2022-11-04,68.4239
2022-11-05,68.4239
2022-11-06,68.4239
2022-11-07,68.5095
2022-11-08,67.8752
2022-11-09,66.226
2022-11-10,69.763
2022-11-11,64.2412
2022-11-12,64.2412
2022-11-13,64.2412
2022-11-14,63.4832
2022-11-15,63.1528
2022-11-16,60.2342
2022-11-17,57.8279
2022-11-18,59.1219
2022-11-19,59.1219
2022-11-20,59.1219
2022-11-21,59.3726
2022-11-22,59.9176
2022-11-23,59.807
2022-11-24,59.807
2022-11-25,60.8176
2022-11-26,60.8176
2022-11-27,60.8176
2022-11-28,58.7243
2022-11-29,58.2201
2022-11-30,60.3843
2022-12-01,59.8016
2022-12-02,60.0013
2022-12-03,60.0013
2022-12-04,60.0013
2022-12-05,51.3941
2022-12-06,51.2076
2022-12-07,54.5751
2022-12-08,53.0878
2022-12-09,51.6321
2022-12-10,51.6321
2022-12-11,51.6321
2022-12-12,50.8413
2022-12-13,48.6208
2022-12-14,44.7427
2022-12-15,44.2763
2022-12-16,44.0389
2022-12-17,44.0389
2022-12-18,44.0389
2022-12-19,45.9866
2022-12-20,46.8695
2022-12-21,49.7043
2022-12-22,49.7967
2022-12-23,51.1426
2022-12-24,51.1426
2022-12-25,51.1426
2022-12-26,51.1426
