,MTG US Equity
,RSI_30D
2022-03-22,46.7273
2022-03-23,43.7405
2022-03-24,45.5765
2022-03-25,47.1468
2022-03-26,47.1468
2022-03-27,47.1468
2022-03-28,46.2065
2022-03-29,47.2228
2022-03-30,44.8438
2022-03-31,42.846
2022-04-01,42.5003
2022-04-02,42.5003
2022-04-03,42.5003
2022-04-04,42.5802
2022-04-05,41.2754
2022-04-06,40.4592
2022-04-07,39.9341
2022-04-08,39.8153
2022-04-09,39.8153
2022-04-10,39.8153
2022-04-11,39.391
2022-04-12,39.2673
2022-04-13,41.8185
2022-04-14,43.6329
2022-04-15,43.6329
2022-04-16,43.6329
2022-04-17,43.6329
2022-04-18,45.3945
2022-04-19,46.3485
2022-04-20,47.301
2022-04-21,46.0703
2022-04-22,42.7615
2022-04-23,42.7615
2022-04-24,42.7615
2022-04-25,42.6925
2022-04-26,40.7874
2022-04-27,41.0788
2022-04-28,44.7366
2022-04-29,42.7649
2022-04-30,42.7649
2022-05-01,42.7649
2022-05-02,43.5009
2022-05-03,46.9418
2022-05-04,49.1594
2022-05-05,46.6211
2022-05-06,46.7883
2022-05-07,46.7883
2022-05-08,46.7883
2022-05-09,43.5433
2022-05-10,43.3405
2022-05-11,43.8846
2022-05-12,42.96
2022-05-13,44.9
2022-05-14,44.9
2022-05-15,44.9
2022-05-16,45.084
2022-05-17,50.1632
2022-05-18,46.4008
2022-05-19,47.7784
2022-05-20,46.4702
2022-05-21,46.4702
2022-05-22,46.4702
2022-05-23,48.34
2022-05-24,46.5131
2022-05-25,48.2138
2022-05-26,50.759
2022-05-27,51.3585
2022-05-28,51.3585
2022-05-29,51.3585
2022-05-30,51.3585
2022-05-31,52.699
2022-06-01,51.5558
2022-06-02,52.6932
2022-06-03,51.2816
2022-06-04,51.2816
2022-06-05,51.2816
2022-06-06,52.1398
2022-06-07,55.0445
2022-06-08,52.6704
2022-06-09,51.2017
2022-06-10,45.1272
2022-06-11,45.1272
2022-06-12,45.1272
2022-06-13,41.4344
2022-06-14,42.0775
2022-06-15,41.4884
2022-06-16,36.6105
2022-06-17,39.2604
2022-06-18,39.2604
2022-06-19,39.2604
2022-06-20,39.2604
2022-06-21,38.9541
2022-06-22,38.7975
2022-06-23,44.8369
2022-06-24,46.8955
2022-06-25,46.8955
2022-06-26,46.8955
2022-06-27,47.235
2022-06-28,46.7405
2022-06-29,45.9932
2022-06-30,45.9932
2022-07-01,47.5632
2022-07-02,47.5632
2022-07-03,47.5632
2022-07-04,47.5632
2022-07-05,46.563
2022-07-06,48.2153
2022-07-07,47.7983
2022-07-08,48.6407
2022-07-09,48.6407
2022-07-10,48.6407
2022-07-11,49.8582
2022-07-12,50.1638
2022-07-13,50.0062
2022-07-14,49.5233
2022-07-15,52.2276
2022-07-16,52.2276
2022-07-17,52.2276
2022-07-18,50.8193
2022-07-19,53.2728
2022-07-20,54.0144
2022-07-21,54.0898
2022-07-22,53.3658
2022-07-23,53.3658
2022-07-24,53.3658
2022-07-25,56.0293
2022-07-26,53.5869
2022-07-27,54.4988
2022-07-28,55.4052
2022-07-29,57.241
2022-07-30,57.241
2022-07-31,57.241
2022-08-01,57.3862
2022-08-02,56.1053
2022-08-03,57.756
2022-08-04,59.681
2022-08-05,59.681
2022-08-06,59.681
2022-08-07,59.681
2022-08-08,59.681
2022-08-09,57.9487
2022-08-10,61.1771
2022-08-11,62.3329
2022-08-12,63.9649
2022-08-13,63.9649
2022-08-14,63.9649
2022-08-15,64.0937
2022-08-16,65.6794
2022-08-17,65.2028
2022-08-18,66.5222
2022-08-19,63.5545
2022-08-20,63.5545
2022-08-21,63.5545
2022-08-22,60.7508
2022-08-23,61.176
2022-08-24,58.2389
2022-08-25,58.9932
2022-08-26,54.3238
2022-08-27,54.3238
2022-08-28,54.3238
2022-08-29,53.7497
2022-08-30,52.5061
2022-08-31,52.4096
2022-09-01,49.2276
2022-09-02,49.6
2022-09-03,49.6
2022-09-04,49.6
2022-09-05,49.6
2022-09-06,47.3542
2022-09-07,49.9783
2022-09-08,51.8408
2022-09-09,53.7901
2022-09-10,53.7901
2022-09-11,53.7901
2022-09-12,55.3351
2022-09-13,50.8886
2022-09-14,50.6255
2022-09-15,52.5698
2022-09-16,51.6549
2022-09-17,51.6549
2022-09-18,51.6549
2022-09-19,52.0862
2022-09-20,50.2319
2022-09-21,48.7071
2022-09-22,44.2895
2022-09-23,42.6588
2022-09-24,42.6588
2022-09-25,42.6588
2022-09-26,40.486
2022-09-27,40.486
2022-09-28,42.8958
2022-09-29,42.5247
2022-09-30,40.7033
2022-10-01,40.7033
2022-10-02,40.7033
2022-10-03,46.2305
2022-10-04,49.8957
2022-10-05,47.7528
2022-10-06,46.9337
2022-10-07,43.9554
2022-10-08,43.9554
2022-10-09,43.9554
2022-10-10,41.0671
2022-10-11,41.5964
2022-10-12,40.7137
2022-10-13,42.9501
2022-10-14,41.337
2022-10-15,41.337
2022-10-16,41.337
2022-10-17,43.6154
2022-10-18,44.1333
2022-10-19,42.3878
2022-10-20,41.4103
2022-10-21,41.3445
2022-10-22,41.3445
2022-10-23,41.3445
2022-10-24,44.0993
2022-10-25,47.9749
2022-10-26,47.457
2022-10-27,48.7649
2022-10-28,50.44
2022-10-29,50.44
2022-10-30,50.44
2022-10-31,51.9115
2022-11-01,51.9115
2022-11-02,50.6411
2022-11-03,49.8835
2022-11-04,49.2901
2022-11-05,49.2901
2022-11-06,49.2901
2022-11-07,50.5081
2022-11-08,51.3712
2022-11-09,49.3101
2022-11-10,55.7049
2022-11-11,53.0234
2022-11-12,53.0234
2022-11-13,53.0234
2022-11-14,50.201
2022-11-15,49.4235
