,TXN US Equity
,RSI_30D
2022-07-28,58.1287
2022-07-29,60.3265
2022-07-30,60.3265
2022-07-31,60.3265
2022-08-01,60.2579
2022-08-02,59.0379
2022-08-03,62.172
2022-08-04,62.8495
2022-08-05,62.36
2022-08-06,62.36
2022-08-07,62.36
2022-08-08,61.1487
2022-08-09,57.2454
2022-08-10,60.0494
2022-08-11,59.2616
2022-08-12,60.9226
2022-08-13,60.9226
2022-08-14,60.9226
2022-08-15,60.9325
2022-08-16,59.3419
2022-08-17,54.5408
2022-08-18,55.5205
2022-08-19,54.1343
2022-08-20,54.1343
2022-08-21,54.1343
2022-08-22,50.8601
2022-08-23,51.5141
2022-08-24,51.2983
2022-08-25,54.3664
2022-08-26,49.4448
2022-08-27,49.4448
2022-08-28,49.4448
2022-08-29,48.5437
2022-08-30,47.8454
2022-08-31,46.9545
2022-09-01,47.5814
2022-09-02,45.7219
2022-09-03,45.7219
2022-09-04,45.7219
2022-09-05,45.7219
2022-09-06,45.7913
2022-09-07,47.6726
2022-09-08,49.4023
2022-09-09,50.9124
2022-09-10,50.9124
2022-09-11,50.9124
2022-09-12,50.8047
2022-09-13,45.8331
2022-09-14,47.5797
2022-09-15,46.0552
2022-09-16,47.7858
2022-09-17,47.7858
2022-09-18,47.7858
2022-09-19,48.4399
2022-09-20,48.3197
2022-09-21,46.5831
2022-09-22,46.1603
2022-09-23,45.3278
2022-09-24,45.3278
2022-09-25,45.3278
2022-09-26,44.8062
2022-09-27,45.0034
2022-09-28,46.6519
2022-09-29,43.8235
2022-09-30,41.6212
2022-10-01,41.6212
2022-10-02,41.6212
2022-10-03,45.5258
2022-10-04,49.2133
2022-10-05,50.9283
2022-10-06,50.0962
2022-10-07,45.6506
2022-10-08,45.6506
2022-10-09,45.6506
2022-10-10,44.2571
2022-10-11,42.4587
2022-10-12,41.4671
2022-10-13,43.4725
2022-10-14,40.3937
2022-10-15,40.3937
2022-10-16,40.3937
2022-10-17,42.262
2022-10-18,42.6271
2022-10-19,43.4381
2022-10-20,44.2039
2022-10-21,48.2671
2022-10-22,48.2671
2022-10-23,48.2671
2022-10-24,49.4911
2022-10-25,49.8156
2022-10-26,47.1776
2022-10-27,46.5183
2022-10-28,50.3269
2022-10-29,50.3269
2022-10-30,50.3269
2022-10-31,49.8677
2022-11-01,51.2972
2022-11-02,48.5168
2022-11-03,47.3313
2022-11-04,51.172
2022-11-05,51.172
2022-11-06,51.172
2022-11-07,52.9328
2022-11-08,54.2902
2022-11-09,52.2793
2022-11-10,57.359
2022-11-11,59.5625
2022-11-12,59.5625
2022-11-13,59.5625
2022-11-14,58.233
2022-11-15,58.294
2022-11-16,55.6336
2022-11-17,56.5813
2022-11-18,56.4631
2022-11-19,56.4631
2022-11-20,56.4631
2022-11-21,54.6395
2022-11-22,57.1232
2022-11-23,57.9921
2022-11-24,57.9921
2022-11-25,56.7021
2022-11-26,56.7021
2022-11-27,56.7021
2022-11-28,54.0519
2022-11-29,54.039
2022-11-30,57.9076
