,SNA US Equity
,RSI_30D
2021-11-14,53.5473
2021-11-15,53.8162
2021-11-16,55.0552
2021-11-17,50.7318
2021-11-18,50.4602
2021-11-19,50.3835
2021-11-20,50.3835
2021-11-21,50.3835
2021-11-22,51.2134
2021-11-23,51.4042
2021-11-24,50.1421
2021-11-25,50.1421
2021-11-26,47.1953
2021-11-27,47.1953
2021-11-28,47.1953
2021-11-29,48.351
2021-11-30,43.839
2021-12-01,41.9967
2021-12-02,47.3208
2021-12-03,48.0306
2021-12-04,48.0306
2021-12-05,48.0306
2021-12-06,47.476
2021-12-07,50.2002
2021-12-08,50.4837
2021-12-09,50.2292
2021-12-10,52.3258
2021-12-11,52.3258
2021-12-12,52.3258
2021-12-13,49.3872
2021-12-14,49.186
2021-12-15,51.755
2021-12-16,51.8878
2021-12-17,46.8641
2021-12-18,46.8641
2021-12-19,46.8641
2021-12-20,44.0295
2021-12-21,46.7815
2021-12-22,46.586
2021-12-23,47.7897
2021-12-24,47.7897
2021-12-25,47.7897
2021-12-26,47.7897
2021-12-27,50.4355
2021-12-28,52.2552
2021-12-29,52.5566
2021-12-30,50.4459
2021-12-31,51.1758
2022-01-01,51.1758
2022-01-02,51.1758
2022-01-03,49.7926
2022-01-04,54.4708
2022-01-05,53.2768
2022-01-06,53.6411
2022-01-07,53.1492
2022-01-08,53.1492
2022-01-09,53.1492
2022-01-10,52.1941
2022-01-11,51.3179
2022-01-12,52.9074
2022-01-13,53.9403
2022-01-14,53.689
2022-01-15,53.689
2022-01-16,53.689
2022-01-17,53.689
2022-01-18,49.6442
2022-01-19,48.3346
2022-01-20,46.4463
2022-01-21,44.0677
2022-01-22,44.0677
2022-01-23,44.0677
2022-01-24,47.6057
2022-01-25,46.4685
2022-01-26,46.3254
2022-01-27,44.1078
2022-01-28,45.1993
2022-01-29,45.1993
2022-01-30,45.1993
2022-01-31,46.466
2022-02-01,47.887
2022-02-02,48.5105
2022-02-03,52.3955
2022-02-04,50.2975
2022-02-05,50.2975
2022-02-06,50.2975
2022-02-07,48.0699
2022-02-08,49.2228
2022-02-09,51.0562
2022-02-10,49.0117
2022-02-11,47.2526
2022-02-12,47.2526
2022-02-13,47.2526
2022-02-14,48.4973
2022-02-15,52.0968
2022-02-16,53.4052
2022-02-17,52.0179
2022-02-18,51.4227
2022-02-19,51.4227
2022-02-20,51.4227
2022-02-21,51.4227
2022-02-22,47.9795
2022-02-23,44.827
2022-02-24,45.8374
2022-02-25,50.4355
2022-02-26,50.4355
2022-02-27,50.4355
2022-02-28,49.2734
2022-03-01,44.7313
2022-03-02,49.0385
2022-03-03,49.8197
2022-03-04,48.1034
2022-03-05,48.1034
2022-03-06,48.1034
2022-03-07,46.3468
2022-03-08,47.6456
2022-03-09,48.4322
2022-03-10,48.0587
2022-03-11,47.3151
2022-03-12,47.3151
2022-03-13,47.3151
2022-03-14,46.7594
2022-03-15,45.5565
2022-03-16,47.9187
2022-03-17,50.449
2022-03-18,52.5509
2022-03-19,52.5509
2022-03-20,52.5509
2022-03-21,51.8015
2022-03-22,51.6618
2022-03-23,48.3447
2022-03-24,48.1968
2022-03-25,49.42
2022-03-26,49.42
2022-03-27,49.42
2022-03-28,47.6174
2022-03-29,50.6793
2022-03-30,49.6136
2022-03-31,47.5106
2022-04-01,46.48
2022-04-02,46.48
2022-04-03,46.48
2022-04-04,49.5938
2022-04-05,48.2082
2022-04-06,48.9087
2022-04-07,47.6592
2022-04-08,49.6488
2022-04-09,49.6488
2022-04-10,49.6488
2022-04-11,51.1198
2022-04-12,50.9774
2022-04-13,51.0287
2022-04-14,51.371
2022-04-15,51.371
2022-04-16,51.371
2022-04-17,51.371
2022-04-18,54.615
2022-04-19,60.2553
2022-04-20,59.8549
2022-04-21,59.7578
2022-04-22,56.9565
2022-04-23,56.9565
2022-04-24,56.9565
2022-04-25,57.4333
2022-04-26,54.8276
2022-04-27,55.2932
2022-04-28,55.1625
