,CVBF US Equity
,RSI_30D
2021-09-06,47.5436
2021-09-07,47.1774
2021-09-08,44.8883
2021-09-09,45.3171
2021-09-10,43.0308
2021-09-11,43.0308
2021-09-12,43.0308
2021-09-13,42.0987
2021-09-14,41.4354
2021-09-15,41.3008
2021-09-16,41.2315
2021-09-17,44.0476
2021-09-18,44.0476
2021-09-19,44.0476
2021-09-20,41.0971
2021-09-21,42.0532
2021-09-22,42.6311
2021-09-23,46.5811
2021-09-24,49.0295
2021-09-25,49.0295
2021-09-26,49.0295
2021-09-27,54.5308
2021-09-28,53.561
2021-09-29,55.1427
2021-09-30,53.1087
2021-10-01,54.9647
2021-10-02,54.9647
2021-10-03,54.9647
2021-10-04,53.7422
2021-10-05,53.7422
2021-10-06,52.7293
2021-10-07,53.1857
2021-10-08,53.8009
2021-10-09,53.8009
2021-10-10,53.8009
2021-10-11,50.6993
2021-10-12,49.6305
2021-10-13,48.8923
2021-10-14,50.9871
2021-10-15,50.9008
2021-10-16,50.9008
2021-10-17,50.9008
2021-10-18,48.5211
2021-10-19,49.7365
2021-10-20,52.3944
2021-10-21,49.9197
2021-10-22,48.4504
2021-10-23,48.4504
2021-10-24,48.4504
2021-10-25,49.6429
2021-10-26,48.3213
2021-10-27,46.6355
2021-10-28,49.8259
2021-10-29,51.2915
2021-10-30,51.2915
2021-10-31,51.2915
2021-11-01,56.6088
2021-11-02,53.2324
2021-11-03,57.3995
2021-11-04,54.3184
2021-11-05,56.1448
2021-11-06,56.1448
2021-11-07,56.1448
2021-11-08,54.3466
2021-11-09,54.8453
2021-11-10,54.8453
2021-11-11,55.3025
2021-11-12,54.0885
2021-11-13,54.0885
2021-11-14,54.0885
2021-11-15,54.2271
2021-11-16,55.8139
2021-11-17,55.8139
2021-11-18,55.4561
2021-11-19,53.3339
2021-11-20,53.3339
2021-11-21,53.3339
2021-11-22,55.6736
2021-11-23,55.7453
2021-11-24,53.0797
2021-11-25,53.0797
2021-11-26,45.3097
2021-11-27,45.3097
2021-11-28,45.3097
2021-11-29,43.7798
2021-11-30,42.1835
2021-12-01,43.1728
2021-12-02,49.4377
2021-12-03,48.451
2021-12-04,48.451
2021-12-05,48.451
2021-12-06,51.8324
2021-12-07,51.8324
2021-12-08,53.6812
2021-12-09,52.3201
2021-12-10,55.1672
2021-12-11,55.1672
2021-12-12,55.1672
2021-12-13,53.9359
2021-12-14,56.9199
2021-12-15,56.4011
2021-12-16,58.0401
2021-12-17,55.4382
2021-12-18,55.4382
2021-12-19,55.4382
2021-12-20,53.3867
2021-12-21,54.9334
2021-12-22,55.8657
2021-12-23,56.9594
2021-12-24,56.9594
2021-12-25,56.9594
2021-12-26,56.9594
2021-12-27,57.1905
2021-12-28,57.4289
2021-12-29,57.4901
2021-12-30,57.15
2021-12-31,57.2807
2022-01-01,57.2807
2022-01-02,57.2807
2022-01-03,58.3967
2022-01-04,60.3506
2022-01-05,60.5361
2022-01-06,64.4383
2022-01-07,65.8263
2022-01-08,65.8263
2022-01-09,65.8263
2022-01-10,68.5104
2022-01-11,66.1529
2022-01-12,65.2242
2022-01-13,65.7711
2022-01-14,66.6104
2022-01-15,66.6104
2022-01-16,66.6104
2022-01-17,66.6104
2022-01-18,65.1521
2022-01-19,61.6168
2022-01-20,57.143
2022-01-21,56.9815
2022-01-22,56.9815
2022-01-23,56.9815
2022-01-24,59.0754
2022-01-25,59.4835
2022-01-26,57.4518
2022-01-27,55.8885
2022-01-28,54.4368
2022-01-29,54.4368
2022-01-30,54.4368
2022-01-31,53.8738
2022-02-01,53.7096
2022-02-02,55.7997
2022-02-03,57.1345
2022-02-04,58.9307
2022-02-05,58.9307
2022-02-06,58.9307
2022-02-07,60.8114
2022-02-08,64.1531
2022-02-09,61.8284
2022-02-10,62.9502
2022-02-11,63.1635
2022-02-12,63.1635
2022-02-13,63.1635
2022-02-14,61.6042
2022-02-15,64.0354
2022-02-16,63.9423
2022-02-17,61.7152
2022-02-18,62.993
2022-02-19,62.993
2022-02-20,62.993
2022-02-21,62.993
2022-02-22,62.617
2022-02-23,58.8897
2022-02-24,53.9472
2022-02-25,58.2818
2022-02-26,58.2818
2022-02-27,58.2818
2022-02-28,57.8957
2022-03-01,53.0261
2022-03-02,55.7283
2022-03-03,56.6074
2022-03-04,54.508
2022-03-05,54.508
2022-03-06,54.508
2022-03-07,53.4821
2022-03-08,51.4133
2022-03-09,53.3407
2022-03-10,54.1636
2022-03-11,55.4975
2022-03-12,55.4975
2022-03-13,55.4975
2022-03-14,58.2311
2022-03-15,56.4379
2022-03-16,57.3616
2022-03-17,54.951
2022-03-18,50.615
2022-03-19,50.615
2022-03-20,50.615
2022-03-21,53.1277
2022-03-22,54.0079
2022-03-23,51.3873
2022-03-24,52.7428
2022-03-25,56.3132
2022-03-26,56.3132
2022-03-27,56.3132
2022-03-28,55.4842
2022-03-29,56.5033
2022-03-30,52.5228
2022-03-31,51.3533
2022-04-01,50.7686
2022-04-02,50.7686
2022-04-03,50.7686
2022-04-04,51.4547
2022-04-05,50.2976
2022-04-06,49.7493
2022-04-07,48.4739
2022-04-08,48.9254
2022-04-09,48.9254
2022-04-10,48.9254
2022-04-11,49.4491
2022-04-12,49.7821
2022-04-13,50.2565
2022-04-14,49.839
2022-04-15,49.839
2022-04-16,49.839
2022-04-17,49.839
2022-04-18,50.6866
2022-04-19,54.9522
2022-04-20,56.2179
2022-04-21,58.4056
2022-04-22,56.9341
2022-04-23,56.9341
2022-04-24,56.9341
2022-04-25,57.2274
2022-04-26,53.5307
2022-04-27,53.3126
2022-04-28,54.5265
2022-04-29,49.9965
2022-04-30,49.9965
2022-05-01,49.9965
2022-05-02,51.5578
2022-05-03,52.2644
2022-05-04,56.5557
2022-05-05,54.446
2022-05-06,53.8229
2022-05-07,53.8229
2022-05-08,53.8229
2022-05-09,54.0646
2022-05-10,51.5523
2022-05-11,51.8736
2022-05-12,51.7317
2022-05-13,52.9959
2022-05-14,52.9959
2022-05-15,52.9959
2022-05-16,52.5463
2022-05-17,56.1391
2022-05-18,54.6859
2022-05-19,52.3966
2022-05-20,54.1885
2022-05-21,54.1885
2022-05-22,54.1885
2022-05-23,56.0233
2022-05-24,56.2649
2022-05-25,57.2963
2022-05-26,58.7754
2022-05-27,60.1463
2022-05-28,60.1463
2022-05-29,60.1463
2022-05-30,60.1463
2022-05-31,59.2964
2022-06-01,57.612
2022-06-02,59.8535
2022-06-03,59.5108
2022-06-04,59.5108
2022-06-05,59.5108
2022-06-06,59.6303
2022-06-07,60.8268
2022-06-08,59.7281
2022-06-09,54.8586
2022-06-10,51.7933
