,ULTA US Equity
,RSI_30D
2021-04-22,53.2639
2021-04-23,54.7088
2021-04-24,54.7088
2021-04-25,54.7088
2021-04-26,54.6522
2021-04-27,54.9289
2021-04-28,54.0209
2021-04-29,54.7108
2021-04-30,54.8654
2021-05-01,54.8654
2021-05-02,54.8654
2021-05-03,52.7668
2021-05-04,51.3754
2021-05-05,50.6311
2021-05-06,49.8403
2021-05-07,52.0997
2021-05-08,52.0997
2021-05-09,52.0997
2021-05-10,51.9323
2021-05-11,47.9317
2021-05-12,44.3938
2021-05-13,48.1038
2021-05-14,52.5047
2021-05-15,52.5047
2021-05-16,52.5047
2021-05-17,54.263
2021-05-18,53.1838
2021-05-19,50.5065
2021-05-20,50.2603
2021-05-21,49.3699
2021-05-22,49.3699
2021-05-23,49.3699
2021-05-24,49.2774
2021-05-25,51.1587
2021-05-26,53.4064
2021-05-27,53.7014
2021-05-28,58.9546
2021-05-29,58.9546
2021-05-30,58.9546
2021-05-31,58.9546
2021-06-01,58.0804
2021-06-02,55.5812
2021-06-03,54.1332
2021-06-04,51.8305
2021-06-05,51.8305
2021-06-06,51.8305
2021-06-07,53.8147
2021-06-08,56.3802
2021-06-09,53.2757
2021-06-10,53.0417
2021-06-11,55.0098
2021-06-12,55.0098
2021-06-13,55.0098
2021-06-14,54.3991
2021-06-15,52.8933
2021-06-16,52.5949
2021-06-17,51.3205
2021-06-18,50.9001
2021-06-19,50.9001
2021-06-20,50.9001
2021-06-21,53.5398
2021-06-22,53.7964
2021-06-23,55.6114
2021-06-24,58.8497
2021-06-25,57.6309
2021-06-26,57.6309
2021-06-27,57.6309
2021-06-28,55.3542
2021-06-29,55.5599
2021-06-30,56.2021
2021-07-01,57.2283
2021-07-02,58.151
2021-07-03,58.151
2021-07-04,58.151
2021-07-05,58.151
2021-07-06,58.1734
2021-07-07,53.4551
2021-07-08,51.3454
2021-07-09,54.1902
2021-07-10,54.1902
2021-07-11,54.1902
2021-07-12,53.8729
2021-07-13,52.4877
2021-07-14,53.5277
2021-07-15,52.9984
2021-07-16,49.5722
2021-07-17,49.5722
2021-07-18,49.5722
2021-07-19,46.5969
2021-07-20,50.5334
2021-07-21,52.9043
2021-07-22,52.4208
2021-07-23,52.8432
2021-07-24,52.8432
2021-07-25,52.8432
2021-07-26,53.7499
2021-07-27,51.1947
2021-07-28,49.9039
2021-07-29,50.1384
2021-07-30,50.5832
2021-07-31,50.5832
2021-08-01,50.5832
2021-08-02,50.9484
2021-08-03,54.5332
2021-08-04,52.8815
2021-08-05,55.9458
2021-08-06,56.3789
2021-08-07,56.3789
2021-08-08,56.3789
2021-08-09,56.2338
2021-08-10,59.1422
2021-08-11,60.6567
2021-08-12,62.1068
2021-08-13,62.0789
2021-08-14,62.0789
2021-08-15,62.0789
2021-08-16,61.046
2021-08-17,57.0254
2021-08-18,57.3443
2021-08-19,56.9606
2021-08-20,58.9152
2021-08-21,58.9152
2021-08-22,58.9152
2021-08-23,59.9437
2021-08-24,61.1432
2021-08-25,65.5871
2021-08-26,65.0025
2021-08-27,64.2979
2021-08-28,64.2979
2021-08-29,64.2979
2021-08-30,62.3406
2021-08-31,63.5123
2021-09-01,63.5548
2021-09-02,60.5164
2021-09-03,60.7956
2021-09-04,60.7956
2021-09-05,60.7956
2021-09-06,60.7956
2021-09-07,59.4523
2021-09-08,58.0071
2021-09-09,59.9293
2021-09-10,56.565
2021-09-11,56.565
2021-09-12,56.565
2021-09-13,55.443
2021-09-14,55.9574
2021-09-15,56.7466
2021-09-16,58.9564
2021-09-17,57.4038
2021-09-18,57.4038
2021-09-19,57.4038
2021-09-20,53.272
2021-09-21,53.3094
2021-09-22,55.5194
2021-09-23,57.2303
2021-09-24,57.6999
2021-09-25,57.6999
2021-09-26,57.6999
2021-09-27,57.2255
2021-09-28,55.806
2021-09-29,55.8855
2021-09-30,48.4083
2021-10-01,51.1655
2021-10-02,51.1655
2021-10-03,51.1655
2021-10-04,51.8727
2021-10-05,53.2981
2021-10-06,51.0398
2021-10-07,53.5378
2021-10-08,54.7086
2021-10-09,54.7086
2021-10-10,54.7086
2021-10-11,55.5753
2021-10-12,57.6064
2021-10-13,60.2157
2021-10-14,62.6532
2021-10-15,63.1449
2021-10-16,63.1449
2021-10-17,63.1449
2021-10-18,63.3187
2021-10-19,47.4976
2021-10-20,46.0579
2021-10-21,50.1824
2021-10-22,50.0584
2021-10-23,50.0584
2021-10-24,50.0584
2021-10-25,49.9248
2021-10-26,48.4566
2021-10-27,49.614
2021-10-28,49.8016
2021-10-29,48.8515
2021-10-30,48.8515
2021-10-31,48.8515
2021-11-01,48.1521
2021-11-02,50.3704
2021-11-03,53.4098
2021-11-04,53.1687
2021-11-05,56.2691
2021-11-06,56.2691
2021-11-07,56.2691
2021-11-08,54.9632
2021-11-09,56.9
2021-11-10,55.5686
2021-11-11,56.7434
2021-11-12,57.002
2021-11-13,57.002
2021-11-14,57.002
2021-11-15,58.4471
2021-11-16,61.5478
2021-11-17,57.2997
2021-11-18,58.1813
2021-11-19,58.7095
2021-11-20,58.7095
2021-11-21,58.7095
2021-11-22,59.746
2021-11-23,58.6801
2021-11-24,58.8486
2021-11-25,58.8486
2021-11-26,55.1453
2021-11-27,55.1453
2021-11-28,55.1453
2021-11-29,55.6888
2021-11-30,49.9059
2021-12-01,45.9684
2021-12-02,49.9616
2021-12-03,48.6428
2021-12-04,48.6428
2021-12-05,48.6428
2021-12-06,51.7037
2021-12-07,55.9838
2021-12-08,56.9635
2021-12-09,54.7578
2021-12-10,54.4963
2021-12-11,54.4963
2021-12-12,54.4963
2021-12-13,50.384
2021-12-14,50.7281
2021-12-15,51.9846
2021-12-16,49.4994
2021-12-17,48.4262
2021-12-18,48.4262
2021-12-19,48.4262
2021-12-20,44.8321
2021-12-21,48.1124
2021-12-22,50.4713
2021-12-23,51.5261
2021-12-24,51.5261
2021-12-25,51.5261
2021-12-26,51.5261
2021-12-27,54.1251
2021-12-28,52.8399
2021-12-29,54.2887
2021-12-30,54.1535
2021-12-31,55.8383
2022-01-01,55.8383
2022-01-02,55.8383
2022-01-03,56.0353
2022-01-04,57.2566
2022-01-05,52.5306
2022-01-06,52.2718
2022-01-07,51.3843
2022-01-08,51.3843
2022-01-09,51.3843
2022-01-10,47.4367
2022-01-11,48.3064
2022-01-12,48.2384
2022-01-13,46.7764
2022-01-14,45.8976
2022-01-15,45.8976
2022-01-16,45.8976
2022-01-17,45.8976
2022-01-18,45.5335
2022-01-19,45.2165
2022-01-20,42.2514
2022-01-21,40.1517
2022-01-22,40.1517
2022-01-23,40.1517
2022-01-24,44.6776
2022-01-25,42.0936
2022-01-26,42.3983
2022-01-27,41.9226
2022-01-28,44.0344
2022-01-29,44.0344
2022-01-30,44.0344
2022-01-31,45.4247
2022-02-01,47.7702
2022-02-02,47.6148
2022-02-03,45.9147
2022-02-04,46.1929
2022-02-05,46.1929
2022-02-06,46.1929
2022-02-07,45.8234
2022-02-08,45.8157
2022-02-09,49.3017
2022-02-10,48.744
2022-02-11,45.6301
2022-02-12,45.6301
2022-02-13,45.6301
2022-02-14,45.7754
2022-02-15,50.6105
2022-02-16,51.1276
2022-02-17,47.8132
2022-02-18,49.6294
2022-02-19,49.6294
2022-02-20,49.6294
2022-02-21,49.6294
2022-02-22,47.6604
2022-02-23,44.5586
2022-02-24,49.2711
2022-02-25,50.4745
2022-02-26,50.4745
2022-02-27,50.4745
2022-02-28,49.6019
2022-03-01,48.2741
2022-03-02,51.3396
2022-03-03,49.4442
2022-03-04,47.8234
2022-03-05,47.8234
2022-03-06,47.8234
2022-03-07,44.3672
2022-03-08,46.4253
2022-03-09,49.7824
2022-03-10,51.126
2022-03-11,48.71
2022-03-12,48.71
2022-03-13,48.71
2022-03-14,46.4139
2022-03-15,49.5184
2022-03-16,52.4253
2022-03-17,52.7836
2022-03-18,53.5713
2022-03-19,53.5713
2022-03-20,53.5713
2022-03-21,52.2913
2022-03-22,53.1412
2022-03-23,53.1497
2022-03-24,54.4376
2022-03-25,54.2412
2022-03-26,54.2412
2022-03-27,54.2412
2022-03-28,54.332
2022-03-29,56.7178
2022-03-30,55.4266
2022-03-31,54.4733
2022-04-01,51.8593
2022-04-02,51.8593
2022-04-03,51.8593
2022-04-04,54.2226
2022-04-05,54.1512
2022-04-06,52.2685
2022-04-07,54.0218
2022-04-08,54.6523
2022-04-09,54.6523
2022-04-10,54.6523
2022-04-11,55.1644
2022-04-12,55.6569
2022-04-13,57.8267
2022-04-14,57.8601
2022-04-15,57.8601
2022-04-16,57.8601
2022-04-17,57.8601
2022-04-18,57.9037
2022-04-19,60.6788
2022-04-20,61.3126
2022-04-21,58.1096
2022-04-22,53.7537
2022-04-23,53.7537
2022-04-24,53.7537
2022-04-25,56.3898
2022-04-26,53.4597
2022-04-27,52.277
2022-04-28,55.5503
2022-04-29,50.5031
2022-04-30,50.5031
2022-05-01,50.5031
2022-05-02,52.4015
2022-05-03,51.3948
2022-05-04,52.9972
2022-05-05,50.2211
2022-05-06,48.641
2022-05-07,48.641
2022-05-08,48.641
2022-05-09,46.8738
2022-05-10,46.8274
2022-05-11,45.7784
2022-05-12,46.2593
2022-05-13,50.566
2022-05-14,50.566
2022-05-15,50.566
2022-05-16,49.9394
2022-05-17,49.9043
2022-05-18,41.3607
2022-05-19,41.5698
2022-05-20,40.1474
2022-05-21,40.1474
2022-05-22,40.1474
2022-05-23,41.0568
2022-05-24,40.2536
2022-05-25,42.9973
2022-05-26,48.614
2022-05-27,56.8925
2022-05-28,56.8925
2022-05-29,56.8925
2022-05-30,56.8925
2022-05-31,56.4969
2022-06-01,53.4332
2022-06-02,54.9111
2022-06-03,52.6376
2022-06-04,52.6376
2022-06-05,52.6376
2022-06-06,54.1466
2022-06-07,55.299
2022-06-08,55.985
2022-06-09,55.3734
2022-06-10,52.5175
2022-06-11,52.5175
2022-06-12,52.5175
2022-06-13,49.6306
2022-06-14,49.7918
2022-06-15,52.0718
2022-06-16,49.3588
2022-06-17,50.307
2022-06-18,50.307
2022-06-19,50.307
2022-06-20,50.307
2022-06-21,51.2634
2022-06-22,50.3333
2022-06-23,50.2752
2022-06-24,52.9254
2022-06-25,52.9254
2022-06-26,52.9254
2022-06-27,50.994
2022-06-28,48.3446
2022-06-29,49.4142
2022-06-30,48.3038
2022-07-01,47.829
2022-07-02,47.829
2022-07-03,47.829
2022-07-04,47.829
2022-07-05,47.0327
2022-07-06,47.7092
2022-07-07,48.1011
2022-07-08,47.6686
2022-07-09,47.6686
2022-07-10,47.6686
2022-07-11,48.0704
2022-07-12,46.809
2022-07-13,48.0976
2022-07-14,48.74
2022-07-15,51.2999
2022-07-16,51.2999
2022-07-17,51.2999
2022-07-18,50.4835
2022-07-19,52.3677
2022-07-20,53.6168
2022-07-21,54.2192
2022-07-22,53.027
2022-07-23,53.027
2022-07-24,53.027
2022-07-25,51.7837
2022-07-26,48.0495
2022-07-27,50.4402
2022-07-28,51.5913
2022-07-29,48.9703
2022-07-30,48.9703
2022-07-31,48.9703
2022-08-01,50.1574
2022-08-02,49.8491
2022-08-03,45.6433
2022-08-04,45.534
2022-08-05,46.8389
2022-08-06,46.8389
2022-08-07,46.8389
2022-08-08,47.2205
2022-08-09,46.4375
2022-08-10,47.8499
2022-08-11,49.8998
2022-08-12,51.1633
2022-08-13,51.1633
2022-08-14,51.1633
2022-08-15,53.3706
2022-08-16,53.7909
2022-08-17,53.0413
2022-08-18,54.1541
2022-08-19,52.5759
2022-08-20,52.5759
2022-08-21,52.5759
2022-08-22,51.087
2022-08-23,52.0224
2022-08-24,54.5188
2022-08-25,56.1135
2022-08-26,54.0056
2022-08-27,54.0056
2022-08-28,54.0056
2022-08-29,55.3764
2022-08-30,55.1469
2022-08-31,55.8492
2022-09-01,56.8433
2022-09-02,56.4918
2022-09-03,56.4918
2022-09-04,56.4918
2022-09-05,56.4918
2022-09-06,57.5909
2022-09-07,61.0659
2022-09-08,61.3351
2022-09-09,60.5406
2022-09-10,60.5406
2022-09-11,60.5406
2022-09-12,61.2305
2022-09-13,56.187
2022-09-14,55.0465
2022-09-15,54.0366
2022-09-16,52.8801
2022-09-17,52.8801
2022-09-18,52.8801
2022-09-19,53.6
2022-09-20,52.1767
2022-09-21,50.5173
2022-09-22,48.0246
2022-09-23,45.6389
2022-09-24,45.6389
2022-09-25,45.6389
2022-09-26,44.5064
2022-09-27,46.4185
