,AEP US Equity
,RSI_30D
2021-11-04,46.5924
2021-11-05,49.9672
2021-11-06,49.9672
2021-11-07,49.9672
2021-11-08,46.9264
2021-11-09,46.7181
2021-11-10,49.9909
2021-11-11,45.9682
2021-11-12,44.5738
2021-11-13,44.5738
2021-11-14,44.5738
2021-11-15,46.9981
2021-11-16,46.22
2021-11-17,48.1087
2021-11-18,47.0529
2021-11-19,48.6086
2021-11-20,48.6086
2021-11-21,48.6086
2021-11-22,51.0528
2021-11-23,51.079
2021-11-24,49.7315
2021-11-25,49.7315
2021-11-26,46.4465
2021-11-27,46.4465
2021-11-28,46.4465
2021-11-29,48.5504
2021-11-30,43.3155
2021-12-01,41.7297
2021-12-02,44.5395
2021-12-03,47.1745
2021-12-04,47.1745
2021-12-05,47.1745
2021-12-06,49.9226
2021-12-07,50.8879
2021-12-08,51.1431
2021-12-09,49.9234
2021-12-10,51.0584
2021-12-11,51.0584
2021-12-12,51.0584
2021-12-13,53.3616
2021-12-14,53.7031
2021-12-15,58.1419
2021-12-16,59.6108
2021-12-17,55.7719
2021-12-18,55.7719
2021-12-19,55.7719
2021-12-20,57.1219
2021-12-21,55.8942
2021-12-22,55.5596
2021-12-23,55.2962
2021-12-24,55.2962
2021-12-25,55.2962
2021-12-26,55.2962
2021-12-27,56.4911
2021-12-28,58.7904
2021-12-29,59.5151
2021-12-30,59.7329
2021-12-31,60.2954
2022-01-01,60.2954
2022-01-02,60.2954
2022-01-03,59.1957
2022-01-04,59.281
2022-01-05,61.0108
2022-01-06,60.0771
2022-01-07,63.3209
2022-01-08,63.3209
2022-01-09,63.3209
2022-01-10,62.3504
2022-01-11,60.0342
2022-01-12,61.0991
2022-01-13,62.2399
2022-01-14,62.4796
2022-01-15,62.4796
2022-01-16,62.4796
2022-01-17,62.4796
2022-01-18,60.3021
2022-01-19,60.2363
2022-01-20,58.9713
2022-01-21,59.0882
2022-01-22,59.0882
2022-01-23,59.0882
2022-01-24,56.2678
2022-01-25,55.7496
2022-01-26,55.3213
2022-01-27,56.8255
2022-01-28,58.6691
2022-01-29,58.6691
2022-01-30,58.6691
2022-01-31,59.3335
2022-02-01,52.6819
2022-02-02,56.4512
2022-02-03,57.1664
2022-02-04,54.14
2022-02-05,54.14
2022-02-06,54.14
2022-02-07,55.6635
2022-02-08,56.573
2022-02-09,56.4489
2022-02-10,50.7298
2022-02-11,51.3953
2022-02-12,51.3953
2022-02-13,51.3953
2022-02-14,47.632
2022-02-15,45.8824
2022-02-16,45.8118
2022-02-17,46.0407
2022-02-18,46.6816
2022-02-19,46.6816
2022-02-20,46.6816
2022-02-21,46.6816
2022-02-22,47.5025
2022-02-23,44.1148
2022-02-24,49.4218
2022-02-25,55.9568
2022-02-26,55.9568
2022-02-27,55.9568
2022-02-28,58.2468
2022-03-01,57.111
2022-03-02,59.045
2022-03-03,63.5662
2022-03-04,66.8164
2022-03-05,66.8164
2022-03-06,66.8164
2022-03-07,67.9856
2022-03-08,63.021
2022-03-09,62.4576
2022-03-10,63.8237
2022-03-11,62.7392
2022-03-12,62.7392
2022-03-13,62.7392
2022-03-14,60.8382
2022-03-15,62.8333
2022-03-16,60.4162
2022-03-17,60.1172
2022-03-18,58.1254
2022-03-19,58.1254
2022-03-20,58.1254
2022-03-21,59.1238
2022-03-22,60.0146
2022-03-23,61.2017
2022-03-24,61.8643
2022-03-25,62.4809
2022-03-26,62.4809
2022-03-27,62.4809
2022-03-28,63.6514
2022-03-29,65.2254
2022-03-30,66.2474
2022-03-31,66.7323
2022-04-01,69.0213
2022-04-02,69.0213
2022-04-03,69.0213
2022-04-04,66.6757
2022-04-05,67.5512
2022-04-06,71.3082
2022-04-07,68.4218
2022-04-08,67.4633
2022-04-09,67.4633
2022-04-10,67.4633
2022-04-11,63.6066
2022-04-12,64.7981
2022-04-13,64.6537
2022-04-14,64.1363
2022-04-15,64.1363
2022-04-16,64.1363
2022-04-17,64.1363
2022-04-18,63.1897
2022-04-19,64.2944
2022-04-20,64.8611
2022-04-21,63.0244
2022-04-22,58.5102
2022-04-23,58.5102
2022-04-24,58.5102
2022-04-25,58.9171
2022-04-26,56.0506
2022-04-27,56.5539
2022-04-28,61.1555
2022-04-29,54.3394
2022-04-30,54.3394
2022-05-01,54.3394
2022-05-02,52.5509
2022-05-03,53.2813
2022-05-04,56.5703
