,EQH US Equity
,RSI_30D
2021-11-21,50.846
2021-11-22,52.9757
2021-11-23,55.8055
2021-11-24,54.9744
2021-11-25,54.9744
2021-11-26,49.7605
2021-11-27,49.7605
2021-11-28,49.7605
2021-11-29,48.8847
2021-11-30,45.788
2021-12-01,42.6693
2021-12-02,45.6619
2021-12-03,46.3856
2021-12-04,46.3856
2021-12-05,46.3856
2021-12-06,48.9116
2021-12-07,51.2858
2021-12-08,51.9299
2021-12-09,50.706
2021-12-10,49.975
2021-12-11,49.975
2021-12-12,49.975
2021-12-13,48.7236
2021-12-14,49.1063
2021-12-15,50.1751
2021-12-16,49.4024
2021-12-17,47.918
2021-12-18,47.918
2021-12-19,47.918
2021-12-20,43.6888
2021-12-21,49.0646
2021-12-22,51.0593
2021-12-23,52.6099
2021-12-24,52.6099
2021-12-25,52.6099
2021-12-26,52.6099
2021-12-27,52.8674
2021-12-28,53.0559
2021-12-29,52.9682
2021-12-30,51.6445
2021-12-31,51.7692
2022-01-01,51.7692
2022-01-02,51.7692
2022-01-03,53.7829
2022-01-04,58.1036
2022-01-05,56.5153
2022-01-06,59.8851
2022-01-07,61.0296
2022-01-08,61.0296
2022-01-09,61.0296
2022-01-10,59.5106
2022-01-11,61.3753
2022-01-12,60.5579
2022-01-13,60.875
2022-01-14,61.7653
2022-01-15,61.7653
2022-01-16,61.7653
2022-01-17,61.7653
2022-01-18,57.3306
2022-01-19,54.3887
2022-01-20,54.0036
2022-01-21,50.0146
2022-01-22,50.0146
2022-01-23,50.0146
2022-01-24,48.5386
2022-01-25,48.5788
2022-01-26,49.1955
2022-01-27,46.1068
2022-01-28,45.0591
2022-01-29,45.0591
2022-01-30,45.0591
2022-01-31,51.5407
2022-02-01,54.8781
2022-02-02,55.3867
2022-02-03,50.2592
2022-02-04,54.0034
2022-02-05,54.0034
2022-02-06,54.0034
2022-02-07,55.3759
2022-02-08,57.4707
2022-02-09,58.5706
2022-02-10,58.7857
2022-02-11,52.7626
2022-02-12,52.7626
2022-02-13,52.7626
2022-02-14,50.6772
2022-02-15,52.6147
2022-02-16,52.5823
2022-02-17,48.3648
2022-02-18,48.2187
2022-02-19,48.2187
2022-02-20,48.2187
2022-02-21,48.2187
2022-02-22,46.2264
2022-02-23,44.8645
2022-02-24,44.6424
2022-02-25,49.0995
2022-02-26,49.0995
2022-02-27,49.0995
2022-02-28,47.8397
2022-03-01,42.9126
2022-03-02,45.8882
2022-03-03,45.078
2022-03-04,43.133
2022-03-05,43.133
2022-03-06,43.133
2022-03-07,38.4998
2022-03-08,38.8824
2022-03-09,43.7126
2022-03-10,42.7514
2022-03-11,43.1043
2022-03-12,43.1043
2022-03-13,43.1043
2022-03-14,44.0851
2022-03-15,44.8009
2022-03-16,47.8241
2022-03-17,47.7468
2022-03-18,48.4931
2022-03-19,48.4931
2022-03-20,48.4931
2022-03-21,46.8427
2022-03-22,49.6449
2022-03-23,47.3776
2022-03-24,48.7844
2022-03-25,49.6478
2022-03-26,49.6478
2022-03-27,49.6478
2022-03-28,48.3955
2022-03-29,49.4001
2022-03-30,48.6444
2022-03-31,46.4916
2022-04-01,46.3305
2022-04-02,46.3305
2022-04-03,46.3305
2022-04-04,46.3945
2022-04-05,48.6453
2022-04-06,48.5265
2022-04-07,46.5291
2022-04-08,48.4653
2022-04-09,48.4653
2022-04-10,48.4653
2022-04-11,46.8281
2022-04-12,45.4111
2022-04-13,47.4191
2022-04-14,46.4627
2022-04-15,46.4627
2022-04-16,46.4627
2022-04-17,46.4627
2022-04-18,47.4267
2022-04-19,50.2091
2022-04-20,51.6098
2022-04-21,50.212
2022-04-22,46.51
2022-04-23,46.51
2022-04-24,46.51
2022-04-25,45.3479
2022-04-26,42.4971
2022-04-27,43.1751
2022-04-28,44.6274
2022-04-29,42.2874
2022-04-30,42.2874
2022-05-01,42.2874
2022-05-02,42.8727
2022-05-03,45.942
2022-05-04,49.253
2022-05-05,45.5393
2022-05-06,44.8597
2022-05-07,44.8597
2022-05-08,44.8597
2022-05-09,42.3873
2022-05-10,40.9234
2022-05-11,39.8771
2022-05-12,38.4282
2022-05-13,42.5232
2022-05-14,42.5232
2022-05-15,42.5232
2022-05-16,42.0674
2022-05-17,45.6812
2022-05-18,43.2177
2022-05-19,43.1723
2022-05-20,43.4185
2022-05-21,43.4185
2022-05-22,43.4185
2022-05-23,46.3631
2022-05-24,45.4885
2022-05-25,48.3128
2022-05-26,51.087
2022-05-27,52.7182
2022-05-28,52.7182
2022-05-29,52.7182
2022-05-30,52.7182
2022-05-31,51.3886
2022-06-01,50.483
2022-06-02,50.2885
2022-06-03,48.5741
2022-06-04,48.5741
2022-06-05,48.5741
2022-06-06,49.437
2022-06-07,49.6409
2022-06-08,48.5414
2022-06-09,46.6294
2022-06-10,43.0918
2022-06-11,43.0918
2022-06-12,43.0918
2022-06-13,39.9348
2022-06-14,40.7804
2022-06-15,42.268
2022-06-16,39.774
2022-06-17,40.8474
2022-06-18,40.8474
2022-06-19,40.8474
2022-06-20,40.8474
2022-06-21,42.455
2022-06-22,42.9998
2022-06-23,42.0786
2022-06-24,45.481
2022-06-25,45.481
2022-06-26,45.481
2022-06-27,44.9702
2022-06-28,44.8659
2022-06-29,43.7383
2022-06-30,42.43
2022-07-01,43.2902
2022-07-02,43.2902
2022-07-03,43.2902
2022-07-04,43.2902
2022-07-05,42.5535
2022-07-06,41.0812
2022-07-07,43.3575
2022-07-08,42.9817
2022-07-09,42.9817
2022-07-10,42.9817
2022-07-11,42.1715
2022-07-12,42.7299
2022-07-13,41.7024
2022-07-14,40.1372
2022-07-15,42.3374
2022-07-16,42.3374
2022-07-17,42.3374
2022-07-18,42.6435
2022-07-19,45.7349
2022-07-20,47.1204
2022-07-21,47.9314
2022-07-22,46.5506
2022-07-23,46.5506
2022-07-24,46.5506
2022-07-25,47.6747
2022-07-26,47.2109
2022-07-27,49.4984
2022-07-28,50.7939
2022-07-29,53.2101
2022-07-30,53.2101
2022-07-31,53.2101
2022-08-01,52.1072
2022-08-02,49.8962
2022-08-03,52.8661
2022-08-04,53.2207
2022-08-05,53.2872
2022-08-06,53.2872
2022-08-07,53.2872
2022-08-08,53.7972
2022-08-09,54.6509
2022-08-10,57.6612
2022-08-11,59.6002
2022-08-12,61.347
2022-08-13,61.347
2022-08-14,61.347
2022-08-15,60.2602
2022-08-16,62.5135
2022-08-17,62.5671
2022-08-18,63.4053
2022-08-19,60.9021
2022-08-20,60.9021
2022-08-21,60.9021
2022-08-22,56.7709
2022-08-23,56.8018
2022-08-24,56.4259
2022-08-25,59.4775
2022-08-26,56.0718
2022-08-27,56.0718
2022-08-28,56.0718
2022-08-29,55.635
2022-08-30,54.4387
2022-08-31,53.5648
2022-09-01,52.6899
2022-09-02,52.0109
2022-09-03,52.0109
2022-09-04,52.0109
2022-09-05,52.0109
2022-09-06,50.5827
2022-09-07,52.8875
2022-09-08,54.3786
2022-09-09,56.1558
2022-09-10,56.1558
2022-09-11,56.1558
2022-09-12,57.6334
2022-09-13,53.1456
2022-09-14,53.0671
2022-09-15,51.5329
2022-09-16,50.4118
2022-09-17,50.4118
2022-09-18,50.4118
2022-09-19,51.6134
2022-09-20,50.5056
2022-09-21,49.6784
2022-09-22,46.8079
2022-09-23,44.0046
2022-09-24,44.0046
2022-09-25,44.0046
2022-09-26,40.849
2022-09-27,40.6697
2022-09-28,44.2939
2022-09-29,42.5734
2022-09-30,41.4528
2022-10-01,41.4528
2022-10-02,41.4528
2022-10-03,45.3911
2022-10-04,51.1492
2022-10-05,51.2133
2022-10-06,50.3586
2022-10-07,48.3231
2022-10-08,48.3231
2022-10-09,48.3231
2022-10-10,48.0923
2022-10-11,46.2639
2022-10-12,45.154
2022-10-13,48.7177
2022-10-14,47.4802
2022-10-15,47.4802
2022-10-16,47.4802
2022-10-17,48.8938
2022-10-18,50.9755
2022-10-19,48.8173
2022-10-20,46.5857
2022-10-21,49.0961
2022-10-22,49.0961
2022-10-23,49.0961
2022-10-24,51.4871
2022-10-25,52.8795
2022-10-26,53.219
