,NRC US Equity
,RSI_30D
2021-06-16,41.7259
2021-06-17,42.5725
2021-06-18,40.6082
2021-06-19,40.6082
2021-06-20,40.6082
2021-06-21,42.9098
2021-06-22,44.4458
2021-06-23,43.6163
2021-06-24,45.8842
2021-06-25,47.6703
2021-06-26,47.6703
2021-06-27,47.6703
2021-06-28,49.375
2021-06-29,48.243
2021-06-30,47.3007
2021-07-01,51.0891
2021-07-02,49.981
2021-07-03,49.981
2021-07-04,49.981
2021-07-05,49.981
2021-07-06,50.7635
2021-07-07,50.3323
2021-07-08,50.4774
2021-07-09,52.0237
2021-07-10,52.0237
2021-07-11,52.0237
2021-07-12,53.6156
2021-07-13,54.1937
2021-07-14,56.0303
2021-07-15,56.2988
2021-07-16,58.1919
2021-07-17,58.1919
2021-07-18,58.1919
2021-07-19,56.4277
2021-07-20,58.7967
2021-07-21,59.3988
2021-07-22,58.3346
2021-07-23,60.824
2021-07-24,60.824
2021-07-25,60.824
2021-07-26,60.2038
2021-07-27,60.6397
2021-07-28,59.1088
2021-07-29,60.7531
2021-07-30,61.2348
2021-07-31,61.2348
2021-08-01,61.2348
2021-08-02,62.5376
2021-08-03,62.7432
2021-08-04,60.8433
2021-08-05,61.3061
2021-08-06,61.6411
2021-08-07,61.6411
2021-08-08,61.6411
2021-08-09,60.0981
2021-08-10,62.2143
2021-08-11,59.4774
2021-08-12,56.1059
2021-08-13,56.6
2021-08-14,56.6
2021-08-15,56.6
2021-08-16,58.1124
2021-08-17,56.8562
2021-08-18,56.4245
2021-08-19,57.3521
2021-08-20,60.2231
2021-08-21,60.2231
2021-08-22,60.2231
2021-08-23,61.6708
2021-08-24,56.978
2021-08-25,55.299
2021-08-26,54.1077
2021-08-27,59.4998
2021-08-28,59.4998
2021-08-29,59.4998
2021-08-30,57.3459
2021-08-31,57.8285
2021-09-01,57.4313
2021-09-02,58.2974
2021-09-03,55.5294
2021-09-04,55.5294
2021-09-05,55.5294
2021-09-06,55.5294
2021-09-07,49.6736
2021-09-08,49.0787
2021-09-09,46.0815
2021-09-10,44.519
2021-09-11,44.519
2021-09-12,44.519
2021-09-13,42.5571
2021-09-14,41.3085
2021-09-15,42.1433
2021-09-16,42.7533
2021-09-17,42.4666
2021-09-18,42.4666
2021-09-19,42.4666
2021-09-20,39.2415
2021-09-21,39.9764
2021-09-22,38.6856
2021-09-23,38.4647
2021-09-24,37.2257
2021-09-25,37.2257
2021-09-26,37.2257
2021-09-27,36.3085
2021-09-28,34.4054
2021-09-29,33.74
2021-09-30,31.9926
2021-10-01,33.5092
2021-10-02,33.5092
2021-10-03,33.5092
2021-10-04,32.7193
2021-10-05,35.4479
2021-10-06,33.1146
2021-10-07,35.7528
2021-10-08,36.8295
2021-10-09,36.8295
2021-10-10,36.8295
2021-10-11,39.2549
2021-10-12,41.2506
2021-10-13,39.714
2021-10-14,39.9952
2021-10-15,38.7084
2021-10-16,38.7084
2021-10-17,38.7084
2021-10-18,38.2566
2021-10-19,40.6978
2021-10-20,41.9947
2021-10-21,41.491
2021-10-22,40.846
2021-10-23,40.846
2021-10-24,40.846
2021-10-25,41.6834
2021-10-26,43.6315
2021-10-27,40.303
2021-10-28,41.8014
2021-10-29,42.0955
2021-10-30,42.0955
2021-10-31,42.0955
2021-11-01,49.7451
2021-11-02,52.8443
2021-11-03,56.8031
2021-11-04,54.9828
2021-11-05,56.4475
2021-11-06,56.4475
2021-11-07,56.4475
2021-11-08,55.1741
2021-11-09,55.6058
2021-11-10,54.5995
2021-11-11,54.9414
2021-11-12,52.7887
2021-11-13,52.7887
2021-11-14,52.7887
2021-11-15,49.4563
2021-11-16,48.1785
2021-11-17,46.5811
2021-11-18,44.2593
2021-11-19,40.9689
2021-11-20,40.9689
2021-11-21,40.9689
2021-11-22,39.4337
2021-11-23,41.3737
2021-11-24,43.2279
2021-11-25,43.2279
2021-11-26,39.6897
2021-11-27,39.6897
2021-11-28,39.6897
2021-11-29,38.6793
2021-11-30,37.6535
2021-12-01,42.3461
2021-12-02,43.2643
2021-12-03,42.8824
2021-12-04,42.8824
2021-12-05,42.8824
2021-12-06,45.3526
2021-12-07,45.5494
2021-12-08,42.7049
2021-12-09,43.0394
2021-12-10,44.7092
2021-12-11,44.7092
2021-12-12,44.7092
2021-12-13,45.0425
2021-12-14,43.2578
2021-12-15,44.9119
2021-12-16,44.7193
2021-12-17,44.3693
2021-12-18,44.3693
2021-12-19,44.3693
2021-12-20,41.4925
2021-12-21,40.2511
2021-12-22,41.5154
2021-12-23,44.287
2021-12-24,44.287
2021-12-25,44.287
2021-12-26,44.287
2021-12-27,46.8659
2021-12-28,46.7078
2021-12-29,46.383
2021-12-30,45.7021
2021-12-31,44.8565
2022-01-01,44.8565
2022-01-02,44.8565
2022-01-03,46.9168
2022-01-04,45.519
2022-01-05,45.2067
2022-01-06,44.646
2022-01-07,43.3172
2022-01-08,43.3172
2022-01-09,43.3172
2022-01-10,43.5384
2022-01-11,41.2763
2022-01-12,38.6317
2022-01-13,38.6105
2022-01-14,37.6509
2022-01-15,37.6509
2022-01-16,37.6509
2022-01-17,37.6509
2022-01-18,36.2628
2022-01-19,36.6236
2022-01-20,37.1024
2022-01-21,41.0368
2022-01-22,41.0368
2022-01-23,41.0368
2022-01-24,46.3535
2022-01-25,42.872
2022-01-26,40.3113
2022-01-27,44.0538
2022-01-28,45.5632
2022-01-29,45.5632
2022-01-30,45.5632
2022-01-31,50.136
2022-02-01,44.9556
2022-02-02,46.1123
2022-02-03,45.7068
2022-02-04,47.1493
2022-02-05,47.1493
2022-02-06,47.1493
2022-02-07,46.3009
2022-02-08,46.9185
2022-02-09,45.0944
2022-02-10,41.1604
2022-02-11,43.2398
2022-02-12,43.2398
2022-02-13,43.2398
2022-02-14,43.915
2022-02-15,48.6427
2022-02-16,48.8635
2022-02-17,47.4498
2022-02-18,46.576
2022-02-19,46.576
2022-02-20,46.576
2022-02-21,46.576
2022-02-22,47.5047
2022-02-23,47.3301
2022-02-24,49.8106
2022-02-25,53.0029
2022-02-26,53.0029
2022-02-27,53.0029
2022-02-28,48.2515
2022-03-01,46.7724
2022-03-02,47.0898
2022-03-03,45.2743
2022-03-04,43.1198
2022-03-05,43.1198
2022-03-06,43.1198
2022-03-07,41.68
2022-03-08,44.9148
2022-03-09,46.5607
2022-03-10,45.351
2022-03-11,43.6919
2022-03-12,43.6919
2022-03-13,43.6919
2022-03-14,43.0874
2022-03-15,44.5779
2022-03-16,47.1858
2022-03-17,48.6028
2022-03-18,51.1654
2022-03-19,51.1654
2022-03-20,51.1654
2022-03-21,49.3561
2022-03-22,50.5344
2022-03-23,47.9188
2022-03-24,47.4982
2022-03-25,47.172
2022-03-26,47.172
2022-03-27,47.172
2022-03-28,47.9123
2022-03-29,50.5767
2022-03-30,49.1689
2022-03-31,50.9136
2022-04-01,51.5667
2022-04-02,51.5667
2022-04-03,51.5667
2022-04-04,51.8319
2022-04-05,52.0356
2022-04-06,53.7014
2022-04-07,51.912
2022-04-08,50.4663
2022-04-09,50.4663
2022-04-10,50.4663
2022-04-11,49.9059
2022-04-12,50.9112
2022-04-13,49.851
2022-04-14,48.8734
2022-04-15,48.8734
2022-04-16,48.8734
2022-04-17,48.8734
2022-04-18,49.2168
2022-04-19,50.7693
2022-04-20,50.8484
2022-04-21,47.1181
2022-04-22,44.9247
2022-04-23,44.9247
2022-04-24,44.9247
2022-04-25,44.6675
2022-04-26,41.8299
2022-04-27,39.8947
2022-04-28,40.6883
2022-04-29,38.5997
2022-04-30,38.5997
2022-05-01,38.5997
2022-05-02,39.381
2022-05-03,37.732
2022-05-04,35.8606
2022-05-05,34.3619
2022-05-06,38.8701
2022-05-07,38.8701
2022-05-08,38.8701
2022-05-09,38.6053
2022-05-10,38.6053
2022-05-11,37.2474
2022-05-12,38.6194
2022-05-13,40.2229
2022-05-14,40.2229
2022-05-15,40.2229
2022-05-16,39.822
2022-05-17,40.5957
2022-05-18,38.4438
2022-05-19,37.3685
2022-05-20,39.4511
2022-05-21,39.4511
2022-05-22,39.4511
2022-05-23,39.8778
2022-05-24,40.9378
2022-05-25,39.6716
2022-05-26,44.4046
2022-05-27,46.7816
2022-05-28,46.7816
2022-05-29,46.7816
2022-05-30,46.7816
2022-05-31,49.839
2022-06-01,48.5122
2022-06-02,50.9043
2022-06-03,50.7717
2022-06-04,50.7717
2022-06-05,50.7717
2022-06-06,52.5122
2022-06-07,47.8534
2022-06-08,51.9468
2022-06-09,48.0238
2022-06-10,51.4362
2022-06-11,51.4362
2022-06-12,51.4362
2022-06-13,50.3342
2022-06-14,47.1361
2022-06-15,50.376
2022-06-16,49.1627
2022-06-17,50.9536
2022-06-18,50.9536
2022-06-19,50.9536
2022-06-20,50.9536
2022-06-21,51.9224
2022-06-22,52.2545
2022-06-23,54.9128
2022-06-24,55.9882
2022-06-25,55.9882
2022-06-26,55.9882
2022-06-27,57.2136
2022-06-28,56.711
2022-06-29,54.831
2022-06-30,54.6312
2022-07-01,55.8383
2022-07-02,55.8383
2022-07-03,55.8383
2022-07-04,55.8383
2022-07-05,55.1836
2022-07-06,51.7678
2022-07-07,51.7905
2022-07-08,52.5982
2022-07-09,52.5982
2022-07-10,52.5982
2022-07-11,51.0315
2022-07-12,49.7699
2022-07-13,49.3247
2022-07-14,48.8725
2022-07-15,51.937
2022-07-16,51.937
2022-07-17,51.937
2022-07-18,50.1633
2022-07-19,52.2885
2022-07-20,53.0972
2022-07-21,54.2301
2022-07-22,52.5345
2022-07-23,52.5345
2022-07-24,52.5345
2022-07-25,53.8584
2022-07-26,54.9918
2022-07-27,54.9918
2022-07-28,53.5547
2022-07-29,52.5402
2022-07-30,52.5402
2022-07-31,52.5402
2022-08-01,54.5993
2022-08-02,53.9712
2022-08-03,50.1099
2022-08-04,46.3047
2022-08-05,46.8577
2022-08-06,46.8577
2022-08-07,46.8577
2022-08-08,46.9706
2022-08-09,43.7699
2022-08-10,46.4925
2022-08-11,46.3233
2022-08-12,48.0282
2022-08-13,48.0282
2022-08-14,48.0282
2022-08-15,48.5273
2022-08-16,48.314
2022-08-17,47.637
2022-08-18,48.4146
2022-08-19,48.5666
2022-08-20,48.5666
2022-08-21,48.5666
2022-08-22,47.0192
2022-08-23,46.3683
2022-08-24,45.4625
2022-08-25,45.234
2022-08-26,41.9356
2022-08-27,41.9356
2022-08-28,41.9356
2022-08-29,43.3483
2022-08-30,43.0234
2022-08-31,43.0602
2022-09-01,42.0492
2022-09-02,41.5724
2022-09-03,41.5724
2022-09-04,41.5724
2022-09-05,41.5724
2022-09-06,41.933
2022-09-07,47.5515
2022-09-08,50.4734
2022-09-09,51.6628
2022-09-10,51.6628
2022-09-11,51.6628
2022-09-12,54.0653
2022-09-13,56.1776
2022-09-14,57.9385
2022-09-15,60.5474
2022-09-16,60.9767
2022-09-17,60.9767
2022-09-18,60.9767
2022-09-19,55.3366
2022-09-20,55.3366
2022-09-21,55.8195
2022-09-22,56.6545
2022-09-23,57.9539
2022-09-24,57.9539
2022-09-25,57.9539
2022-09-26,58.686
2022-09-27,59.159
2022-09-28,61.5851
2022-09-29,61.3088
2022-09-30,59.1514
2022-10-01,59.1514
2022-10-02,59.1514
2022-10-03,61.3028
2022-10-04,60.9078
2022-10-05,55.2701
2022-10-06,56.7323
2022-10-07,55.4136
2022-10-08,55.4136
2022-10-09,55.4136
2022-10-10,56.1898
2022-10-11,57.713
2022-10-12,57.713
2022-10-13,60.6174
2022-10-14,56.9707
2022-10-15,56.9707
2022-10-16,56.9707
2022-10-17,58.5693
2022-10-18,57.2561
2022-10-19,59.3943
2022-10-20,56.1431
2022-10-21,57.0993
2022-10-22,57.0993
2022-10-23,57.0993
