,MXL US Equity
,RSI_30D
2022-03-18,49.7746
2022-03-19,49.7746
2022-03-20,49.7746
2022-03-21,49.7426
2022-03-22,50.8119
2022-03-23,49.8734
2022-03-24,52.0807
2022-03-25,52.33
2022-03-26,52.33
2022-03-27,52.33
2022-03-28,51.1055
2022-03-29,51.8986
2022-03-30,49.2773
2022-03-31,47.9407
2022-04-01,46.3855
2022-04-02,46.3855
2022-04-03,46.3855
2022-04-04,46.6868
2022-04-05,43.4868
2022-04-06,40.1286
2022-04-07,41.074
2022-04-08,39.5141
2022-04-09,39.5141
2022-04-10,39.5141
2022-04-11,38.4337
2022-04-12,38.622
2022-04-13,40.6454
2022-04-14,39.3184
2022-04-15,39.3184
2022-04-16,39.3184
2022-04-17,39.3184
2022-04-18,39.795
2022-04-19,41.03
2022-04-20,40.769
2022-04-21,39.4916
2022-04-22,39.1084
2022-04-23,39.1084
2022-04-24,39.1084
2022-04-25,40.2277
2022-04-26,39.1233
2022-04-27,39.5051
2022-04-28,46.2313
2022-04-29,44.3385
2022-04-30,44.3385
2022-05-01,44.3385
2022-05-02,46.9859
2022-05-03,47.36
2022-05-04,49.8477
2022-05-05,42.7971
2022-05-06,41.8306
2022-05-07,41.8306
2022-05-08,41.8306
2022-05-09,40.2566
2022-05-10,41.2832
2022-05-11,39.6732
2022-05-12,40.043
2022-05-13,41.3892
2022-05-14,41.3892
2022-05-15,41.3892
2022-05-16,41.2604
2022-05-17,42.5543
2022-05-18,40.7842
2022-05-19,39.7577
2022-05-20,39.7217
2022-05-21,39.7217
2022-05-22,39.7217
2022-05-23,39.3249
2022-05-24,37.4471
2022-05-25,38.0197
2022-05-26,41.7037
2022-05-27,42.429
2022-05-28,42.429
2022-05-29,42.429
2022-05-30,42.429
2022-05-31,42.3233
2022-06-01,42.6529
2022-06-02,44.0114
2022-06-03,42.8811
2022-06-04,42.8811
2022-06-05,42.8811
2022-06-06,43.0937
2022-06-07,43.7435
2022-06-08,43.3077
2022-06-09,42.9995
2022-06-10,42.289
2022-06-11,42.289
2022-06-12,42.289
2022-06-13,39.6611
2022-06-14,40.2448
2022-06-15,41.2967
2022-06-16,38.2567
2022-06-17,39.0305
2022-06-18,39.0305
2022-06-19,39.0305
2022-06-20,39.0305
2022-06-21,39.5345
2022-06-22,38.6262
2022-06-23,37.8983
2022-06-24,40.4242
2022-06-25,40.4242
2022-06-26,40.4242
2022-06-27,40.9525
2022-06-28,40.5205
2022-06-29,40.3363
2022-06-30,39.6523
2022-07-01,37.3121
2022-07-02,37.3121
2022-07-03,37.3121
2022-07-04,37.3121
2022-07-05,37.3121
2022-07-06,36.9953
2022-07-07,40.3519
2022-07-08,43.0759
2022-07-09,43.0759
2022-07-10,43.0759
2022-07-11,41.0287
2022-07-12,40.9644
2022-07-13,41.0758
2022-07-14,43.1221
2022-07-15,43.9802
2022-07-16,43.9802
2022-07-17,43.9802
2022-07-18,44.0119
2022-07-19,47.9372
2022-07-20,51.0846
2022-07-21,51.6679
2022-07-22,49.4629
2022-07-23,49.4629
2022-07-24,49.4629
2022-07-25,49.6029
2022-07-26,49.3484
2022-07-27,52.6692
2022-07-28,50.0858
2022-07-29,51.579
2022-07-30,51.579
2022-07-31,51.579
2022-08-01,51.3766
