,RUTH US Equity
,RSI_30D
2022-04-12,47.0762
2022-04-13,49.1824
2022-04-14,48.2081
2022-04-15,48.2081
2022-04-16,48.2081
2022-04-17,48.2081
2022-04-18,49.4362
2022-04-19,50.8308
2022-04-20,50.4804
2022-04-21,50.0836
2022-04-22,48.0145
2022-04-23,48.0145
2022-04-24,48.0145
2022-04-25,49.4811
2022-04-26,45.9602
2022-04-27,46.1071
2022-04-28,48.1889
2022-04-29,47.8068
2022-04-30,47.8068
2022-05-01,47.8068
2022-05-02,49.7442
2022-05-03,47.0532
2022-05-04,45.9153
2022-05-05,42.7098
2022-05-06,45.8231
2022-05-07,45.8231
2022-05-08,45.8231
2022-05-09,39.9902
2022-05-10,42.4379
2022-05-11,40.8799
2022-05-12,42.7813
2022-05-13,44.1836
2022-05-14,44.1836
2022-05-15,44.1836
2022-05-16,41.9966
2022-05-17,43.9234
2022-05-18,41.7416
2022-05-19,40.8689
2022-05-20,39.793
2022-05-21,39.793
2022-05-22,39.793
2022-05-23,39.1795
2022-05-24,36.8539
2022-05-25,41.802
2022-05-26,44.1034
2022-05-27,46.2673
2022-05-28,46.2673
2022-05-29,46.2673
2022-05-30,46.2673
2022-05-31,45.3449
2022-06-01,45.1993
2022-06-02,47.4349
2022-06-03,47.217
2022-06-04,47.217
2022-06-05,47.217
2022-06-06,47.0254
2022-06-07,47.7924
2022-06-08,47.3533
2022-06-09,47.2497
2022-06-10,46.0678
2022-06-11,46.0678
2022-06-12,46.0678
2022-06-13,42.7793
2022-06-14,43.4409
2022-06-15,44.2741
2022-06-16,40.8501
2022-06-17,41.5726
2022-06-18,41.5726
2022-06-19,41.5726
2022-06-20,41.5726
2022-06-21,40.3724
2022-06-22,40.7704
2022-06-23,42.1463
2022-06-24,45.0434
2022-06-25,45.0434
2022-06-26,45.0434
2022-06-27,44.1686
2022-06-28,43.3314
2022-06-29,40.9546
2022-06-30,40.3665
2022-07-01,41.9991
2022-07-02,41.9991
2022-07-03,41.9991
2022-07-04,41.9991
2022-07-05,42.7645
2022-07-06,40.7987
2022-07-07,40.7341
2022-07-08,40.6012
2022-07-09,40.6012
2022-07-10,40.6012
2022-07-11,38.8626
2022-07-12,38.6045
2022-07-13,39.1791
2022-07-14,39.7098
2022-07-15,41.6581
2022-07-16,41.6581
2022-07-17,41.6581
2022-07-18,42.2838
2022-07-19,45.2696
