,MAIN US Equity
,RSI_30D
2022-10-24,43.5916
2022-10-25,47.8272
2022-10-26,47.476
2022-10-27,47.3561
2022-10-28,49.6581
2022-10-29,49.6581
2022-10-30,49.6581
2022-10-31,49.7879
2022-11-01,50.8047
2022-11-02,50.9704
2022-11-03,51.2759
2022-11-04,56.3139
2022-11-05,56.3139
2022-11-06,56.3139
2022-11-07,58.319
2022-11-08,56.602
2022-11-09,52.5002
2022-11-10,53.1256
2022-11-11,53.0224
2022-11-12,53.0224
2022-11-13,53.0224
2022-11-14,51.9442
2022-11-15,53.2759
2022-11-16,51.5517
2022-11-17,52.3654
2022-11-18,51.9323
2022-11-19,51.9323
2022-11-20,51.9323
2022-11-21,52.6081
2022-11-22,53.8498
2022-11-23,54.2187
2022-11-24,54.2187
2022-11-25,54.7964
2022-11-26,54.7964
2022-11-27,54.7964
2022-11-28,51.365
2022-11-29,51.9376
2022-11-30,53.0456
2022-12-01,53.1537
2022-12-02,52.282
2022-12-03,52.282
2022-12-04,52.282
2022-12-05,49.9804
2022-12-06,47.5852
2022-12-07,47.5851
2022-12-08,47.8838
2022-12-09,47.9277
2022-12-10,47.9277
2022-12-11,47.9277
2022-12-12,50.8383
2022-12-13,50.8383
2022-12-14,50.5272
2022-12-15,49.8954
2022-12-16,49.0346
2022-12-17,49.0346
2022-12-18,49.0346
2022-12-19,44.814
2022-12-20,45.2044
2022-12-21,46.4771
2022-12-22,45.7999
2022-12-23,49.1981
2022-12-24,49.1981
2022-12-25,49.1981
2022-12-26,49.1981
2022-12-27,48.8411
2022-12-28,47.9416
2022-12-29,50.6673
2022-12-30,50.0135
2022-12-31,50.0135
2023-01-01,50.0135
2023-01-02,50.0135
2023-01-03,49.8234
2023-01-04,52.485
2023-01-05,50.8833
2023-01-06,50.5885
2023-01-07,50.5885
2023-01-08,50.5885
2023-01-09,51.9331
2023-01-10,53.5669
2023-01-11,56.6991
2023-01-12,59.0412
2023-01-13,57.4079
2023-01-14,57.4079
2023-01-15,57.4079
2023-01-16,57.4079
2023-01-17,60.0024
2023-01-18,58.8035
2023-01-19,56.7251
2023-01-20,58.9204
2023-01-21,58.9204
2023-01-22,58.9204
2023-01-23,60.4848
2023-01-24,60.0447
2023-01-25,58.3964
2023-01-26,58.7865
2023-01-27,59.8764
2023-01-28,59.8764
2023-01-29,59.8764
2023-01-30,56.2494
2023-01-31,58.6445
2023-02-01,59.3243
2023-02-02,60.2627
2023-02-03,60.8237
2023-02-04,60.8237
2023-02-05,60.8237
2023-02-06,59.8907
2023-02-07,59.095
2023-02-08,56.894
2023-02-09,54.306
2023-02-10,55.9382
2023-02-11,55.9382
2023-02-12,55.9382
2023-02-13,57.1785
2023-02-14,58.3087
2023-02-15,58.6848
2023-02-16,58.1423
2023-02-17,60.6902
2023-02-18,60.6902
2023-02-19,60.6902
2023-02-20,60.6902
2023-02-21,55.4263
2023-02-22,57.3003
2023-02-23,58.8129
2023-02-24,61.7629
2023-02-25,61.7629
2023-02-26,61.7629
2023-02-27,66.4271
2023-02-28,66.4271
2023-03-01,63.2878
2023-03-02,63.9677
2023-03-03,64.3711
2023-03-04,64.3711
2023-03-05,64.3711
2023-03-06,64.9947
2023-03-07,61.1278
2023-03-08,62.3611
2023-03-09,51.1161
2023-03-10,46.0581
2023-03-11,46.0581
2023-03-12,46.0581
2023-03-13,46.471
2023-03-14,49.3853
2023-03-15,48.1977
2023-03-16,49.4551
2023-03-17,48.0419
