,IDA US Equity
,RSI_30D
2022-09-16,49.1477
2022-09-17,49.1477
2022-09-18,49.1477
2022-09-19,52.1442
2022-09-20,50.313
2022-09-21,48.4113
2022-09-22,49.9989
2022-09-23,48.6648
2022-09-24,48.6648
2022-09-25,48.6648
2022-09-26,45.2033
2022-09-27,42.094
2022-09-28,44.3859
2022-09-29,39.9577
2022-09-30,38.3304
2022-10-01,38.3304
2022-10-02,38.3304
2022-10-03,42.9767
2022-10-04,44.8144
2022-10-05,42.6017
2022-10-06,39.2883
2022-10-07,37.9217
2022-10-08,37.9217
2022-10-09,37.9217
2022-10-10,38.2014
2022-10-11,39.1236
2022-10-12,36.9475
2022-10-13,39.2723
2022-10-14,37.8969
2022-10-15,37.8969
2022-10-16,37.8969
2022-10-17,41.0269
2022-10-18,43.0162
2022-10-19,41.9145
2022-10-20,40.0834
2022-10-21,42.5001
2022-10-22,42.5001
2022-10-23,42.5001
2022-10-24,43.2386
2022-10-25,45.8438
2022-10-26,46.806
2022-10-27,47.9656
2022-10-28,50.7913
2022-10-29,50.7913
2022-10-30,50.7913
2022-10-31,51.3008
2022-11-01,50.1477
2022-11-02,49.1336
2022-11-03,48.9218
2022-11-04,51.2406
2022-11-05,51.2406
2022-11-06,51.2406
2022-11-07,46.4773
2022-11-08,48.9272
2022-11-09,46.6446
2022-11-10,51.4402
2022-11-11,49.4833
2022-11-12,49.4833
2022-11-13,49.4833
2022-11-14,49.2256
2022-11-15,50.1703
2022-11-16,50.837
2022-11-17,49.4784
2022-11-18,53.0944
2022-11-19,53.0944
2022-11-20,53.0944
2022-11-21,53.6645
2022-11-22,54.4483
2022-11-23,55.3596
2022-11-24,55.3596
2022-11-25,56.4878
2022-11-26,56.4878
2022-11-27,56.4878
2022-11-28,55.209
2022-11-29,54.3397
2022-11-30,57.6398
2022-12-01,56.0647
2022-12-02,55.2212
2022-12-03,55.2212
2022-12-04,55.2212
2022-12-05,54.3874
2022-12-06,54.2333
2022-12-07,53.4504
2022-12-08,53.7726
2022-12-09,54.1826
2022-12-10,54.1826
2022-12-11,54.1826
2022-12-12,55.1585
2022-12-13,54.5933
2022-12-14,54.0497
2022-12-15,51.8141
2022-12-16,50.8594
2022-12-17,50.8594
2022-12-18,50.8594
2022-12-19,51.7122
2022-12-20,52.0808
2022-12-21,54.629
2022-12-22,51.5008
2022-12-23,53.4143
2022-12-24,53.4143
2022-12-25,53.4143
2022-12-26,53.4143
2022-12-27,54.9648
2022-12-28,52.7811
2022-12-29,54.4763
2022-12-30,52.8339
2022-12-31,52.8339
2023-01-01,52.8339
2023-01-02,52.8339
2023-01-03,53.3235
2023-01-04,53.9481
2023-01-05,50.239
2023-01-06,53.9137
2023-01-07,53.9137
2023-01-08,53.9137
2023-01-09,52.2719
2023-01-10,51.0987
2023-01-11,52.9165
2023-01-12,53.1809
2023-01-13,51.5136
2023-01-14,51.5136
2023-01-15,51.5136
2023-01-16,51.5136
2023-01-17,51.131
2023-01-18,47.0716
2023-01-19,45.8173
2023-01-20,46.3445
2023-01-21,46.3445
2023-01-22,46.3445
2023-01-23,46.2669
2023-01-24,46.6367
2023-01-25,47.6462
2023-01-26,48.6207
2023-01-27,48.9949
2023-01-28,48.9949
2023-01-29,48.9949
2023-01-30,48.0152
2023-01-31,50.0193
2023-02-01,52.6849
2023-02-02,55.0798
2023-02-03,51.231
2023-02-04,51.231
2023-02-05,51.231
2023-02-06,51.3745
2023-02-07,51.2653
2023-02-08,47.353
2023-02-09,44.2824
2023-02-10,47.4273
2023-02-11,47.4273
2023-02-12,47.4273
2023-02-13,48.5074
2023-02-14,44.695
2023-02-15,45.8512
2023-02-16,48.4933
2023-02-17,51.1963
2023-02-18,51.1963
2023-02-19,51.1963
2023-02-20,51.1963
2023-02-21,49.7333
2023-02-22,50.002
2023-02-23,49.0392
2023-02-24,49.3659
2023-02-25,49.3659
2023-02-26,49.3659
2023-02-27,48.4576
2023-02-28,48.1474
2023-03-01,45.3622
2023-03-02,47.2351
2023-03-03,48.1618
2023-03-04,48.1618
2023-03-05,48.1618
2023-03-06,48.0473
2023-03-07,45.6746
