,ZBH US Equity
,RSI_30D
2021-11-12,38.4802
2021-11-13,38.4802
2021-11-14,38.4802
2021-11-15,37.6723
2021-11-16,38.3472
2021-11-17,37.8891
2021-11-18,36.4388
2021-11-19,36.3862
2021-11-20,36.3862
2021-11-21,36.3862
2021-11-22,38.0185
2021-11-23,38.3204
2021-11-24,38.165
2021-11-25,38.165
2021-11-26,34.9226
2021-11-27,34.9226
2021-11-28,34.9226
2021-11-29,33.5772
2021-11-30,31.2836
2021-12-01,31.5194
2021-12-02,35.3134
2021-12-03,34.2446
2021-12-04,34.2446
2021-12-05,34.2446
2021-12-06,39.013
2021-12-07,42.0083
2021-12-08,42.5347
2021-12-09,40.038
2021-12-10,39.3924
2021-12-11,39.3924
2021-12-12,39.3924
2021-12-13,40.4073
2021-12-14,38.8931
2021-12-15,37.1744
2021-12-16,37.0376
2021-12-17,37.4683
2021-12-18,37.4683
2021-12-19,37.4683
2021-12-20,36.1491
2021-12-21,40.1214
2021-12-22,42.4755
2021-12-23,44.714
2021-12-24,44.714
2021-12-25,44.714
2021-12-26,44.714
2021-12-27,45.7404
2021-12-28,46.1309
2021-12-29,46.1509
2021-12-30,46.1923
2021-12-31,45.0891
2022-01-01,45.0891
2022-01-02,45.0891
2022-01-03,47.3014
2022-01-04,48.643
2022-01-05,48.2261
2022-01-06,47.1756
2022-01-07,46.4201
2022-01-08,46.4201
2022-01-09,46.4201
2022-01-10,45.2196
2022-01-11,46.9016
2022-01-12,44.2429
2022-01-13,47.0064
2022-01-14,46.3479
2022-01-15,46.3479
2022-01-16,46.3479
2022-01-17,46.3479
2022-01-18,45.3665
2022-01-19,42.5775
2022-01-20,42.3763
2022-01-21,41.9306
2022-01-22,41.9306
2022-01-23,41.9306
2022-01-24,43.3002
2022-01-25,40.8744
2022-01-26,40.4748
2022-01-27,41.4404
2022-01-28,41.1184
2022-01-29,41.1184
2022-01-30,41.1184
2022-01-31,43.8647
2022-02-01,45.0716
2022-02-02,42.8324
2022-02-03,42.4117
2022-02-04,44.4139
2022-02-05,44.4139
2022-02-06,44.4139
2022-02-07,35.3248
2022-02-08,44.0401
2022-02-09,44.2012
2022-02-10,43.232
2022-02-11,41.3558
2022-02-12,41.3558
2022-02-13,41.3558
2022-02-14,42.1472
2022-02-15,47.0293
2022-02-16,47.3506
2022-02-17,45.3508
2022-02-18,46.3241
2022-02-19,46.3241
2022-02-20,46.3241
2022-02-21,46.3241
2022-02-22,48.0999
2022-02-23,47.7729
2022-02-24,48.6069
2022-02-25,51.4751
2022-02-26,51.4751
2022-02-27,51.4751
2022-02-28,51.8977
2022-03-01,52.572
2022-03-02,51.1385
2022-03-03,50.5874
2022-03-04,48.941
2022-03-05,48.941
2022-03-06,48.941
2022-03-07,45.5303
2022-03-08,44.7326
2022-03-09,46.6959
2022-03-10,48.4014
2022-03-11,47.9163
2022-03-12,47.9163
2022-03-13,47.9163
2022-03-14,46.8604
2022-03-15,48.4312
2022-03-16,51.1891
2022-03-17,51.4682
2022-03-18,49.9304
2022-03-19,49.9304
2022-03-20,49.9304
2022-03-21,50.2056
2022-03-22,49.6205
2022-03-23,49.9009
2022-03-24,53.4191
2022-03-25,54.514
2022-03-26,54.514
2022-03-27,54.514
2022-03-28,55.1332
2022-03-29,58.6788
2022-03-30,57.6041
2022-03-31,56.6514
2022-04-01,56.4436
2022-04-02,56.4436
