,FDS US Equity
,RSI_30D
2022-04-08,55.1302
2022-04-09,55.1302
2022-04-10,55.1302
2022-04-11,51.7309
2022-04-12,49.5937
2022-04-13,50.1701
2022-04-14,47.9892
2022-04-15,47.9892
2022-04-16,47.9892
2022-04-17,47.9892
2022-04-18,48.554
2022-04-19,52.495
2022-04-20,55.082
2022-04-21,53.3973
2022-04-22,49.8627
2022-04-23,49.8627
2022-04-24,49.8627
2022-04-25,50.4124
2022-04-26,46.8401
2022-04-27,46.7415
2022-04-28,47.6689
2022-04-29,43.3209
2022-04-30,43.3209
2022-05-01,43.3209
2022-05-02,41.1961
2022-05-03,42.6706
2022-05-04,42.7179
2022-05-05,38.7723
2022-05-06,37.8033
2022-05-07,37.8033
2022-05-08,37.8033
2022-05-09,34.9159
2022-05-10,36.072
2022-05-11,35.8052
2022-05-12,36.0371
2022-05-13,38.0181
2022-05-14,38.0181
2022-05-15,38.0181
2022-05-16,38.2531
2022-05-17,38.8932
2022-05-18,34.9361
2022-05-19,36.534
2022-05-20,38.0459
2022-05-21,38.0459
2022-05-22,38.0459
2022-05-23,40.7416
2022-05-24,40.4021
2022-05-25,40.3631
2022-05-26,43.265
2022-05-27,46.5652
2022-05-28,46.5652
2022-05-29,46.5652
2022-05-30,46.5652
2022-05-31,44.8907
2022-06-01,43.0427
2022-06-02,46.2035
2022-06-03,44.8562
2022-06-04,44.8562
2022-06-05,44.8562
2022-06-06,44.4686
2022-06-07,45.689
2022-06-08,44.3179
2022-06-09,42.5515
2022-06-10,40.9137
2022-06-11,40.9137
2022-06-12,40.9137
2022-06-13,38.5665
2022-06-14,38.1133
2022-06-15,39.9562
2022-06-16,38.3152
2022-06-17,38.5413
2022-06-18,38.5413
2022-06-19,38.5413
2022-06-20,38.5413
2022-06-21,41.896
2022-06-22,42.2998
2022-06-23,50.9809
2022-06-24,51.9565
2022-06-25,51.9565
2022-06-26,51.9565
2022-06-27,51.5696
2022-06-28,47.522
2022-06-29,49.4457
2022-06-30,49.8395
2022-07-01,52.3548
2022-07-02,52.3548
2022-07-03,52.3548
2022-07-04,52.3548
2022-07-05,52.7645
2022-07-06,54.2898
2022-07-07,54.2898
2022-07-08,54.2215
2022-07-09,54.2215
2022-07-10,54.2215
2022-07-11,54.8251
2022-07-12,51.5319
2022-07-13,51.4023
2022-07-14,52.4361
2022-07-15,53.4408
2022-07-16,53.4408
2022-07-17,53.4408
2022-07-18,50.5745
2022-07-19,53.0889
2022-07-20,53.4693
2022-07-21,56.1563
2022-07-22,55.1621
2022-07-23,55.1621
2022-07-24,55.1621
2022-07-25,54.5665
2022-07-26,54.2333
2022-07-27,55.2526
2022-07-28,58.5533
2022-07-29,60.63
2022-07-30,60.63
2022-07-31,60.63
2022-08-01,58.197
2022-08-02,57.5442
2022-08-03,57.9465
2022-08-04,58.552
2022-08-05,58.0023
2022-08-06,58.0023
2022-08-07,58.0023
2022-08-08,58.0688
2022-08-09,58.1259
2022-08-10,61.1778
2022-08-11,60.4623
2022-08-12,62.5148
2022-08-13,62.5148
2022-08-14,62.5148
2022-08-15,63.8672
2022-08-16,64.1339
2022-08-17,65.3744
2022-08-18,65.7025
2022-08-19,62.2275
2022-08-20,62.2275
2022-08-21,62.2275
2022-08-22,61.0962
2022-08-23,59.1272
2022-08-24,59.9577
2022-08-25,62.7501
2022-08-26,59.7552
2022-08-27,59.7552
2022-08-28,59.7552
2022-08-29,58.2615
2022-08-30,57.1498
2022-08-31,55.4895
2022-09-01,57.4907
2022-09-02,53.9018
2022-09-03,53.9018
2022-09-04,53.9018
2022-09-05,53.9018
2022-09-06,55.6723
2022-09-07,58.0214
2022-09-08,59.1101
2022-09-09,60.2982
2022-09-10,60.2982
2022-09-11,60.2982
2022-09-12,61.2476
2022-09-13,57.334
2022-09-14,57.8767
2022-09-15,57.0506
2022-09-16,56.8016
2022-09-17,56.8016
2022-09-18,56.8016
2022-09-19,56.9332
2022-09-20,55.0333
2022-09-21,50.9501
2022-09-22,40.9279
2022-09-23,40.4483
2022-09-24,40.4483
2022-09-25,40.4483
2022-09-26,39.4708
2022-09-27,40.4206
2022-09-28,41.1015
2022-09-29,42.4413
2022-09-30,43.577
2022-10-01,43.577
2022-10-02,43.577
2022-10-03,46.2793
2022-10-04,50.6139
2022-10-05,51.043
2022-10-06,49.6795
2022-10-07,48.0566
2022-10-08,48.0566
2022-10-09,48.0566
2022-10-10,47.7923
2022-10-11,48.4148
2022-10-12,44.6875
2022-10-13,47.0775
2022-10-14,43.2911
2022-10-15,43.2911
2022-10-16,43.2911
2022-10-17,47.0686
