,2078185D US Equity
,RSI_30D
2021-10-09,68.0281
2021-10-10,68.0281
2021-10-11,68.0281
2021-10-12,68.0281
2021-10-13,68.0281
2021-10-14,68.0281
2021-10-15,68.0281
2021-10-16,68.0281
2021-10-17,68.0281
2021-10-18,68.0281
2021-10-19,68.0281
2021-10-20,68.0281
2021-10-21,68.0281
2021-10-22,68.0281
2021-10-23,68.0281
2021-10-24,68.0281
2021-10-25,68.0281
2021-10-26,68.0281
2021-10-27,68.0281
2021-10-28,68.0281
2021-10-29,68.0281
2021-10-30,68.0281
2021-10-31,68.0281
2021-11-01,68.0281
2021-11-02,68.0281
2021-11-03,68.0281
2021-11-04,68.0281
2021-11-05,68.0281
2021-11-06,68.0281
2021-11-07,68.0281
2021-11-08,68.0281
2021-11-09,68.0281
2021-11-10,68.0281
2021-11-11,68.0281
2021-11-12,68.0281
2021-11-13,68.0281
2021-11-14,68.0281
2021-11-15,68.0281
2021-11-16,68.0281
2021-11-17,68.0281
2021-11-18,68.0281
2021-11-19,68.0281
2021-11-20,68.0281
2021-11-21,68.0281
2021-11-22,68.0281
2021-11-23,68.0281
2021-11-24,68.0281
2021-11-25,68.0281
2021-11-26,68.0281
2021-11-27,68.0281
2021-11-28,68.0281
2021-11-29,68.0281
2021-11-30,68.0281
2021-12-01,68.0281
2021-12-02,68.0281
2021-12-03,68.0281
2021-12-04,68.0281
2021-12-05,68.0281
2021-12-06,68.0281
2021-12-07,68.0281
2021-12-08,68.0281
2021-12-09,68.0281
2021-12-10,68.0281
2021-12-11,68.0281
2021-12-12,68.0281
2021-12-13,68.0281
2021-12-14,68.0281
2021-12-15,68.0281
2021-12-16,68.0281
2021-12-17,68.0281
2021-12-18,68.0281
2021-12-19,68.0281
2021-12-20,68.0281
2021-12-21,68.0281
2021-12-22,68.0281
2021-12-23,68.0281
2021-12-24,68.0281
2021-12-25,68.0281
2021-12-26,68.0281
2021-12-27,68.0281
2021-12-28,68.0281
2021-12-29,68.0281
2021-12-30,68.0281
2021-12-31,68.0281
2022-01-01,68.0281
2022-01-02,68.0281
2022-01-03,68.0281
2022-01-04,68.0281
2022-01-05,68.0281
2022-01-06,68.0281
2022-01-07,68.0281
2022-01-08,68.0281
2022-01-09,68.0281
2022-01-10,68.0281
2022-01-11,68.0281
2022-01-12,68.0281
2022-01-13,68.0281
2022-01-14,68.0281
2022-01-15,68.0281
2022-01-16,68.0281
2022-01-17,68.0281
2022-01-18,68.0281
2022-01-19,68.0281
2022-01-20,68.0281
2022-01-21,68.0281
2022-01-22,68.0281
2022-01-23,68.0281
2022-01-24,68.0281
2022-01-25,68.0281
2022-01-26,68.0281
2022-01-27,68.0281
2022-01-28,68.0281
2022-01-29,68.0281
2022-01-30,68.0281
2022-01-31,68.0281
2022-02-01,68.0281
2022-02-02,68.0281
2022-02-03,68.0281
2022-02-04,68.0281
2022-02-05,68.0281
2022-02-06,68.0281
2022-02-07,68.0281
2022-02-08,68.0281
2022-02-09,68.0281
2022-02-10,68.0281
2022-02-11,68.0281
2022-02-12,68.0281
2022-02-13,68.0281
2022-02-14,68.0281
2022-02-15,68.0281
2022-02-16,68.0281
2022-02-17,68.0281
2022-02-18,68.0281
2022-02-19,68.0281
2022-02-20,68.0281
2022-02-21,68.0281
2022-02-22,68.0281
2022-02-23,68.0281
2022-02-24,68.0281
2022-02-25,68.0281
2022-02-26,68.0281
2022-02-27,68.0281
2022-02-28,68.0281
2022-03-01,68.0281
2022-03-02,68.0281
2022-03-03,68.0281
2022-03-04,68.0281
2022-03-05,68.0281
2022-03-06,68.0281
2022-03-07,68.0281
2022-03-08,68.0281
2022-03-09,68.0281
2022-03-10,68.0281
2022-03-11,68.0281
2022-03-12,68.0281
2022-03-13,68.0281
2022-03-14,68.0281
2022-03-15,68.0281
2022-03-16,68.0281
2022-03-17,68.0281
2022-03-18,68.0281
2022-03-19,68.0281
2022-03-20,68.0281
2022-03-21,68.0281
2022-03-22,68.0281
2022-03-23,68.0281
2022-03-24,68.0281
2022-03-25,68.0281
2022-03-26,68.0281
2022-03-27,68.0281
2022-03-28,68.0281
2022-03-29,68.0281
2022-03-30,68.0281
2022-03-31,68.0281
2022-04-01,68.0281
2022-04-02,68.0281
2022-04-03,68.0281
2022-04-04,68.0281
2022-04-05,68.0281
2022-04-06,68.0281
2022-04-07,68.0281
2022-04-08,68.0281
2022-04-09,68.0281
2022-04-10,68.0281
