,GTES US Equity
,RSI_30D
2023-02-03,63.7203
2023-02-04,63.7203
2023-02-05,63.7203
2023-02-06,60.0105
2023-02-07,60.8617
2023-02-08,58.2
2023-02-09,63.1953
2023-02-10,62.5273
2023-02-11,62.5273
2023-02-12,62.5273
2023-02-13,62.3326
2023-02-14,63.4513
2023-02-15,64.6517
2023-02-16,62.8222
2023-02-17,63.3585
2023-02-18,63.3585
2023-02-19,63.3585
2023-02-20,63.3585
2023-02-21,61.721
2023-02-22,61.912
2023-02-23,62.3651
2023-02-24,62.4969
2023-02-25,62.4969
2023-02-26,62.4969
2023-02-27,61.3844
2023-02-28,61.5261
2023-03-01,62.0306
2023-03-02,62.7523
2023-03-03,64.1618
2023-03-04,64.1618
2023-03-05,64.1618
2023-03-06,61.2831
2023-03-07,60.5801
2023-03-08,61.4194
2023-03-09,58.3802
2023-03-10,53.2436
2023-03-11,53.2436
2023-03-12,53.2436
2023-03-13,50.7008
2023-03-14,54.2192
2023-03-15,50.9923
2023-03-16,52.8471
2023-03-17,49.321
2023-03-18,49.321
2023-03-19,49.321
2023-03-20,50.3011
2023-03-21,52.2132
2023-03-22,49.8174
2023-03-23,49.5739
2023-03-24,49.9115
2023-03-25,49.9115
2023-03-26,49.9115
2023-03-27,52.0692
2023-03-28,52.1512
2023-03-29,53.469
2023-03-30,54.1225
2023-03-31,55.9621
2023-04-01,55.9621
2023-04-02,55.9621
2023-04-03,55.363
2023-04-04,49.6782
2023-04-05,47.953
2023-04-06,46.8313
2023-04-07,46.8313
2023-04-08,46.8313
2023-04-09,46.8313
2023-04-10,49.2019
2023-04-11,50.8801
2023-04-12,50.5346
2023-04-13,51.1352
2023-04-14,51.1352
2023-04-15,51.1352
2023-04-16,51.1352
2023-04-17,51.8502
2023-04-18,51.0771
2023-04-19,50.1109
2023-04-20,50.1109
2023-04-21,50.1109
2023-04-22,50.1109
2023-04-23,50.1109
2023-04-24,50.5253
2023-04-25,47.2754
2023-04-26,46.031
2023-04-27,49.7171
2023-04-28,52.3162
2023-04-29,52.3162
2023-04-30,52.3162
2023-05-01,52.5978
2023-05-02,52.2784
2023-05-03,53.3529
2023-05-04,55.0655
2023-05-05,57.9907
2023-05-06,57.9907
2023-05-07,57.9907
2023-05-08,56.831
2023-05-09,54.4647
2023-05-10,53.0501
2023-05-11,52.6152
2023-05-12,51.7375
2023-05-13,51.7375
2023-05-14,51.7375
2023-05-15,52.9552
