,BY US Equity
,RSI_30D
2021-06-20,47.7938
2021-06-21,51.9362
2021-06-22,51.8802
2021-06-23,50.9142
2021-06-24,53.4961
2021-06-25,52.5049
2021-06-26,52.5049
2021-06-27,52.5049
2021-06-28,52.665
2021-06-29,51.9405
2021-06-30,53.1625
2021-07-01,55.4022
2021-07-02,54.4404
2021-07-03,54.4404
2021-07-04,54.4404
2021-07-05,54.4404
2021-07-06,51.7161
2021-07-07,52.0546
2021-07-08,46.6935
2021-07-09,50.3153
2021-07-10,50.3153
2021-07-11,50.3153
2021-07-12,52.6696
2021-07-13,50.568
2021-07-14,52.0893
2021-07-15,53.5674
2021-07-16,54.1528
2021-07-17,54.1528
2021-07-18,54.1528
2021-07-19,49.037
2021-07-20,52.6072
2021-07-21,54.1343
2021-07-22,52.1899
2021-07-23,53.3308
2021-07-24,53.3308
2021-07-25,53.3308
2021-07-26,54.6734
2021-07-27,52.8895
2021-07-28,52.9828
2021-07-29,55.664
2021-07-30,59.84
2021-07-31,59.84
2021-08-01,59.84
2021-08-02,55.1866
2021-08-03,56.9933
2021-08-04,56.4424
2021-08-05,57.4103
2021-08-06,60.9311
2021-08-07,60.9311
2021-08-08,60.9311
2021-08-09,58.9687
2021-08-10,59.9176
2021-08-11,61.5527
2021-08-12,61.9541
2021-08-13,60.8586
2021-08-14,60.8586
2021-08-15,60.8586
2021-08-16,59.7654
2021-08-17,57.8311
2021-08-18,55.9072
2021-08-19,56.3135
2021-08-20,57.646
2021-08-21,57.646
2021-08-22,57.646
2021-08-23,57.8073
2021-08-24,58.4218
2021-08-25,58.8762
2021-08-26,57.3439
2021-08-27,59.7999
2021-08-28,59.7999
2021-08-29,59.7999
2021-08-30,55.4348
2021-08-31,54.1248
2021-09-01,52.3833
2021-09-02,52.7992
2021-09-03,52.7462
2021-09-04,52.7462
2021-09-05,52.7462
2021-09-06,52.7462
2021-09-07,51.674
2021-09-08,50.7666
2021-09-09,49.6005
2021-09-10,47.7938
2021-09-11,47.7938
2021-09-12,47.7938
2021-09-13,46.8358
2021-09-14,45.4469
2021-09-15,45.8621
2021-09-16,47.6292
2021-09-17,47.2041
2021-09-18,47.2041
2021-09-19,47.2041
2021-09-20,46.401
2021-09-21,44.976
2021-09-22,45.8677
2021-09-23,50.3832
2021-09-24,52.4354
2021-09-25,52.4354
2021-09-26,52.4354
2021-09-27,58.6711
2021-09-28,53.9231
2021-09-29,56.3588
2021-09-30,53.4844
2021-10-01,55.4236
2021-10-02,55.4236
2021-10-03,55.4236
2021-10-04,55.9491
2021-10-05,56.1548
2021-10-06,56.4074
2021-10-07,57.669
2021-10-08,56.6513
2021-10-09,56.6513
2021-10-10,56.6513
2021-10-11,53.351
2021-10-12,54.6503
2021-10-13,51.9164
2021-10-14,52.0101
2021-10-15,50.8816
2021-10-16,50.8816
2021-10-17,50.8816
2021-10-18,51.0315
2021-10-19,50.7644
2021-10-20,52.7102
2021-10-21,52.3722
2021-10-22,53.251
2021-10-23,53.251
2021-10-24,53.251
2021-10-25,56.2937
2021-10-26,55.689
2021-10-27,51.563
2021-10-28,54.9666
2021-10-29,56.9078
2021-10-30,56.9078
2021-10-31,56.9078
2021-11-01,61.2653
2021-11-02,57.6267
2021-11-03,59.8714
2021-11-04,59.9074
2021-11-05,62.5176
2021-11-06,62.5176
2021-11-07,62.5176
2021-11-08,62.1814
2021-11-09,62.009
2021-11-10,63.1712
2021-11-11,61.866
2021-11-12,59.4404
2021-11-13,59.4404
2021-11-14,59.4404
2021-11-15,59.7513
2021-11-16,60.4954
2021-11-17,59.7734
2021-11-18,61.0943
2021-11-19,61.4515
2021-11-20,61.4515
2021-11-21,61.4515
2021-11-22,61.6537
2021-11-23,63.8516
2021-11-24,64.3424
2021-11-25,64.3424
2021-11-26,53.8666
2021-11-27,53.8666
2021-11-28,53.8666
2021-11-29,53.2684
2021-11-30,50.8354
2021-12-01,51.0205
2021-12-02,55.0482
2021-12-03,52.7088
2021-12-04,52.7088
2021-12-05,52.7088
2021-12-06,55.016
2021-12-07,54.234
2021-12-08,54.568
2021-12-09,54.2607
2021-12-10,55.1747
2021-12-11,55.1747
2021-12-12,55.1747
2021-12-13,54.3192
2021-12-14,54.9959
2021-12-15,54.5501
2021-12-16,56.2029
2021-12-17,51.3714
2021-12-18,51.3714
2021-12-19,51.3714
2021-12-20,48.1816
2021-12-21,52.632
2021-12-22,51.7869
2021-12-23,53.1278
2021-12-24,53.1278
2021-12-25,53.1278
2021-12-26,53.1278
2021-12-27,55.8331
2021-12-28,55.7323
2021-12-29,55.8148
2021-12-30,53.345
2021-12-31,54.5584
2022-01-01,54.5584
2022-01-02,54.5584
2022-01-03,56.482
2022-01-04,57.5331
2022-01-05,57.0397
2022-01-06,60.2522
2022-01-07,60.9882
2022-01-08,60.9882
2022-01-09,60.9882
2022-01-10,59.1196
2022-01-11,58.3351
2022-01-12,57.4342
2022-01-13,58.5114
2022-01-14,59.6094
2022-01-15,59.6094
2022-01-16,59.6094
