,SIVBQ US Equity
,RSI_30D
2021-12-23,48.3599
2021-12-24,48.3599
2021-12-25,48.3599
2021-12-26,48.3599
2021-12-27,50.2868
2021-12-28,49.1943
2021-12-29,49.4758
2021-12-30,48.9804
2021-12-31,48.8168
2022-01-01,48.8168
2022-01-02,48.8168
2022-01-03,50.2281
2022-01-04,52.6726
2022-01-05,49.2986
2022-01-06,55.5452
2022-01-07,55.5259
2022-01-08,55.5259
2022-01-09,55.5259
2022-01-10,52.5663
2022-01-11,55.0772
2022-01-12,55.55
2022-01-13,52.1177
2022-01-14,51.212
2022-01-15,51.212
2022-01-16,51.212
2022-01-17,51.212
2022-01-18,46.999
2022-01-19,45.5621
2022-01-20,44.8131
2022-01-21,38.6516
2022-01-22,38.6516
2022-01-23,38.6516
2022-01-24,37.6995
2022-01-25,36.4973
2022-01-26,37.2644
2022-01-27,35.855
2022-01-28,38.0092
2022-01-29,38.0092
2022-01-30,38.0092
2022-01-31,41.3059
2022-02-01,43.9701
2022-02-02,44.2215
2022-02-03,43.5527
2022-02-04,45.0673
2022-02-05,45.0673
2022-02-06,45.0673
2022-02-07,45.6911
2022-02-08,47.7252
2022-02-09,48.2237
2022-02-10,48.5701
2022-02-11,46.8625
2022-02-12,46.8625
2022-02-13,46.8625
2022-02-14,46.2239
2022-02-15,49.1913
2022-02-16,50.2587
2022-02-17,46.4789
2022-02-18,45.6616
2022-02-19,45.6616
2022-02-20,45.6616
2022-02-21,45.6616
2022-02-22,45.0895
2022-02-23,42.7587
2022-02-24,42.6563
2022-02-25,47.6498
2022-02-26,47.6498
2022-02-27,47.6498
2022-02-28,45.8282
2022-03-01,41.2533
2022-03-02,45.5349
2022-03-03,44.5913
2022-03-04,41.0708
2022-03-05,41.0708
2022-03-06,41.0708
2022-03-07,37.4428
2022-03-08,39.9885
2022-03-09,42.3418
2022-03-10,42.4025
2022-03-11,41.6922
2022-03-12,41.6922
2022-03-13,41.6922
2022-03-14,40.2482
2022-03-15,41.8873
2022-03-16,45.116
2022-03-17,45.9336
2022-03-18,46.527
2022-03-19,46.527
2022-03-20,46.527
2022-03-21,46.0753
2022-03-22,48.4233
2022-03-23,46.6719
2022-03-24,47.4813
2022-03-25,48.4822
2022-03-26,48.4822
2022-03-27,48.4822
2022-03-28,47.4714
2022-03-29,49.2247
2022-03-30,46.7161
2022-03-31,45.995
2022-04-01,44.8899
2022-04-02,44.8899
2022-04-03,44.8899
2022-04-04,44.809
2022-04-05,43.1854
2022-04-06,41.446
2022-04-07,40.5402
2022-04-08,40.552
2022-04-09,40.552
2022-04-10,40.552
2022-04-11,42.5947
2022-04-12,41.7243
2022-04-13,43.521
2022-04-14,42.1966
2022-04-15,42.1966
2022-04-16,42.1966
2022-04-17,42.1966
2022-04-18,41.8712
2022-04-19,46.14
2022-04-20,44.2265
2022-04-21,42.7841
2022-04-22,47.2964
2022-04-23,47.2964
2022-04-24,47.2964
2022-04-25,47.5526
2022-04-26,44.7005
2022-04-27,44.0897
2022-04-28,44.9656
2022-04-29,42.3422
2022-04-30,42.3422
2022-05-01,42.3422
2022-05-02,43.5761
2022-05-03,45.3787
2022-05-04,48.2272
2022-05-05,45.8293
2022-05-06,43.9893
2022-05-07,43.9893
2022-05-08,43.9893
2022-05-09,41.8695
2022-05-10,41.0293
2022-05-11,39.477
2022-05-12,39.0023
2022-05-13,40.7475
2022-05-14,40.7475
2022-05-15,40.7475
2022-05-16,39.2944
2022-05-17,41.2969
2022-05-18,39.8594
2022-05-19,40.4042
2022-05-20,40.3331
2022-05-21,40.3331
2022-05-22,40.3331
2022-05-23,42.087
2022-05-24,40.2449
2022-05-25,43.4113
2022-05-26,45.8574
2022-05-27,48.0133
2022-05-28,48.0133
2022-05-29,48.0133
2022-05-30,48.0133
2022-05-31,47.6552
2022-06-01,46.2233
2022-06-02,48.2298
2022-06-03,46.9997
2022-06-04,46.9997
2022-06-05,46.9997
2022-06-06,47.3532
2022-06-07,48.3927
2022-06-08,47.7095
2022-06-09,46.0351
2022-06-10,43.1678
2022-06-11,43.1678
2022-06-12,43.1678
2022-06-13,39.4422
2022-06-14,40.001
2022-06-15,41.6587
2022-06-16,39.0217
2022-06-17,40.4086
2022-06-18,40.4086
2022-06-19,40.4086
2022-06-20,40.4086
2022-06-21,40.8094
2022-06-22,40.5631
2022-06-23,40.6921
2022-06-24,42.6897
2022-06-25,42.6897
2022-06-26,42.6897
2022-06-27,42.3586
2022-06-28,41.5729
2022-06-29,41.3556
2022-06-30,40.561
2022-07-01,41.4344
2022-07-02,41.4344
2022-07-03,41.4344
2022-07-04,41.4344
2022-07-05,43.2184
2022-07-06,42.6257
2022-07-07,45.03
2022-07-08,44.4782
2022-07-09,44.4782
2022-07-10,44.4782
2022-07-11,43.2638
2022-07-12,43.7334
2022-07-13,43.0918
2022-07-14,41.498
2022-07-15,44.0176
2022-07-16,44.0176
2022-07-17,44.0176
2022-07-18,44.8416
2022-07-19,46.8513
2022-07-20,48.0425
2022-07-21,48.2918
2022-07-22,39.3331
2022-07-23,39.3331
2022-07-24,39.3331
2022-07-25,43.6415
2022-07-26,40.9965
2022-07-27,42.9694
2022-07-28,44.479
2022-07-29,46.1383
2022-07-30,46.1383
2022-07-31,46.1383
2022-08-01,45.5266
2022-08-02,45.8198
2022-08-03,47.5806
2022-08-04,47.9594
2022-08-05,47.5801
2022-08-06,47.5801
2022-08-07,47.5801
2022-08-08,47.5163
2022-08-09,48.5235
2022-08-10,52.8301
2022-08-11,53.2005
2022-08-12,54.3288
2022-08-13,54.3288
2022-08-14,54.3288
2022-08-15,54.4746
2022-08-16,55.8635
2022-08-17,53.329
2022-08-18,52.9778
2022-08-19,49.7924
2022-08-20,49.7924
2022-08-21,49.7924
2022-08-22,47.8349
2022-08-23,48.0734
2022-08-24,49.0996
2022-08-25,50.4065
2022-08-26,46.5694
2022-08-27,46.5694
2022-08-28,46.5694
2022-08-29,45.827
2022-08-30,46.3471
2022-08-31,46.1208
2022-09-01,45.4906
2022-09-02,44.55
2022-09-03,44.55
2022-09-04,44.55
2022-09-05,44.55
2022-09-06,43.0088
2022-09-07,45.5411
2022-09-08,48.0203
2022-09-09,49.4067
2022-09-10,49.4067
2022-09-11,49.4067
2022-09-12,46.9814
2022-09-13,44.1227
2022-09-14,43.2226
2022-09-15,43.4645
2022-09-16,41.3611
2022-09-17,41.3611
2022-09-18,41.3611
2022-09-19,41.9524
2022-09-20,41.871
2022-09-21,41.1317
2022-09-22,38.9902
2022-09-23,38.7759
2022-09-24,38.7759
2022-09-25,38.7759
2022-09-26,38.1367
2022-09-27,37.9024
2022-09-28,39.9307
2022-09-29,39.1554
2022-09-30,38.8655
2022-10-01,38.8655
2022-10-02,38.8655
2022-10-03,42.762
2022-10-04,46.7318
2022-10-05,44.8874
2022-10-06,43.796
2022-10-07,41.6984
2022-10-08,41.6984
2022-10-09,41.6984
2022-10-10,41.5716
2022-10-11,40.9139
2022-10-12,40.838
2022-10-13,42.835
2022-10-14,39.0446
2022-10-15,39.0446
2022-10-16,39.0446
2022-10-17,42.1004
2022-10-18,41.6245
2022-10-19,39.6637
2022-10-20,38.0327
2022-10-21,30.7045
2022-10-22,30.7045
2022-10-23,30.7045
2022-10-24,31.0801
2022-10-25,32.5113
2022-10-26,32.9326
2022-10-27,31.7791
2022-10-28,32.7237
2022-10-29,32.7237
2022-10-30,32.7237
2022-10-31,32.4132
2022-11-01,32.2169
2022-11-02,30.6712
2022-11-03,30.1609
2022-11-04,31.3746
2022-11-05,31.3746
2022-11-06,31.3746
2022-11-07,31.3453
2022-11-08,32.5823
2022-11-09,31.5038
2022-11-10,36.3794
2022-11-11,37.3308
2022-11-12,37.3308
