,USDKRW BGN Curncy
,PX_LAST
2012-05-03,1129.03
2012-05-04,1131.5
2012-05-05,1131.5
2012-05-06,1131.5
2012-05-07,1138.5
2012-05-08,1135.68
2012-05-09,1140.35
2012-05-10,1142.3
2012-05-11,1146.55
2012-05-12,1146.55
2012-05-13,1146.55
2012-05-14,1149.15
2012-05-15,1154.0
2012-05-16,1165.55
2012-05-17,1163.0
2012-05-18,1172.73
2012-05-19,1172.73
2012-05-20,1172.73
2012-05-21,1168.93
2012-05-22,1163.4
2012-05-23,1172.73
2012-05-24,1180.05
2012-05-25,1185.43
2012-05-26,1185.43
2012-05-27,1185.43
2012-05-28,1173.2
2012-05-29,1174.82
2012-05-30,1176.25
2012-05-31,1180.33
2012-06-01,1177.83
2012-06-02,1177.83
2012-06-03,1177.83
2012-06-04,1182.03
2012-06-05,1180.2
2012-06-06,1174.65
2012-06-07,1171.45
2012-06-08,1175.3
2012-06-09,1175.3
2012-06-10,1175.3
2012-06-11,1165.85
2012-06-12,1170.55
2012-06-13,1168.35
2012-06-14,1166.35
2012-06-15,1165.75
2012-06-16,1165.75
2012-06-17,1165.75
2012-06-18,1157.25
2012-06-19,1156.45
2012-06-20,1151.1
2012-06-21,1151.59
2012-06-22,1157.05
2012-06-23,1157.05
2012-06-24,1157.05
2012-06-25,1161.63
2012-06-26,1158.43
2012-06-27,1156.17
2012-06-28,1154.4
2012-06-29,1145.4
2012-06-30,1145.4
2012-07-01,1145.4
2012-07-02,1146.04
2012-07-03,1138.29
2012-07-04,1135.7
2012-07-05,1135.15
2012-07-06,1137.99
2012-07-07,1137.99
2012-07-08,1137.99
2012-07-09,1141.43
2012-07-10,1143.75
2012-07-11,1140.9
2012-07-12,1151.38
2012-07-13,1150.2
2012-07-14,1150.2
2012-07-15,1150.2
2012-07-16,1147.0
2012-07-17,1143.62
2012-07-18,1142.55
2012-07-19,1139.15
2012-07-20,1141.2
2012-07-21,1141.2
2012-07-22,1141.2
2012-07-23,1146.55
2012-07-24,1146.15
2012-07-25,1150.95
2012-07-26,1146.85
2012-07-27,1138.25
2012-07-28,1138.25
2012-07-29,1138.25
2012-07-30,1137.6
2012-07-31,1130.55
2012-08-01,1126.6
2012-08-02,1131.7
2012-08-03,1134.85
2012-08-04,1134.85
2012-08-05,1134.85
2012-08-06,1129.23
2012-08-07,1128.78
2012-08-08,1128.3
2012-08-09,1125.48
2012-08-10,1130.45
2012-08-11,1130.45
2012-08-12,1130.45
2012-08-13,1131.15
2012-08-14,1129.78
2012-08-15,1132.5
2012-08-16,1134.15
2012-08-17,1134.25
2012-08-18,1134.25
2012-08-19,1134.25
2012-08-20,1135.55
2012-08-21,1131.15
2012-08-22,1135.9
2012-08-23,1130.6
2012-08-24,1134.15
2012-08-25,1134.15
2012-08-26,1134.15
2012-08-27,1135.4
2012-08-28,1136.75
2012-08-29,1133.47
2012-08-30,1134.05
2012-08-31,1134.63
2012-09-01,1134.63
2012-09-02,1134.63
2012-09-03,1131.05
2012-09-04,1133.19
2012-09-05,1135.85
2012-09-06,1133.85
2012-09-07,1130.4
2012-09-08,1130.4
2012-09-09,1130.4
2012-09-10,1129.36
2012-09-11,1128.15
2012-09-12,1126.5
2012-09-13,1128.43
2012-09-14,1117.3
2012-09-15,1117.3
2012-09-16,1117.3
2012-09-17,1115.97
2012-09-18,1118.4
2012-09-19,1114.7
2012-09-20,1123.15
2012-09-21,1119.23
2012-09-22,1119.23
2012-09-23,1119.23
2012-09-24,1120.55
2012-09-25,1119.45
2012-09-26,1121.0
2012-09-27,1116.3
2012-09-28,1111.38
