,CLX US Equity
,BEST_DIV_YLD
2021-08-11,3.312
2021-08-12,3.307
2021-08-13,3.274
2021-08-14,3.274
2021-08-15,3.274
2021-08-16,3.249
2021-08-17,3.224
2021-08-18,3.277
2021-08-19,3.226
2021-08-20,3.246
2021-08-21,3.246
2021-08-22,3.246
2021-08-23,3.282
2021-08-24,3.312
2021-08-25,3.349
2021-08-26,3.345
2021-08-27,3.348
2021-08-28,3.348
2021-08-29,3.348
2021-08-30,3.309
2021-08-31,3.285
2021-09-01,3.232
2021-09-02,3.247
2021-09-03,3.256
2021-09-04,3.256
2021-09-05,3.256
2021-09-06,3.256
2021-09-07,3.283
2021-09-08,3.252
2021-09-09,3.268
2021-09-10,3.253
2021-09-11,3.253
2021-09-12,3.253
2021-09-13,3.224
2021-09-14,3.205
2021-09-15,3.268
2021-09-16,3.313
2021-09-17,3.324
2021-09-18,3.324
2021-09-19,3.324
2021-09-20,3.35
2021-09-21,3.371
2021-09-22,3.403
2021-09-23,3.399
2021-09-24,3.354
2021-09-25,3.354
2021-09-26,3.354
2021-09-27,3.348
2021-09-28,3.312
2021-09-29,3.284
2021-09-30,3.333
2021-10-01,3.355
2021-10-02,3.355
2021-10-03,3.355
2021-10-04,3.371
2021-10-05,3.394
2021-10-06,3.342
2021-10-07,3.344
2021-10-08,3.373
2021-10-09,3.373
2021-10-10,3.373
2021-10-11,3.4
2021-10-12,3.384
2021-10-13,3.431
2021-10-14,3.372
2021-10-15,3.378
2021-10-16,3.378
2021-10-17,3.378
2021-10-18,3.421
2021-10-19,3.455
2021-10-20,3.411
2021-10-21,3.432
2021-10-22,3.402
2021-10-23,3.402
2021-10-24,3.402
2021-10-25,3.398
2021-10-26,3.383
2021-10-27,3.418
2021-10-28,3.369
2021-10-29,3.346
2021-10-30,3.346
2021-10-31,3.346
2021-11-01,3.338
2021-11-02,3.295
2021-11-03,3.296
2021-11-04,3.314
2021-11-05,3.338
2021-11-06,3.338
2021-11-07,3.338
2021-11-08,3.318
2021-11-09,3.28
2021-11-10,3.294
2021-11-11,3.285
2021-11-12,3.283
2021-11-13,3.283
2021-11-14,3.283
2021-11-15,3.208
2021-11-16,3.208
2021-11-17,3.22
2021-11-18,3.288
2021-11-19,3.264
2021-11-20,3.264
2021-11-21,3.264
2021-11-22,3.252
2021-11-23,3.228
2021-11-24,3.243
2021-11-25,3.243
2021-11-26,3.129
2021-11-27,3.129
2021-11-28,3.129
2021-11-29,3.222
2021-11-30,3.347
2021-12-01,3.288
2021-12-02,3.274
2021-12-03,3.241
2021-12-04,3.241
2021-12-05,3.241
2021-12-06,3.23
2021-12-07,3.298
2021-12-08,3.248
2021-12-09,3.265
2021-12-10,3.234
2021-12-11,3.234
2021-12-12,3.234
2021-12-13,3.167
2021-12-14,3.156
2021-12-15,3.094
2021-12-16,3.059
2021-12-17,3.129
2021-12-18,3.129
2021-12-19,3.129
2021-12-20,3.086
2021-12-21,3.184
2021-12-22,3.192
2021-12-23,3.209
2021-12-24,3.209
2021-12-25,3.209
2021-12-26,3.209
2021-12-27,3.189
2021-12-28,3.17
2021-12-29,3.18
2021-12-30,3.163
2021-12-31,3.126
2022-01-01,3.126
2022-01-02,3.126
2022-01-03,3.116
2022-01-04,3.104
2022-01-05,3.072
2022-01-06,3.053
2022-01-07,3.03
2022-01-08,3.03
2022-01-09,3.03
2022-01-10,3.028
2022-01-11,3.03
2022-01-12,2.99
2022-01-13,2.974
2022-01-14,2.916
2022-01-15,2.916
2022-01-16,2.916
2022-01-17,2.916
2022-01-18,3.006
2022-01-19,3.004
2022-01-20,3.092
2022-01-21,3.047
2022-01-22,3.047
2022-01-23,3.047
2022-01-24,3.075
2022-01-25,3.097
2022-01-26,3.282
2022-01-27,3.267
2022-01-28,3.238
2022-01-29,3.238
2022-01-30,3.238
2022-01-31,3.221
2022-02-01,3.204
2022-02-02,3.237
2022-02-03,3.272
2022-02-04,3.849
2022-02-05,3.849
2022-02-06,3.849
2022-02-07,3.723
2022-02-08,3.801
2022-02-09,3.811
2022-02-10,3.85
2022-02-11,3.778
2022-02-12,3.778
2022-02-13,3.778
2022-02-14,3.806
2022-02-15,3.815
2022-02-16,3.851
2022-02-17,3.727
2022-02-18,3.614
2022-02-19,3.614
2022-02-20,3.614
2022-02-21,3.614
2022-02-22,3.664
2022-02-23,3.688
2022-02-24,3.799
2022-02-25,3.687
2022-02-26,3.687
2022-02-27,3.687
2022-02-28,3.732
2022-03-01,3.756
2022-03-02,3.757
2022-03-03,3.741
2022-03-04,3.759
2022-03-05,3.759
2022-03-06,3.759
2022-03-07,3.74
2022-03-08,3.93
2022-03-09,3.955
2022-03-10,4.068
2022-03-11,4.171
2022-03-12,4.171
2022-03-13,4.171
2022-03-14,4.254
2022-03-15,4.161
2022-03-16,4.132
2022-03-17,4.092
2022-03-18,4.062
2022-03-19,4.062
2022-03-20,4.062
2022-03-21,4.06
2022-03-22,3.993
2022-03-23,4.003
2022-03-24,4.054
2022-03-25,3.984
2022-03-26,3.984
2022-03-27,3.984
2022-03-28,3.921
2022-03-29,3.891
2022-03-30,3.897
2022-03-31,3.91
2022-04-01,3.806
2022-04-02,3.806
2022-04-03,3.806
2022-04-04,3.749
2022-04-05,3.77
2022-04-06,3.777
2022-04-07,3.719
2022-04-08,3.711
2022-04-09,3.711
2022-04-10,3.711
2022-04-11,3.679
2022-04-12,3.712
2022-04-13,3.739
2022-04-14,3.734
2022-04-15,3.734
2022-04-16,3.734
2022-04-17,3.734
2022-04-18,3.788
2022-04-19,3.741
2022-04-20,3.718
2022-04-21,3.669
2022-04-22,3.608
2022-04-23,3.608
2022-04-24,3.608
2022-04-25,3.569
2022-04-26,3.688
2022-04-27,3.652
2022-04-28,3.637
2022-04-29,3.76
2022-04-30,3.76
2022-05-01,3.76
2022-05-02,3.767
2022-05-03,3.651
2022-05-04,3.6
2022-05-05,3.633
2022-05-06,3.499
2022-05-07,3.499
2022-05-08,3.499
2022-05-09,3.422
2022-05-10,3.414
2022-05-11,3.444
2022-05-12,3.396
2022-05-13,3.369
2022-05-14,3.369
2022-05-15,3.369
2022-05-16,3.395
2022-05-17,3.402
2022-05-18,3.657
2022-05-19,3.86
2022-05-20,3.856
2022-05-21,3.856
2022-05-22,3.856
2022-05-23,3.821
2022-05-24,3.766
2022-05-25,3.769
2022-05-26,3.658
2022-05-27,3.601
2022-05-28,3.601
2022-05-29,3.601
2022-05-30,3.601
2022-05-31,3.684
2022-06-01,3.806
2022-06-02,3.79
2022-06-03,3.856
2022-06-04,3.856
2022-06-05,3.856
2022-06-06,3.908
2022-06-07,3.988
2022-06-08,3.987
2022-06-09,4.054
2022-06-10,4.085
2022-06-11,4.085
2022-06-12,4.085
2022-06-13,4.155
2022-06-14,4.297
2022-06-15,4.349
2022-06-16,4.369
2022-06-17,4.364
2022-06-18,4.364
2022-06-19,4.364
2022-06-20,4.364
2022-06-21,4.263
2022-06-22,4.053
2022-06-23,3.822
2022-06-24,3.805
2022-06-25,3.805
2022-06-26,3.805
2022-06-27,3.873
2022-06-28,3.911
2022-06-29,3.838
2022-06-30,3.799
2022-07-01,3.722
2022-07-02,3.722
2022-07-03,3.722
2022-07-04,3.722
2022-07-05,3.7
2022-07-06,3.652
2022-07-07,3.682
2022-07-08,3.788
2022-07-09,3.788
2022-07-10,3.788
2022-07-11,3.777
2022-07-12,3.726
2022-07-13,3.633
2022-07-14,3.635
2022-07-15,3.606
2022-07-16,3.606
2022-07-17,3.606
2022-07-18,3.67
2022-07-19,3.572
2022-07-20,3.618
2022-07-21,3.615
2022-07-22,3.607
2022-07-23,3.607
2022-07-24,3.607
2022-07-25,3.616
2022-07-26,3.65
2022-07-27,3.726
2022-07-28,3.664
2022-07-29,3.737
2022-07-30,3.737
2022-07-31,3.737
2022-08-01,3.649
2022-08-02,3.687
2022-08-03,3.667
2022-08-04,3.817
