,M US Equity
,BEST_DIV_YLD
2022-04-01,3.058
2022-04-02,3.058
2022-04-03,3.058
2022-04-04,3.017
2022-04-05,3.002
2022-04-06,3.098
2022-04-07,3.201
2022-04-08,3.124
2022-04-09,3.124
2022-04-10,3.124
2022-04-11,3.029
2022-04-12,2.996
2022-04-13,2.871
2022-04-14,2.873
2022-04-15,2.873
2022-04-16,2.873
2022-04-17,2.873
2022-04-18,2.89
2022-04-19,2.765
2022-04-20,2.804
2022-04-21,2.878
2022-04-22,3.054
2022-04-23,3.054
2022-04-24,3.054
2022-04-25,2.964
2022-04-26,3.047
2022-04-27,3.007
2022-04-28,2.881
2022-04-29,3.067
2022-04-30,3.067
2022-05-01,3.067
2022-05-02,2.984
2022-05-03,3.054
2022-05-04,2.923
2022-05-05,3.112
2022-05-06,3.206
2022-05-07,3.206
2022-05-08,3.206
2022-05-09,3.312
2022-05-10,3.327
2022-05-11,3.653
2022-05-12,3.497
2022-05-13,3.44
2022-05-14,3.44
2022-05-15,3.44
2022-05-16,3.543
2022-05-17,3.48
2022-05-18,3.895
2022-05-19,3.829
2022-05-20,4.082
2022-05-21,4.082
2022-05-22,4.082
2022-05-23,4.035
2022-05-24,4.209
2022-05-25,3.859
2022-05-26,3.234
2022-05-27,3.185
2022-05-28,3.185
2022-05-29,3.185
2022-05-30,3.185
2022-05-31,3.166
2022-06-01,3.21
2022-06-02,3.145
2022-06-03,3.144
2022-06-04,3.144
2022-06-05,3.144
2022-06-06,3.097
2022-06-07,3.061
2022-06-08,3.089
2022-06-09,3.125
2022-06-10,3.25
2022-06-11,3.25
2022-06-12,3.25
2022-06-13,3.529
2022-06-14,3.41
2022-06-15,3.391
2022-06-16,3.752
2022-06-17,3.741
2022-06-18,3.741
2022-06-19,3.741
2022-06-20,3.741
2022-06-21,3.729
2022-06-22,3.804
2022-06-23,3.914
2022-06-24,3.561
2022-06-25,3.561
2022-06-26,3.561
2022-06-27,3.695
2022-06-28,3.852
2022-06-29,3.964
2022-06-30,4.075
2022-07-01,4.154
2022-07-02,4.154
2022-07-03,4.154
2022-07-04,4.154
2022-07-05,3.971
2022-07-06,4.251
2022-07-07,4.161
2022-07-08,4.166
2022-07-09,4.166
2022-07-10,4.166
2022-07-11,4.373
2022-07-12,4.417
2022-07-13,4.449
2022-07-14,4.591
2022-07-15,4.494
2022-07-16,4.494
2022-07-17,4.494
2022-07-18,4.288
2022-07-19,4.111
2022-07-20,4.022
2022-07-21,4.003
2022-07-22,4.081
