,QCOM US Equity
,BEST_DIV_YLD
2021-12-13,1.767
2021-12-14,1.78
2021-12-15,1.712
2021-12-16,1.819
2021-12-17,1.832
2021-12-18,1.832
2021-12-19,1.832
2021-12-20,1.834
2021-12-21,1.804
2021-12-22,1.786
2021-12-23,1.773
2021-12-24,1.773
2021-12-25,1.773
2021-12-26,1.773
2021-12-27,1.739
2021-12-28,1.753
2021-12-29,1.74
2021-12-30,1.773
2021-12-31,1.772
2022-01-01,1.772
2022-01-02,1.772
2022-01-03,1.74
2022-01-04,1.76
2022-01-05,1.767
2022-01-06,1.772
2022-01-07,1.827
2022-01-08,1.827
2022-01-09,1.827
2022-01-10,1.834
2022-01-11,1.778
2022-01-12,1.768
2022-01-13,1.792
2022-01-14,1.747
2022-01-15,1.747
2022-01-16,1.747
2022-01-17,1.747
2022-01-18,1.843
2022-01-19,1.911
2022-01-20,1.979
2022-01-21,1.998
2022-01-22,1.998
2022-01-23,1.998
2022-01-24,1.938
2022-01-25,1.992
2022-01-26,1.973
2022-01-27,2.044
2022-01-28,1.976
2022-01-29,1.976
2022-01-30,1.976
2022-01-31,1.875
2022-02-01,1.861
2022-02-02,1.744
2022-02-03,1.833
2022-02-04,1.829
2022-02-05,1.829
2022-02-06,1.829
2022-02-07,1.875
2022-02-08,1.838
2022-02-09,1.773
2022-02-10,1.873
2022-02-11,1.981
2022-02-12,1.981
2022-02-13,1.981
2022-02-14,1.975
2022-02-15,1.885
2022-02-16,1.889
2022-02-17,1.955
2022-02-18,1.945
2022-02-19,1.945
2022-02-20,1.945
2022-02-21,1.945
2022-02-22,1.966
2022-02-23,2.018
2022-02-24,1.941
2022-02-25,1.908
2022-02-26,1.908
2022-02-27,1.908
2022-02-28,1.896
2022-03-01,1.992
2022-03-02,1.919
2022-03-03,1.964
2022-03-04,2.001
2022-03-05,2.001
2022-03-06,2.001
2022-03-07,2.163
2022-03-08,2.154
2022-03-09,2.067
2022-03-10,2.099
2022-03-11,2.132
2022-03-12,2.132
2022-03-13,2.132
2022-03-14,2.298
2022-03-15,2.252
2022-03-16,2.158
2022-03-17,2.125
2022-03-18,2.109
2022-03-19,2.109
2022-03-20,2.109
2022-03-21,2.087
2022-03-22,2.06
2022-03-23,2.124
2022-03-24,2.049
2022-03-25,2.056
2022-03-26,2.056
2022-03-27,2.056
2022-03-28,2.049
2022-03-29,2.016
2022-03-30,2.126
2022-03-31,2.125
2022-04-01,2.209
2022-04-02,2.209
2022-04-03,2.209
2022-04-04,2.111
2022-04-05,2.232
2022-04-06,2.331
2022-04-07,2.332
2022-04-08,2.376
2022-04-09,2.376
2022-04-10,2.376
2022-04-11,2.399
2022-04-12,2.386
2022-04-13,2.311
2022-04-14,2.372
2022-04-15,2.372
2022-04-16,2.372
2022-04-17,2.372
2022-04-18,2.331
2022-04-19,2.302
2022-04-20,2.314
2022-04-21,2.386
2022-04-22,2.445
2022-04-23,2.445
2022-04-24,2.445
2022-04-25,2.378
2022-04-26,2.432
2022-04-27,2.404
2022-04-28,2.2
2022-04-29,2.334
2022-04-30,2.334
2022-05-01,2.334
2022-05-02,2.271
2022-05-03,2.287
2022-05-04,2.214
2022-05-05,2.33
2022-05-06,2.347
2022-05-07,2.347
2022-05-08,2.347
2022-05-09,2.446
2022-05-10,2.412
2022-05-11,2.494
2022-05-12,2.517
2022-05-13,2.458
2022-05-14,2.458
2022-05-15,2.458
2022-05-16,2.477
2022-05-17,2.374
2022-05-18,2.542
2022-05-19,2.54
2022-05-20,2.52
2022-05-21,2.52
2022-05-22,2.52
2022-05-23,2.51
2022-05-24,2.58
2022-05-25,2.527
2022-05-26,2.46
2022-05-27,2.373
2022-05-28,2.373
2022-05-29,2.373
2022-05-30,2.373
2022-05-31,2.316
2022-06-01,2.356
2022-06-02,2.257
2022-06-03,2.336
2022-06-04,2.336
2022-06-05,2.336
2022-06-06,2.342
2022-06-07,2.318
2022-06-08,2.367
2022-06-09,2.406
2022-06-10,2.469
2022-06-11,2.469
2022-06-12,2.469
2022-06-13,2.556
2022-06-14,2.525
2022-06-15,2.51
2022-06-16,2.722
2022-06-17,2.718
2022-06-18,2.718
2022-06-19,2.718
2022-06-20,2.718
2022-06-21,2.644
