,POOL US Equity
,BEST_DIV_YLD
2021-08-26,0.914
2021-08-27,0.908
2021-08-28,0.908
2021-08-29,0.908
2021-08-30,0.888
2021-08-31,0.883
2021-09-01,0.889
2021-09-02,0.878
2021-09-03,0.879
2021-09-04,0.879
2021-09-05,0.879
2021-09-06,0.879
2021-09-07,0.889
2021-09-08,0.878
2021-09-09,0.888
2021-09-10,0.885
2021-09-11,0.885
2021-09-12,0.885
2021-09-13,0.912
2021-09-14,0.92
2021-09-15,0.915
2021-09-16,0.927
2021-09-17,0.941
2021-09-18,0.941
2021-09-19,0.941
2021-09-20,0.944
2021-09-21,0.95
2021-09-22,0.957
2021-09-23,0.936
2021-09-24,0.938
2021-09-25,0.938
2021-09-26,0.938
2021-09-27,0.958
2021-09-28,0.983
2021-09-29,0.977
2021-09-30,1.005
2021-10-01,0.998
2021-10-02,0.998
2021-10-03,0.998
2021-10-04,1.001
2021-10-05,0.991
2021-10-06,0.99
2021-10-07,0.965
2021-10-08,0.978
2021-10-09,0.978
2021-10-10,0.978
2021-10-11,0.98
2021-10-12,0.99
2021-10-13,0.991
2021-10-14,0.964
2021-10-15,0.963
2021-10-16,0.963
2021-10-17,0.963
2021-10-18,0.948
2021-10-19,0.94
2021-10-20,0.941
2021-10-21,0.874
2021-10-22,0.868
2021-10-23,0.868
2021-10-24,0.868
2021-10-25,0.858
2021-10-26,0.867
2021-10-27,0.874
2021-10-28,0.862
2021-10-29,0.847
2021-10-30,0.847
2021-10-31,0.847
2021-11-01,0.848
2021-11-02,0.847
2021-11-03,0.845
2021-11-04,0.836
2021-11-05,0.843
2021-11-06,0.843
2021-11-07,0.843
2021-11-08,0.839
2021-11-09,0.828
2021-11-10,0.828
2021-11-11,0.787
2021-11-12,0.763
2021-11-13,0.763
2021-11-14,0.763
2021-11-15,0.765
2021-11-16,0.76
2021-11-17,0.761
2021-11-18,0.754
2021-11-19,0.755
2021-11-20,0.755
2021-11-21,0.755
2021-11-22,0.779
2021-11-23,0.776
2021-11-24,0.767
2021-11-25,0.767
2021-11-26,0.779
2021-11-27,0.779
2021-11-28,0.779
2021-11-29,0.778
2021-11-30,0.787
2021-12-01,0.789
2021-12-02,0.783
2021-12-03,0.8
2021-12-04,0.8
2021-12-05,0.8
2021-12-06,0.795
2021-12-07,0.774
2021-12-08,0.772
2021-12-09,0.793
2021-12-10,0.775
2021-12-11,0.775
2021-12-12,0.775
2021-12-13,0.775
2021-12-14,0.78
2021-12-15,0.768
2021-12-16,0.79
2021-12-17,0.806
2021-12-18,0.806
2021-12-19,0.806
2021-12-20,0.81
2021-12-21,0.805
2021-12-22,0.794
2021-12-23,0.793
2021-12-24,0.793
2021-12-25,0.793
2021-12-26,0.793
2021-12-27,0.777
2021-12-28,0.777
2021-12-29,0.768
2021-12-30,0.777
2021-12-31,0.77
2022-01-01,0.77
2022-01-02,0.77
2022-01-03,0.792
2022-01-04,0.793
2022-01-05,0.823
2022-01-06,0.837
2022-01-07,0.866
2022-01-08,0.866
2022-01-09,0.866
2022-01-10,0.878
2022-01-11,0.868
2022-01-12,0.85
2022-01-13,0.859
2022-01-14,0.882
2022-01-15,0.882
2022-01-16,0.882
2022-01-17,0.882
2022-01-18,0.883
2022-01-19,0.888
2022-01-20,0.915
2022-01-21,0.926
2022-01-22,0.926
2022-01-23,0.926
2022-01-24,0.913
2022-01-25,0.948
2022-01-26,0.966
2022-01-27,0.965
2022-01-28,0.948
2022-01-29,0.948
2022-01-30,0.948
2022-01-31,0.915
2022-02-01,0.92
2022-02-02,0.925
2022-02-03,0.952
2022-02-04,0.972
2022-02-05,0.972
2022-02-06,0.972
2022-02-07,0.971
2022-02-08,0.964
2022-02-09,0.937
2022-02-10,0.961
