,TRGP US Equity
,BEST_DIV_YLD
2021-10-18,1.44
2021-10-19,1.444
2021-10-20,1.429
2021-10-21,1.457
2021-10-22,1.547
2021-10-23,1.547
2021-10-24,1.547
2021-10-25,1.531
2021-10-26,1.547
2021-10-27,1.586
2021-10-28,1.571
2021-10-29,1.587
2021-10-30,1.587
2021-10-31,1.587
2021-11-01,1.554
2021-11-02,1.561
2021-11-03,1.578
2021-11-04,1.879
2021-11-05,1.856
2021-11-06,1.856
2021-11-07,1.856
2021-11-08,1.819
2021-11-09,1.838
2021-11-10,2.312
2021-11-11,2.612
2021-11-12,2.662
2021-11-13,2.662
2021-11-14,2.662
2021-11-15,2.617
2021-11-16,2.639
2021-11-17,2.642
2021-11-18,2.645
2021-11-19,2.695
2021-11-20,2.695
2021-11-21,2.695
2021-11-22,2.956
2021-11-23,2.926
2021-11-24,2.87
2021-11-25,2.87
2021-11-26,2.985
2021-11-27,2.985
2021-11-28,2.985
2021-11-29,3.014
2021-11-30,3.15
2021-12-01,3.198
2021-12-02,3.101
2021-12-03,3.174
2021-12-04,3.174
2021-12-05,3.174
2021-12-06,3.112
2021-12-07,3.393
2021-12-08,3.41
2021-12-09,3.471
2021-12-10,3.469
2021-12-11,3.469
2021-12-12,3.469
2021-12-13,3.573
2021-12-14,3.594
2021-12-15,3.557
2021-12-16,3.595
2021-12-17,3.639
2021-12-18,3.639
2021-12-19,3.639
2021-12-20,3.698
2021-12-21,3.583
2021-12-22,3.56
2021-12-23,3.565
2021-12-24,3.565
2021-12-25,3.565
2021-12-26,3.565
2021-12-27,3.447
2021-12-28,3.461
2021-12-29,3.487
2021-12-30,3.517
2021-12-31,3.467
2022-01-01,3.467
2022-01-02,3.467
2022-01-03,3.402
2022-01-04,3.331
2022-01-05,3.351
2022-01-06,3.26
2022-01-07,3.24
2022-01-08,3.24
2022-01-09,3.24
2022-01-10,3.319
2022-01-11,3.212
2022-01-12,3.179
2022-01-13,3.172
2022-01-14,3.135
2022-01-15,3.135
2022-01-16,3.135
2022-01-17,3.135
2022-01-18,3.154
2022-01-19,3.245
2022-01-20,3.288
2022-01-21,4.243
2022-01-22,4.243
2022-01-23,4.243
2022-01-24,4.235
2022-01-25,4.147
2022-01-26,4.111
2022-01-27,4.084
2022-01-28,4.045
2022-01-29,4.045
2022-01-30,4.045
2022-01-31,3.967
2022-02-01,3.86
2022-02-02,3.826
2022-02-03,3.886
2022-02-04,3.839
2022-02-05,3.839
2022-02-06,3.839
2022-02-07,3.8
2022-02-08,3.804
2022-02-09,3.746
2022-02-10,3.763
2022-02-11,3.649
2022-02-12,3.649
2022-02-13,3.649
2022-02-14,3.738
2022-02-15,3.744
2022-02-16,3.712
2022-02-17,3.743
2022-02-18,3.765
2022-02-19,3.765
2022-02-20,3.765
2022-02-21,3.765
2022-02-22,3.846
2022-02-23,3.823
2022-02-24,3.778
2022-02-25,3.549
2022-02-26,3.549
2022-02-27,3.549
2022-02-28,3.461
2022-03-01,3.451
2022-03-02,3.231
2022-03-03,3.211
2022-03-04,3.141
2022-03-05,3.141
2022-03-06,3.141
2022-03-07,3.228
2022-03-08,3.306
2022-03-09,3.243
2022-03-10,3.671
2022-03-11,3.734
2022-03-12,3.734
2022-03-13,3.734
2022-03-14,4.048
2022-03-15,4.089
2022-03-16,4.044
2022-03-17,3.928
2022-03-18,3.836
2022-03-19,3.836
2022-03-20,3.836
2022-03-21,3.736
2022-03-22,3.763
2022-03-23,3.705
2022-03-24,3.672
2022-03-25,3.538
2022-03-26,3.538
2022-03-27,3.538
2022-03-28,3.583
2022-03-29,3.576
2022-03-30,3.101
2022-03-31,3.134
2022-04-01,3.058
2022-04-02,3.058
2022-04-03,3.058
2022-04-04,3.072
2022-04-05,3.124
2022-04-06,3.095
2022-04-07,3.116
2022-04-08,2.95
2022-04-09,2.95
2022-04-10,2.95
2022-04-11,2.928
2022-04-12,2.883
2022-04-13,2.845
2022-04-14,2.821
2022-04-15,2.821
2022-04-16,2.821
2022-04-17,2.821
2022-04-18,2.815
2022-04-19,2.806
2022-04-20,2.751
2022-04-21,2.821
2022-04-22,2.913
2022-04-23,2.913
2022-04-24,2.913
2022-04-25,3.059
2022-04-26,3.036
2022-04-27,2.971
2022-04-28,2.922
2022-04-29,3.035
2022-04-30,3.035
2022-05-01,3.035
2022-05-02,3.02
2022-05-03,2.937
2022-05-04,2.874
2022-05-05,3.01
2022-05-06,2.98
2022-05-07,2.98
2022-05-08,2.98
2022-05-09,3.329
2022-05-10,3.308
2022-05-11,3.271
2022-05-12,3.293
2022-05-13,3.156
2022-05-14,3.156
2022-05-15,3.156
2022-05-16,3.119
2022-05-17,3.011
2022-05-18,3.083
2022-05-19,3.121
2022-05-20,3.098
2022-05-21,3.098
2022-05-22,3.098
2022-05-23,3.106
2022-05-24,3.128
2022-05-25,3.06
2022-05-26,3.036
2022-05-27,2.962
2022-05-28,2.962
2022-05-29,2.962
2022-05-30,2.962
2022-05-31,2.995
2022-06-01,2.874
2022-06-02,2.813
2022-06-03,2.789
2022-06-04,2.789
2022-06-05,2.789
2022-06-06,2.846
2022-06-07,2.704
2022-06-08,2.796
2022-06-09,2.895
2022-06-10,3.001
2022-06-11,3.001
2022-06-12,3.001
2022-06-13,3.218
2022-06-14,3.279
2022-06-15,3.258
2022-06-16,3.527
2022-06-17,3.62
2022-06-18,3.62
2022-06-19,3.62
2022-06-20,3.62
2022-06-21,3.459
2022-06-22,3.658
2022-06-23,3.776
2022-06-24,3.777
2022-06-25,3.777
2022-06-26,3.777
2022-06-27,3.614
2022-06-28,3.514
2022-06-29,3.621
2022-06-30,3.68
2022-07-01,3.599
2022-07-02,3.599
2022-07-03,3.599
2022-07-04,3.599
2022-07-05,3.724
2022-07-06,3.901
2022-07-07,3.67
2022-07-08,3.297
2022-07-09,3.297
2022-07-10,3.297
2022-07-11,3.341
2022-07-12,3.334
2022-07-13,3.353
2022-07-14,3.406
2022-07-15,3.345
2022-07-16,3.345
2022-07-17,3.345
2022-07-18,3.254
2022-07-19,3.143
2022-07-20,3.179
2022-07-21,3.188
2022-07-22,3.239
2022-07-23,3.239
2022-07-24,3.239
2022-07-25,3.116
2022-07-26,3.056
2022-07-27,3.001
2022-07-28,2.952
2022-07-29,2.912
2022-07-30,2.912
2022-07-31,2.912
2022-08-01,2.941
2022-08-02,2.961
2022-08-03,2.977
2022-08-04,3.105
2022-08-05,3.116
2022-08-06,3.116
2022-08-07,3.116
2022-08-08,3.051
2022-08-09,2.96
2022-08-10,2.937
2022-08-11,2.776
2022-08-12,2.878
2022-08-13,2.878
2022-08-14,2.878
2022-08-15,2.935
2022-08-16,2.933
2022-08-17,2.967
2022-08-18,2.855
2022-08-19,2.905
2022-08-20,2.905
2022-08-21,2.905
2022-08-22,2.896
2022-08-23,2.82
2022-08-24,2.759
2022-08-25,2.723
2022-08-26,2.8
2022-08-27,2.8
2022-08-28,2.8
2022-08-29,2.764
2022-08-30,2.887
2022-08-31,2.881
2022-09-01,2.906
2022-09-02,2.821
2022-09-03,2.821
2022-09-04,2.821
2022-09-05,2.821
2022-09-06,2.886
2022-09-07,2.88
2022-09-08,2.786
2022-09-09,2.72
2022-09-10,2.72
2022-09-11,2.72
2022-09-12,2.687
2022-09-13,2.83
2022-09-14,2.698
2022-09-15,2.709
2022-09-16,2.843
2022-09-17,2.843
2022-09-18,2.843
2022-09-19,2.818
2022-09-20,2.852
2022-09-21,2.922
2022-09-22,2.986
2022-09-23,3.271
2022-09-24,3.271
2022-09-25,3.271
2022-09-26,3.412
2022-09-27,3.358
2022-09-28,3.199
2022-09-29,3.214
2022-09-30,3.239
2022-10-01,3.239
2022-10-02,3.239
2022-10-03,3.103
2022-10-04,2.99
2022-10-05,2.955
2022-10-06,3.013
2022-10-07,3.542
2022-10-08,3.542
2022-10-09,3.542
2022-10-10,3.565
2022-10-11,3.318
2022-10-12,3.37
2022-10-13,3.196
2022-10-14,3.364
2022-10-15,3.364
2022-10-16,3.364
2022-10-17,3.249
2022-10-18,3.198
2022-10-19,3.188
2022-10-20,3.253
2022-10-21,3.15
2022-10-22,3.15
2022-10-23,3.15
2022-10-24,3.222
2022-10-25,3.201
2022-10-26,3.173
2022-10-27,3.145
2022-10-28,3.163
2022-10-29,3.163
2022-10-30,3.163
2022-10-31,3.107
2022-11-01,3.101
2022-11-02,3.171
2022-11-03,3.048
2022-11-04,3.032
2022-11-05,3.032
2022-11-06,3.032
2022-11-07,2.991
2022-11-08,2.956
2022-11-09,3.164
2022-11-10,3.019
2022-11-11,2.976
2022-11-12,2.976
2022-11-13,2.976
2022-11-14,3.006
2022-11-15,2.914
2022-11-16,2.996
2022-11-17,3.046
2022-11-18,2.988
2022-11-19,2.988
2022-11-20,2.988
2022-11-21,3.06
2022-11-22,2.92
2022-11-23,2.945
2022-11-24,2.945
2022-11-25,2.949
2022-11-26,2.949
2022-11-27,2.949
2022-11-28,2.99
2022-11-29,2.932
2022-11-30,2.906
2022-12-01,2.884
2022-12-02,2.875
2022-12-03,2.875
2022-12-04,2.875
2022-12-05,3.002
2022-12-06,3.103
2022-12-07,2.843
2022-12-08,2.845
2022-12-09,2.83
2022-12-10,2.83
2022-12-11,2.83
2022-12-12,2.758
2022-12-13,2.67
2022-12-14,2.651
2022-12-15,2.731
2022-12-16,2.771
2022-12-17,2.771
2022-12-18,2.771
2022-12-19,2.813
2022-12-20,2.783
2022-12-21,2.695
2022-12-22,2.747
2022-12-23,2.648
2022-12-24,2.648
2022-12-25,2.648
2022-12-26,2.648
2022-12-27,2.629
2022-12-28,2.699
2022-12-29,2.637
2022-12-30,2.642
2022-12-31,2.642
2023-01-01,2.642
2023-01-02,2.642
2023-01-03,2.749
2023-01-04,2.772
2023-01-05,2.776
2023-01-06,2.699
2023-01-07,2.699
2023-01-08,2.699
2023-01-09,2.625
2023-01-10,2.644
2023-01-11,2.635
2023-01-12,2.608
2023-01-13,2.609
2023-01-14,2.609
2023-01-15,2.609
2023-01-16,2.609
2023-01-17,2.618
2023-01-18,2.661
2023-01-19,2.609
2023-01-20,2.582
2023-01-21,2.582
2023-01-22,2.582
2023-01-23,2.621
2023-01-24,2.639
2023-01-25,2.631
2023-01-26,2.605
2023-01-27,2.63
2023-01-28,2.63
2023-01-29,2.63
2023-01-30,2.639
2023-01-31,2.597
2023-02-01,2.613
2023-02-02,2.606
2023-02-03,2.654
2023-02-04,2.654
2023-02-05,2.654
2023-02-06,2.777
2023-02-07,2.7
2023-02-08,2.679
2023-02-09,2.708
2023-02-10,2.624
2023-02-11,2.624
2023-02-12,2.624
2023-02-13,2.628
2023-02-14,2.608
2023-02-15,2.633
2023-02-16,2.627
2023-02-17,2.703
2023-02-18,2.703
2023-02-19,2.703
2023-02-20,2.703
2023-02-21,2.727
2023-02-22,2.75
2023-02-23,2.767
2023-02-24,2.836
2023-02-25,2.836
2023-02-26,2.836
2023-02-27,2.969
2023-02-28,3.067
2023-03-01,2.972
2023-03-02,2.935
2023-03-03,2.861
2023-03-04,2.861
2023-03-05,2.861
2023-03-06,2.889
2023-03-07,2.943
2023-03-08,2.966
2023-03-09,3.015
2023-03-10,3.083
2023-03-11,3.083
2023-03-12,3.083
2023-03-13,3.141
2023-03-14,3.134
2023-03-15,3.328
2023-03-16,3.303
2023-03-17,3.291
2023-03-18,3.291
2023-03-19,3.291
2023-03-20,3.235
2023-03-21,3.129
2023-03-22,3.255
2023-03-23,3.321
2023-03-24,3.288
2023-03-25,3.288
2023-03-26,3.288
2023-03-27,3.179
2023-03-28,3.16
2023-03-29,3.12
2023-03-30,3.1
2023-03-31,3.195
2023-04-01,3.195
2023-04-02,3.195
2023-04-03,3.098
2023-04-04,3.128
2023-04-05,3.103
2023-04-06,3.118
2023-04-07,3.118
2023-04-08,3.118
2023-04-09,3.118
2023-04-10,3.098
2023-04-11,3.061
2023-04-12,3.069
2023-04-13,3.065
2023-04-14,3.014
2023-04-15,3.014
2023-04-16,3.014
2023-04-17,3.07
2023-04-18,3.019
2023-04-19,3.046
2023-04-20,3.073
2023-04-21,3.071
2023-04-22,3.071
2023-04-23,3.071
2023-04-24,3.034
2023-04-25,3.117
2023-04-26,3.164
2023-04-27,3.147
2023-04-28,3.095
2023-04-29,3.095
2023-04-30,3.095
2023-05-01,3.1
2023-05-02,3.235
2023-05-03,3.274
2023-05-04,3.371
2023-05-05,3.259
2023-05-06,3.259
2023-05-07,3.259
2023-05-08,3.288
2023-05-09,3.291
2023-05-10,3.295
2023-05-11,3.347
2023-05-12,3.337
2023-05-13,3.337
2023-05-14,3.337
2023-05-15,3.295
2023-05-16,3.405
2023-05-17,3.359
2023-05-18,3.349
2023-05-19,3.322
2023-05-20,3.322
2023-05-21,3.322
2023-05-22,3.274
2023-05-23,3.287
2023-05-24,3.293
2023-05-25,3.361
2023-05-26,3.371
2023-05-27,3.371
2023-05-28,3.371
2023-05-29,3.371
2023-05-30,3.406
2023-05-31,3.428
2023-06-01,3.39
2023-06-02,3.263
2023-06-03,3.263
2023-06-04,3.263
2023-06-05,3.29
2023-06-06,3.331
2023-06-07,3.219
2023-06-08,3.242
